Row_number,"meta{qafiya:..., bahr:...}"
110,"meta{qafiya:ـطا, bahr:مسحوب}"
111,"meta{qafiya:ـطا, bahr:مسحوب}"
112,"meta{qafiya:ـانه, bahr:صخري}"
113,"meta{qafiya:ـانه, bahr:صخري}"
114,"meta{qafiya:ـانه, bahr:صخري}"
115,"meta{qafiya:ـانه, bahr:صخري}"
116,"meta{qafiya:ـانه, bahr:صخري}"
117,"meta{qafiya:ـانه, bahr:صخري}"
118,"meta{qafiya:ـانه, bahr:صخري}"
119,"meta{qafiya:ـانه, bahr:صخري}"
120,"meta{qafiya:ـانه, bahr:صخري}"
121,"meta{qafiya:ـانه, bahr:صخري}"
122,"meta{qafiya:ـانه, bahr:صخري}"
123,"meta{qafiya:ـانه, bahr:صخري}"
124,"meta{qafiya:ـانه, bahr:صخري}"
125,"meta{qafiya:ـانه, bahr:صخري}"
126,"meta{qafiya:ـانه, bahr:صخري}"
127,"meta{qafiya:ـانه, bahr:صخري}"
128,"meta{qafiya:ـانه, bahr:صخري}"
129,"meta{qafiya:ـانه, bahr:صخري}"
130,"meta{qafiya:ـانه, bahr:صخري}"
131,"meta{qafiya:ـانه, bahr:صخري}"
132,"meta{qafiya:ـانه, bahr:صخري}"
133,"meta{qafiya:ـانه, bahr:صخري}"
134,"meta{qafiya:ـانه, bahr:صخري}"
135,"meta{qafiya:ـانه, bahr:صخري}"
136,"meta{qafiya:ـانه, bahr:صخري}"
137,"meta{qafiya:ـانه, bahr:صخري}"
138,"meta{qafiya:ـانه, bahr:صخري}"
139,"meta{qafiya:ـانه, bahr:صخري}"
140,"meta{qafiya:ـانه, bahr:صخري}"
141,"meta{qafiya:ـانه, bahr:صخري}"
142,"meta{qafiya:ـانه, bahr:صخري}"
143,"meta{qafiya:ـانه, bahr:صخري}"
144,"meta{qafiya:ـانه, bahr:صخري}"
145,"meta{qafiya:ـانه, bahr:صخري}"
146,"meta{qafiya:ـانه, bahr:صخري}"
147,"meta{qafiya:ـيره, bahr:هجيني}"
148,"meta{qafiya:ـيره, bahr:هجيني}"
149,"meta{qafiya:ـيره, bahr:هجيني}"
150,"meta{qafiya:ـيره, bahr:هجيني}"
151,"meta{qafiya:ـيره, bahr:هجيني}"
152,"meta{qafiya:ـيره, bahr:هجيني}"
153,"meta{qafiya:ـيره, bahr:هجيني}"
154,"meta{qafiya:ـيره, bahr:هجيني}"
155,"meta{qafiya:ـحى, bahr:مسحوب}"
156,"meta{qafiya:ـحى, bahr:مسحوب}"
157,"meta{qafiya:ـحى, bahr:مسحوب}"
158,"meta{qafiya:ـتك, bahr:رمل}"
159,"meta{qafiya:ـتك, bahr:رمل}"
160,"meta{qafiya:ـتك, bahr:رمل}"
161,"meta{qafiya:ـتك, bahr:رمل}"
162,"meta{qafiya:ـدب, bahr:مسحوب}"
163,"meta{qafiya:ـدب, bahr:مسحوب}"
164,"meta{qafiya:ـدب, bahr:مسحوب}"
165,"meta{qafiya:ـور, bahr:رجز}"
166,"meta{qafiya:ـور, bahr:رجز}"
167,"meta{qafiya:ـور, bahr:رجز}"
168,"meta{qafiya:ـور, bahr:رجز}"
169,"meta{qafiya:ـوم, bahr:مسحوب}"
170,"meta{qafiya:ـوم, bahr:مسحوب}"
171,"meta{qafiya:ـوم, bahr:مسحوب}"
172,"meta{qafiya:ـوم, bahr:مسحوب}"
173,"meta{qafiya:ـوم, bahr:مسحوب}"
174,"meta{qafiya:ـون, bahr:مسحوب}"
175,"meta{qafiya:ـون, bahr:مسحوب}"
176,"meta{qafiya:ـون, bahr:مسحوب}"
177,"meta{qafiya:ـون, bahr:مسحوب}"
178,"meta{qafiya:ـون, bahr:مسحوب}"
179,"meta{qafiya:ـامي, bahr:مسحوب}"
180,"meta{qafiya:ـامي, bahr:مسحوب}"
181,"meta{qafiya:ـامي, bahr:مسحوب}"
182,"meta{qafiya:ـيد, bahr:مسحوب}"
183,"meta{qafiya:ـيد, bahr:مسحوب}"
184,"meta{qafiya:ـيد, bahr:مسحوب}"
185,"meta{qafiya:ـيد, bahr:مسحوب}"
186,"meta{qafiya:ـيك, bahr:مسحوب}"
187,"meta{qafiya:ـيك, bahr:مسحوب}"
188,"meta{qafiya:ـيك, bahr:مسحوب}"
189,"meta{qafiya:ـيك, bahr:مسحوب}"
190,"meta{qafiya:ـيا, bahr:رجز}"
191,"meta{qafiya:ـيا, bahr:رجز}"
192,"meta{qafiya:ـيا, bahr:رجز}"
193,"meta{qafiya:ـيا, bahr:رجز}"
194,"meta{qafiya:ـير, bahr:بسيط}"
195,"meta{qafiya:ـير, bahr:بسيط}"
196,"meta{qafiya:ـين, bahr:مسحوب}"
197,"meta{qafiya:ـين, bahr:مسحوب}"
198,"meta{qafiya:ـين, bahr:مسحوب}"
199,"meta{qafiya:ـين, bahr:مسحوب}"
200,"meta{qafiya:ـين, bahr:مسحوب}"
201,"meta{qafiya:ـين, bahr:مسحوب}"
202,"meta{qafiya:ـين, bahr:مسحوب}"
203,"meta{qafiya:ـين, bahr:مسحوب}"
204,"meta{qafiya:ـها, bahr:بسيط}"
205,"meta{qafiya:ـها, bahr:بسيط}"
206,"meta{qafiya:ـها, bahr:بسيط}"
207,"meta{qafiya:ـها, bahr:بسيط}"
208,"meta{qafiya:ـها, bahr:بسيط}"
209,"meta{qafiya:ـها, bahr:بسيط}"
210,"meta{qafiya:ـها, bahr:بسيط}"
211,"meta{qafiya:ـها, bahr:بسيط}"
212,"meta{qafiya:ـها, bahr:بسيط}"
213,"meta{qafiya:ـها, bahr:بسيط}"
214,"meta{qafiya:ـها, bahr:بسيط}"
215,"meta{qafiya:ـفا, bahr:مسحوب}"
216,"meta{qafiya:ـفا, bahr:مسحوب}"
217,"meta{qafiya:ـفا, bahr:مسحوب}"
218,"meta{qafiya:ـفا, bahr:مسحوب}"
219,"meta{qafiya:ـال, bahr:رجز}"
220,"meta{qafiya:ـال, bahr:رجز}"
221,"meta{qafiya:ـام, bahr:صخري}"
222,"meta{qafiya:ـام, bahr:صخري}"
223,"meta{qafiya:ـام, bahr:صخري}"
224,"meta{qafiya:ـنه, bahr:بسيط}"
225,"meta{qafiya:ـنه, bahr:بسيط}"
226,"meta{qafiya:ـنه, bahr:بسيط}"
227,"meta{qafiya:ـنه, bahr:بسيط}"
228,"meta{qafiya:ـيمه, bahr:مسحوب}"
229,"meta{qafiya:ـيمه, bahr:مسحوب}"
230,"meta{qafiya:ـيمه, bahr:مسحوب}"
231,"meta{qafiya:ـيمه, bahr:مسحوب}"
232,"meta{qafiya:ـيمه, bahr:مسحوب}"
233,"meta{qafiya:ـيمه, bahr:مسحوب}"
234,"meta{qafiya:ـعه, bahr:مسحوب}"
235,"meta{qafiya:ـعه, bahr:مسحوب}"
236,"meta{qafiya:ـعه, bahr:مسحوب}"
237,"meta{qafiya:ـعه, bahr:مسحوب}"
238,"meta{qafiya:ـين, bahr:رجز}"
239,"meta{qafiya:ـين, bahr:رجز}"
240,"meta{qafiya:ـين, bahr:رجز}"
241,"meta{qafiya:ـين, bahr:رجز}"
242,"meta{qafiya:ـاه, bahr:مسحوب}"
243,"meta{qafiya:ـاه, bahr:مسحوب}"
244,"meta{qafiya:ـاه, bahr:مسحوب}"
245,"meta{qafiya:ـيفي, bahr:بسيط}"
246,"meta{qafiya:ـيفي, bahr:بسيط}"
247,"meta{qafiya:ـيفي, bahr:بسيط}"
248,"meta{qafiya:ـيني, bahr:مسحوب}"
249,"meta{qafiya:ـيني, bahr:مسحوب}"
250,"meta{qafiya:ـيني, bahr:مسحوب}"
251,"meta{qafiya:ـهه, bahr:مسحوب}"
252,"meta{qafiya:ـهه, bahr:مسحوب}"
253,"meta{qafiya:ـهه, bahr:مسحوب}"
254,"meta{qafiya:ـول, bahr:مسحوب}"
255,"meta{qafiya:ـول, bahr:مسحوب}"
256,"meta{qafiya:ـول, bahr:مسحوب}"
257,"meta{qafiya:ـاقي, bahr:بسيط}"
258,"meta{qafiya:ـاقي, bahr:بسيط}"
259,"meta{qafiya:ـاقي, bahr:بسيط}"
260,"meta{qafiya:ـاسي, bahr:رجز}"
261,"meta{qafiya:ـاسي, bahr:رجز}"
262,"meta{qafiya:ـاسي, bahr:رجز}"
263,"meta{qafiya:ـاسي, bahr:رجز}"
264,"meta{qafiya:ـوح, bahr:مسحوب}"
265,"meta{qafiya:ـوح, bahr:مسحوب}"
266,"meta{qafiya:ـوح, bahr:مسحوب}"
267,"meta{qafiya:ـوح, bahr:مسحوب}"
268,"meta{qafiya:ـومه, bahr:مسحوب}"
269,"meta{qafiya:ـومه, bahr:مسحوب}"
270,"meta{qafiya:ـومه, bahr:مسحوب}"
271,"meta{qafiya:ـومه, bahr:مسحوب}"
272,"meta{qafiya:ـاحت, bahr:مسحوب}"
273,"meta{qafiya:ـاحت, bahr:مسحوب}"
274,"meta{qafiya:ـاحت, bahr:مسحوب}"
275,"meta{qafiya:ـاعه, bahr:بسيط}"
276,"meta{qafiya:ـاعه, bahr:بسيط}"
277,"meta{qafiya:ـاعه, bahr:بسيط}"
278,"meta{qafiya:ـاعه, bahr:بسيط}"
279,"meta{qafiya:ـاعه, bahr:بسيط}"
280,"meta{qafiya:ـاعه, bahr:بسيط}"
281,"meta{qafiya:ـاعه, bahr:بسيط}"
282,"meta{qafiya:ـينا, bahr:مسحوب}"
283,"meta{qafiya:ـينا, bahr:مسحوب}"
284,"meta{qafiya:ـينا, bahr:مسحوب}"
285,"meta{qafiya:ـينا, bahr:مسحوب}"
286,"meta{qafiya:ـكل, bahr:مسحوب}"
287,"meta{qafiya:ـكل, bahr:مسحوب}"
288,"meta{qafiya:ـالي, bahr:بسيط}"
289,"meta{qafiya:ـالي, bahr:بسيط}"
290,"meta{qafiya:ـالي, bahr:بسيط}"
291,"meta{qafiya:ـالي, bahr:بسيط}"
292,"meta{qafiya:ـالي, bahr:بسيط}"
293,"meta{qafiya:ـالي, bahr:بسيط}"
294,"meta{qafiya:ـالي, bahr:بسيط}"
295,"meta{qafiya:ـالي, bahr:بسيط}"
296,"meta{qafiya:ـالي, bahr:بسيط}"
297,"meta{qafiya:ـقه, bahr:بسيط}"
298,"meta{qafiya:ـقه, bahr:بسيط}"
299,"meta{qafiya:ـقه, bahr:بسيط}"
300,"meta{qafiya:ـقه, bahr:بسيط}"
301,"meta{qafiya:ـقه, bahr:بسيط}"
302,"meta{qafiya:ـقه, bahr:بسيط}"
303,"meta{qafiya:ـعنا, bahr:مسحوب}"
304,"meta{qafiya:ـعنا, bahr:مسحوب}"
305,"meta{qafiya:ـعنا, bahr:مسحوب}"
306,"meta{qafiya:ـكني, bahr:مسحوب}"
307,"meta{qafiya:ـكني, bahr:مسحوب}"
308,"meta{qafiya:ـكني, bahr:مسحوب}"
309,"meta{qafiya:ـكني, bahr:مسحوب}"
310,"meta{qafiya:ـكني, bahr:مسحوب}"
311,"meta{qafiya:ـعه, bahr:بسيط}"
312,"meta{qafiya:ـعه, bahr:بسيط}"
313,"meta{qafiya:ـعه, bahr:بسيط}"
314,"meta{qafiya:ـعه, bahr:بسيط}"
315,"meta{qafiya:ـاد, bahr:مسحوب}"
316,"meta{qafiya:ـاد, bahr:مسحوب}"
317,"meta{qafiya:ـاد, bahr:مسحوب}"
318,"meta{qafiya:ـانه, bahr:مسحوب}"
319,"meta{qafiya:ـانه, bahr:مسحوب}"
320,"meta{qafiya:ـانه, bahr:مسحوب}"
321,"meta{qafiya:ـانه, bahr:مسحوب}"
322,"meta{qafiya:ـانه, bahr:مسحوب}"
323,"meta{qafiya:ـانه, bahr:مسحوب}"
324,"meta{qafiya:ـانه, bahr:مسحوب}"
325,"meta{qafiya:ـنك, bahr:رجز}"
326,"meta{qafiya:ـنك, bahr:رجز}"
327,"meta{qafiya:ـنك, bahr:رجز}"
328,"meta{qafiya:ـنك, bahr:رجز}"
329,"meta{qafiya:ـام, bahr:مسحوب}"
330,"meta{qafiya:ـام, bahr:مسحوب}"
331,"meta{qafiya:ـام, bahr:مسحوب}"
332,"meta{qafiya:ـام, bahr:مسحوب}"
333,"meta{qafiya:ـام, bahr:مسحوب}"
334,"meta{qafiya:ـام, bahr:مسحوب}"
335,"meta{qafiya:ـام, bahr:مسحوب}"
336,"meta{qafiya:ـام, bahr:مسحوب}"
337,"meta{qafiya:ـام, bahr:مسحوب}"
338,"meta{qafiya:ـبه, bahr:مسحوب}"
339,"meta{qafiya:ـبه, bahr:مسحوب}"
340,"meta{qafiya:ـبه, bahr:مسحوب}"
341,"meta{qafiya:ـلك, bahr:مسحوب}"
342,"meta{qafiya:ـلك, bahr:مسحوب}"
343,"meta{qafiya:ـلك, bahr:مسحوب}"
344,"meta{qafiya:ـلك, bahr:مسحوب}"
345,"meta{qafiya:ـلك, bahr:مسحوب}"
346,"meta{qafiya:ـاس, bahr:مسحوب}"
347,"meta{qafiya:ـاس, bahr:مسحوب}"
348,"meta{qafiya:ـاس, bahr:مسحوب}"
349,"meta{qafiya:ـدي, bahr:رمل}"
350,"meta{qafiya:ـدي, bahr:رمل}"
351,"meta{qafiya:ـدي, bahr:رمل}"
352,"meta{qafiya:ـها, bahr:بسيط}"
353,"meta{qafiya:ـها, bahr:بسيط}"
354,"meta{qafiya:ـها, bahr:بسيط}"
355,"meta{qafiya:ـونه, bahr:مسحوب}"
356,"meta{qafiya:ـونه, bahr:مسحوب}"
357,"meta{qafiya:ـونه, bahr:مسحوب}"
358,"meta{qafiya:ـونه, bahr:مسحوب}"
359,"meta{qafiya:ـمره, bahr:مسحوب}"
360,"meta{qafiya:ـمره, bahr:مسحوب}"
361,"meta{qafiya:ـمره, bahr:مسحوب}"
362,"meta{qafiya:ـمره, bahr:مسحوب}"
363,"meta{qafiya:ـمره, bahr:مسحوب}"
364,"meta{qafiya:ـوبه, bahr:مسحوب}"
365,"meta{qafiya:ـوبه, bahr:مسحوب}"
366,"meta{qafiya:ـوبه, bahr:مسحوب}"
367,"meta{qafiya:ـوبه, bahr:مسحوب}"
368,"meta{qafiya:ـوبه, bahr:مسحوب}"
369,"meta{qafiya:ـوبه, bahr:مسحوب}"
370,"meta{qafiya:ـبها, bahr:مسحوب}"
371,"meta{qafiya:ـبها, bahr:مسحوب}"
372,"meta{qafiya:ـبها, bahr:مسحوب}"
373,"meta{qafiya:ـبها, bahr:مسحوب}"
374,"meta{qafiya:ـبها, bahr:مسحوب}"
375,"meta{qafiya:ـبها, bahr:مسحوب}"
376,"meta{qafiya:ـمه, bahr:بسيط}"
377,"meta{qafiya:ـمه, bahr:بسيط}"
378,"meta{qafiya:ـمه, bahr:بسيط}"
379,"meta{qafiya:ـيقي, bahr:مسحوب}"
380,"meta{qafiya:ـيقي, bahr:مسحوب}"
381,"meta{qafiya:ـيقي, bahr:مسحوب}"
382,"meta{qafiya:ـيقي, bahr:مسحوب}"
383,"meta{qafiya:ـها, bahr:مسحوب}"
384,"meta{qafiya:ـها, bahr:مسحوب}"
385,"meta{qafiya:ـها, bahr:مسحوب}"
386,"meta{qafiya:ـها, bahr:مسحوب}"
387,"meta{qafiya:ـوت, bahr:مسحوب}"
388,"meta{qafiya:ـوت, bahr:مسحوب}"
389,"meta{qafiya:ـوت, bahr:مسحوب}"
390,"meta{qafiya:ـوت, bahr:مسحوب}"
391,"meta{qafiya:ـور, bahr:رجز}"
392,"meta{qafiya:ـور, bahr:رجز}"
393,"meta{qafiya:ـور, bahr:رجز}"
394,"meta{qafiya:ـوبه, bahr:مسحوب}"
395,"meta{qafiya:ـوبه, bahr:مسحوب}"
396,"meta{qafiya:ـوبه, bahr:مسحوب}"
397,"meta{qafiya:ـله, bahr:بسيط}"
398,"meta{qafiya:ـله, bahr:بسيط}"
399,"meta{qafiya:ـله, bahr:بسيط}"
400,"meta{qafiya:ـله, bahr:بسيط}"
401,"meta{qafiya:ـله, bahr:بسيط}"
402,"meta{qafiya:ـله, bahr:بسيط}"
403,"meta{qafiya:ـله, bahr:بسيط}"
404,"meta{qafiya:ـتك, bahr:مسحوب}"
405,"meta{qafiya:ـتك, bahr:مسحوب}"
406,"meta{qafiya:ـتك, bahr:مسحوب}"
407,"meta{qafiya:ـين, bahr:مسحوب}"
408,"meta{qafiya:ـين, bahr:مسحوب}"
409,"meta{qafiya:ـين, bahr:مسحوب}"
410,"meta{qafiya:ـته, bahr:مسحوب}"
411,"meta{qafiya:ـته, bahr:مسحوب}"
412,"meta{qafiya:ـته, bahr:مسحوب}"
413,"meta{qafiya:ـته, bahr:مسحوب}"
414,"meta{qafiya:ـاره, bahr:بسيط}"
415,"meta{qafiya:ـاره, bahr:بسيط}"
416,"meta{qafiya:ـاره, bahr:بسيط}"
417,"meta{qafiya:ـاره, bahr:بسيط}"
418,"meta{qafiya:ـاره, bahr:بسيط}"
419,"meta{qafiya:ـاره, bahr:بسيط}"
420,"meta{qafiya:ـاره, bahr:بسيط}"
421,"meta{qafiya:ـاره, bahr:بسيط}"
422,"meta{qafiya:ـمها, bahr:بسيط}"
423,"meta{qafiya:ـمها, bahr:بسيط}"
424,"meta{qafiya:ـمها, bahr:بسيط}"
425,"meta{qafiya:ـمها, bahr:بسيط}"
426,"meta{qafiya:ـمها, bahr:بسيط}"
427,"meta{qafiya:ـمها, bahr:بسيط}"
428,"meta{qafiya:ـمها, bahr:بسيط}"
429,"meta{qafiya:ـمها, bahr:بسيط}"
430,"meta{qafiya:ـمها, bahr:بسيط}"
431,"meta{qafiya:ـمها, bahr:بسيط}"
432,"meta{qafiya:ـمها, bahr:بسيط}"
433,"meta{qafiya:ـمها, bahr:بسيط}"
434,"meta{qafiya:ـمها, bahr:بسيط}"
435,"meta{qafiya:ـمها, bahr:بسيط}"
436,"meta{qafiya:ـيني, bahr:مسحوب}"
437,"meta{qafiya:ـيني, bahr:مسحوب}"
438,"meta{qafiya:ـيني, bahr:مسحوب}"
439,"meta{qafiya:ـيني, bahr:مسحوب}"
440,"meta{qafiya:ـيقه, bahr:مسحوب}"
441,"meta{qafiya:ـيقه, bahr:مسحوب}"
442,"meta{qafiya:ـيقه, bahr:مسحوب}"
443,"meta{qafiya:ـيقه, bahr:مسحوب}"
444,"meta{qafiya:ـوس, bahr:مسحوب}"
445,"meta{qafiya:ـوس, bahr:مسحوب}"
446,"meta{qafiya:ـوس, bahr:مسحوب}"
447,"meta{qafiya:ـوس, bahr:مسحوب}"
448,"meta{qafiya:ـاتها, bahr:بسيط}"
449,"meta{qafiya:ـاتها, bahr:بسيط}"
450,"meta{qafiya:ـاتها, bahr:بسيط}"
451,"meta{qafiya:ـله, bahr:مسحوب}"
452,"meta{qafiya:ـله, bahr:مسحوب}"
453,"meta{qafiya:ـله, bahr:مسحوب}"
454,"meta{qafiya:ـله, bahr:مسحوب}"
455,"meta{qafiya:ـله, bahr:مسحوب}"
456,"meta{qafiya:ـله, bahr:مسحوب}"
457,"meta{qafiya:ـحها, bahr:رجز}"
458,"meta{qafiya:ـحها, bahr:رجز}"
459,"meta{qafiya:ـحها, bahr:رجز}"
460,"meta{qafiya:ـحها, bahr:رجز}"
461,"meta{qafiya:ـحها, bahr:رجز}"
462,"meta{qafiya:ـحها, bahr:رجز}"
463,"meta{qafiya:ـاده, bahr:مسحوب}"
464,"meta{qafiya:ـاده, bahr:مسحوب}"
465,"meta{qafiya:ـاده, bahr:مسحوب}"
466,"meta{qafiya:ـاده, bahr:مسحوب}"
467,"meta{qafiya:ـايم, bahr:مسحوب}"
468,"meta{qafiya:ـايم, bahr:مسحوب}"
469,"meta{qafiya:ـايم, bahr:مسحوب}"
470,"meta{qafiya:ـله, bahr:بسيط}"
471,"meta{qafiya:ـله, bahr:بسيط}"
472,"meta{qafiya:ـله, bahr:بسيط}"
473,"meta{qafiya:ـله, bahr:بسيط}"
474,"meta{qafiya:ـله, bahr:بسيط}"
475,"meta{qafiya:ـايب, bahr:مسحوب}"
476,"meta{qafiya:ـايب, bahr:مسحوب}"
477,"meta{qafiya:ـايب, bahr:مسحوب}"
478,"meta{qafiya:ـيع, bahr:مسحوب}"
479,"meta{qafiya:ـيع, bahr:مسحوب}"
480,"meta{qafiya:ـيع, bahr:مسحوب}"
481,"meta{qafiya:ـيع, bahr:مسحوب}"
482,"meta{qafiya:ـيع, bahr:مسحوب}"
483,"meta{qafiya:ـيع, bahr:مسحوب}"
484,"meta{qafiya:ـيع, bahr:مسحوب}"
485,"meta{qafiya:ـانب, bahr:مسحوب}"
486,"meta{qafiya:ـانب, bahr:مسحوب}"
487,"meta{qafiya:ـانب, bahr:مسحوب}"
488,"meta{qafiya:ـانب, bahr:مسحوب}"
489,"meta{qafiya:ـيك, bahr:بسيط}"
490,"meta{qafiya:ـيك, bahr:بسيط}"
491,"meta{qafiya:ـيك, bahr:بسيط}"
492,"meta{qafiya:ـير, bahr:مسحوب}"
493,"meta{qafiya:ـير, bahr:مسحوب}"
494,"meta{qafiya:ـير, bahr:مسحوب}"
495,"meta{qafiya:ـير, bahr:مسحوب}"
496,"meta{qafiya:ـير, bahr:مسحوب}"
497,"meta{qafiya:ـونه, bahr:بسيط}"
498,"meta{qafiya:ـونه, bahr:بسيط}"
499,"meta{qafiya:ـونه, bahr:بسيط}"
500,"meta{qafiya:ـونه, bahr:بسيط}"
501,"meta{qafiya:ـونه, bahr:بسيط}"
502,"meta{qafiya:ـونه, bahr:بسيط}"
503,"meta{qafiya:ـبه, bahr:مسحوب}"
504,"meta{qafiya:ـبه, bahr:مسحوب}"
505,"meta{qafiya:ـبه, bahr:مسحوب}"
506,"meta{qafiya:ـبه, bahr:مسحوب}"
507,"meta{qafiya:ـبه, bahr:مسحوب}"
508,"meta{qafiya:ـمه, bahr:بسيط}"
509,"meta{qafiya:ـمه, bahr:بسيط}"
510,"meta{qafiya:ـمه, bahr:بسيط}"
511,"meta{qafiya:ـمه, bahr:بسيط}"
512,"meta{qafiya:ـمه, bahr:بسيط}"
