poem_id,chunk_id,Title_raw,Poem_line_raw,Title_cleaned,Poem_line_cleaned,Row_IDs_in_chunk,chunk_type,Status
3,12,هواء الإمارات وثراها,"هي قصيدة شاعرٍ وضّح لك اللي فـي ظميره      إيْـعَـرف وش علّـته لكن يجـهل وشـ دواها
غاص بالهوجاس باعماق المحيطات الغزيره      ليـن جاب اللي يلـيق بـمـسـتـواه ومـسـتـواها
مو مهم تكون نـشرت في مجلات الجزيره      الـمهم تقول لي كم شخصٍ متـثـقّـف قـراها
الـمهم ان (لندن) اللي مسكها يخالط عبيره      آغلى منها هوا أرض ( الإمــــارات ) وثراها",هواء الامارات وثراها,"هي قصيده شاعر وضح لك اللي في ظميره      ايعرف وش علته لكن يجهل وش دواها
غاص بالهوجاس باعماق المحيطات الغزيره      لين جاب اللي يليق بمستواه ومستواها
مو مهم تكون نشرت في مجلات الجزيره      المهم تقول لي كم شخص متثقف قراها
المهم ان (لندن) اللي مسكها يخالط عبيره      اغلي منها هوا ارض ( الامارات ) وثراها","32,33,34,35",final,Ready
4,13,يتيم,"يتيـم فـاقد شـوفة امّـه من سـنين      وابوه مـات مْن القـهـر والتجـنّـي
ما شاف واحد منهم بْـنظرة العين      والحزن يهدم في الضلوع وْيبـنّـي
تـنزل دمـوعه من لحـون الـمغـنّـين      واهل اللحـون مْن السـعاده تغـنّـي
قالوا تمنّى ؟ قال ابا شوف الاثنين      كـانـه يفـيـد الـميّـتـيـــن التـمنّــي",يتيم,"يتيم فاقد شوفه امه من سنين      وابوه مات من القهر والتجني
ما شاف واحد منهم بنظره العين      والحزن يهدم في الضلوع ويبني
تنزل دموعه من لحون المغنين      واهل اللحون من السعاده تغني
قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني","36,37,38,39",regular,Ready
4,14,يتيم,"قالوا تمنّى ؟ قال ابا شوف الاثنين      كـانـه يفـيـد الـميّـتـيـــن التـمنّــي
يا كامل الأوصـاف ، يا نادر الزين      هذا شعـوري كل ما غبـت عنّـي
كيف آتقبّـل تعزية بُـعدك الشـين      وآشـوف عـذّالي تجـيـك وْتهـنّـي
دام الهجر والشـوق والحزن قاسيـن      لـيتـك علـينا يا حـبيـبي تـحـنّـي",يتيم,"قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني
يا كامل الاوصاف ، يا نادر الزين      هذا شعوري كل ما غبت عني
كيف اتقبل تعزيه بعدك الشين      واشوف عذالي تجيك وتهني
دام الهجر والشوق والحزن قاسين      ليتك علينا يا حبيبي تحني","39,40,41,42",regular,Ready
4,15,يتيم,"دام الهجر والشـوق والحزن قاسيـن      لـيتـك علـينا يا حـبيـبي تـحـنّـي
يكفيك فـنّي عن فنون الـمحبّـين      كم مـرّه اسـتطربت والـفـن فـنّـي
كـنت آتـأنّى من فراقـك مـعي ليـن      طـوّلـت بفراقك ومـات الـتـأنّـي
وكان الخطا منّك ، مسامحك هالحين      وكان الخطا منّي ، وش تريد منّـي ؟",يتيم,"دام الهجر والشوق والحزن قاسين      ليتك علينا يا حبيبي تحني
يكفيك فني عن فنون المحبين      كم مره استطربت والفن فني
كنت اتاني من فراقك معي لين      طولت بفراقك ومات التاني
وكان الخطا منك ، مسامحك هالحين      وكان الخطا مني ، وش تريد مني ؟","42,43,44,45",regular,Ready
5,16,مرت على بـالي,"حبـيـبتي مـرّت على بـالـي الـيـوم      وْ وقّـفــت تـقـديرٍ لـها يوم مـرّت
جابت لي الفرحـه وانا كنت مهـمـوم      الظـاهـر انـها عـن عـلـومي تـحـرّت
وفراقـها كـوّن فـي خـفّـاقي غـيـوم      أمـطـــارها عـلى الـفـيـافـي لا خـرّت
تـنـبت من الأزهـار ما كان مـعـدوم      وتسـر نـفـسٍ من زمـن ما اسـتـسـرّت",مرت علي بالي,"حبيبتي مرت علي بالي اليوم      و وقفت تقدير لها يوم مرت
جابت لي الفرحه وانا كنت مهموم      الظاهر انها عن علومي تحرت
وفراقها كون في خفاقي غيوم      امطارها علي الفيافي لا خرت
تنبت من الازهار ما كان معدوم      وتسر نفس من زمن ما استسرت","46,47,48,49",regular,Ready
5,17,مرت على بـالي,"تـنـبت من الأزهـار ما كان مـعـدوم      وتسـر نـفـسٍ من زمـن ما اسـتـسـرّت
فـي حبّـها حـسّــادي تـكـثّـر اللـوم      وهي ورا عـوج الـضـلـوع اسـتـقــرّت
أحلـم بها وآطـيح فـي النوم وآقوم      فرحان .. لكن فرحتي ما اسـتمرّت
إلى صـحـيت آعاتـب الـحـظ وآلـوم      الايام .. والأيـام مـنـها تـبــــرّت",مرت علي بالي,"تنبت من الازهار ما كان معدوم      وتسر نفس من زمن ما استسرت
في حبها حسادي تكثر اللوم      وهي ورا عوج الضلوع استقرت
احلم بها واطيح في النوم واقوم      فرحان .. لكن فرحتي ما استمرت
الي صحيت اعاتب الحظ والوم      الايام .. والايام منها تبرت","49,50,51,52",regular,Ready
5,18,مرت على بـالي,"إلى صـحـيت آعاتـب الـحـظ وآلـوم      الايام .. والأيـام مـنـها تـبــــرّت
الهـجر طـعـنة خاين بْسيف مسمـوم      نـفسـه على فـعـل الـخـيانـه تضــرّت
ومن يحرم مْن العشـق يعيش محروم      كـم روح من قل الوصـال استـضـرّت
لا جيت انام .. النفس ما تعشق النوم      حـاولـت اقـنّـعـها .. لـكـنـها أصـرّت",مرت علي بالي,"الي صحيت اعاتب الحظ والوم      الايام .. والايام منها تبرت
الهجر طعنه خاين بسيف مسموم      نفسه علي فعل الخيانه تضرت
ومن يحرم من العشق يعيش محروم      كم روح من قل الوصال استضرت
لا جيت انام .. النفس ما تعشق النوم      حاولت اقنعها .. لكنها اصرت","52,53,54,55",regular,Ready
5,19,مرت على بـالي,"الهـجر طـعـنة خاين بْسيف مسمـوم      نـفسـه على فـعـل الـخـيانـه تضــرّت
ومن يحرم مْن العشـق يعيش محروم      كـم روح من قل الوصـال استـضـرّت
لا جيت انام .. النفس ما تعشق النوم      حـاولـت اقـنّـعـها .. لـكـنـها أصـرّت
تبـغي حـبيـبة قلـبـي الـغـالــيه دوم      تمـر فـي بـالـي ، وآوقّـف لا مـــرّت",مرت علي بالي,"الهجر طعنه خاين بسيف مسموم      نفسه علي فعل الخيانه تضرت
ومن يحرم من العشق يعيش محروم      كم روح من قل الوصال استضرت
لا جيت انام .. النفس ما تعشق النوم      حاولت اقنعها .. لكنها اصرت
تبغي حبيبه قلبي الغاليه دوم      تمر في بالي ، واوقف لا مرت","53,54,55,56",final,Ready
6,20,لا تلبـس ذهـب,"إنتـه ذهـب من دون ما تلـبـس ذهـــب      وش لـه تـروح الـســوق وتـدوّر عـلـيـه
سـبـحـان مـن سـوّا .. وْجَـلَّ مـن وهـــب      حــــلاك بـيـدينـك كأنـّـك مـنـتـقـيــه
شـفايـفـك جـمـره .. وثـغـرك من لـهـب      خايـف على خـدّك لهـب ثغـرك يجـيه
لو كان رمـشـك يـنـّـهـب .. كـان انـّـهــب      من كل عاقل شاف رمشك .. أو سـفيه",لا تلبس ذهب,"انته ذهب من دون ما تلبس ذهب      وش له تروح السوق وتدور عليه
سبحان من سوا .. وجل من وهب      حلاك بيدينك كانك منتقيه
شفايفك جمره .. وثغرك من لهب      خايف علي خدك لهب ثغرك يجيه
لو كان رمشك ينهب .. كان انهب      من كل عاقل شاف رمشك .. او سفيه","57,58,59,60",regular,Ready
6,21,لا تلبـس ذهـب,"لو كان رمـشـك يـنـّـهـب .. كـان انـّـهــب      من كل عاقل شاف رمشك .. أو سـفيه
لا ترتـهـب مـا فـيـه واحـد يرتـهـــب      مـن واحـد يْـحـــبّـه وخـفـّـاقـه يـبـيــه
أنا فـْ مـهــب الـريــــح إلاّ انـت فـْ مـهــب      شـوق ٍسـكـن قلـبـي وقـلـبـي مـحـتـويـه
ذهـب مـعـك قلـبـي .. يالـيـتـه ما ذهب      لا قلـت عـوّد قـال انـا بـامـــوت فـيـه",لا تلبس ذهب,"لو كان رمشك ينهب .. كان انهب      من كل عاقل شاف رمشك .. او سفيه
لا ترتهب ما فيه واحد يرتهب      من واحد يحبه وخفاقه يبيه
انا ف مهب الريح الا انت ف مهب      شوق سكن قلبي وقلبي محتويه
ذهب معك قلبي .. ياليته ما ذهب      لا قلت عود قال انا باموت فيه","60,61,62,63",regular,Ready
6,22,لا تلبـس ذهـب,"لا ترتـهـب مـا فـيـه واحـد يرتـهـــب      مـن واحـد يْـحـــبّـه وخـفـّـاقـه يـبـيــه
أنا فـْ مـهــب الـريــــح إلاّ انـت فـْ مـهــب      شـوق ٍسـكـن قلـبـي وقـلـبـي مـحـتـويـه
ذهـب مـعـك قلـبـي .. يالـيـتـه ما ذهب      لا قلـت عـوّد قـال انـا بـامـــوت فـيـه
تـدري وش يْخـلـّي جـروحـي تلتهـب ؟      إنـّي أخـلـّي شــــيّ .. وآنـا مـشـتـهـيـه",لا تلبس ذهب,"لا ترتهب ما فيه واحد يرتهب      من واحد يحبه وخفاقه يبيه
انا ف مهب الريح الا انت ف مهب      شوق سكن قلبي وقلبي محتويه
ذهب معك قلبي .. ياليته ما ذهب      لا قلت عود قال انا باموت فيه
تدري وش يخلي جروحي تلتهب ؟      اني اخلي شي .. وانا مشتهيه","61,62,63,64",final,Ready
7,23,لا تسـأل مجـرّب,"حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب
أنـانـي فْـ وصـلك لـكـن يالأنـاني      تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب
لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب
تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب",لا تسال مجرب,"حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب
اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب","65,66,67,68",regular,Ready
7,24,لا تسـأل مجـرّب,"تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب
يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب
شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب
ياللي تـقـول اسـأل مجـرّب تـراني      سألـت واحـد .. بس قـام يْـتهــرّب",لا تسال مجرب,"تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب
يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب
ياللي تقول اسال مجرب تراني      سالت واحد .. بس قام يتهرب","68,69,70,71",regular,Ready
7,25,لا تسـأل مجـرّب,"يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب
شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب
ياللي تـقـول اسـأل مجـرّب تـراني      سألـت واحـد .. بس قـام يْـتهــرّب
لا تسـأل مجـرّب يا قـلـب وتعـاني      إسأل طبـيب وْ خل عـنك الـمجـرّب",لا تسال مجرب,"يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب
ياللي تقول اسال مجرب تراني      سالت واحد .. بس قام يتهرب
لا تسال مجرب يا قلب وتعاني      اسال طبيب و خل عنك المجرب","69,70,71,72",final,Ready
8,26,قصر زعبيل,"للـشـعـر فـكـره وللـهــاجـس مـيـة طــاري      تــرزّ للــقـمّــــــــــه الـعـــلــيـــا بـيــــــــارقـهــا
وقـصـيدتي من حـصـيلة نـاتـج افـكــاري      كـل الـقـصـــايـد الى مـن جـات تـفـرقـها
لـو أبـغــي أغــرّق الـســاحـه بـإبـحـــاري      غـرّقـــتـهــا بس انـا مـا احــــب اغـرّقــهــا
أرسـم مـلامـح طـمـوحاتي فـي أشـعـاري      واحـاول اني قبل ما امــــوت احـقـقـهـا",قصر زعبيل,"للشعر فكره وللهاجس ميه طاري      ترز للقمه العليا بيارقها
وقصيدتي من حصيله ناتج افكاري      كل القصايد الي من جات تفرقها
لو ابغي اغرق الساحه بابحاري      غرقتها بس انا ما احب اغرقها
ارسم ملامح طموحاتي في اشعاري      واحاول اني قبل ما اموت احققها","73,74,75,76",regular,Ready
8,27,قصر زعبيل,"أرسـم مـلامـح طـمـوحاتي فـي أشـعـاري      واحـاول اني قبل ما امــــوت احـقـقـهـا
واعرف مـقـدار غـيـري قبل مـقــــداري      واخـطاء نـفـسي على غـيـري ما اعـلـّقها
لـكـن مــشـــوار عـمـــري لى مـتى ســــاري      أرهـقـت نـفـسـي وما ادري لـيه مرهـقـهـا
قدام تـتـعـب قـدم رجـلـي يـا مـشـواري      الايـــــام ســاعــاتـهـا تـشـــــرح دقـايـقــهـا",قصر زعبيل,"ارسم ملامح طموحاتي في اشعاري      واحاول اني قبل ما اموت احققها
واعرف مقدار غيري قبل مقداري      واخطاء نفسي علي غيري ما اعلقها
لكن مشوار عمري لي متي ساري      ارهقت نفسي وما ادري ليه مرهقها
قدام تتعب قدم رجلي يا مشواري      الايام ساعاتها تشرح دقايقها","76,77,78,79",regular,Ready
8,28,قصر زعبيل,"قدام تـتـعـب قـدم رجـلـي يـا مـشـواري      الايـــــام ســاعــاتـهـا تـشـــــرح دقـايـقــهـا
مـراحـل الـعـمـر تـجري والـزمـن جـاري      والـنـاس تـفـنـى ويـبـقـى وجـــه خـالـقـهـا
وانـا طـمـوحـي تـخـلّـد فـعـلـي اخـبـــاري      فـ ارشـيـــف تــــاريـخ الافـعـال ووثـايـقـهـا
نـجـاحـي لـشـخـصي اعــداءه يـا أنـصـاري      أكـيـد مـنـطــقـه مـا يـشــبـه لـمـنـطـقـهــا",قصر زعبيل,"قدام تتعب قدم رجلي يا مشواري      الايام ساعاتها تشرح دقايقها
مراحل العمر تجري والزمن جاري      والناس تفني ويبقي وجه خالقها
وانا طموحي تخلد فعلي اخباري      ف ارشيف تاريخ الافعال ووثايقها
نجاحي لشخصي اعداءه يا انصاري      اكيد منطقه ما يشبه لمنطقها","79,80,81,82",regular,Ready
8,29,قصر زعبيل,"نـجـاحـي لـشـخـصي اعــداءه يـا أنـصـاري      أكـيـد مـنـطــقـه مـا يـشــبـه لـمـنـطـقـهــا
من يـامـر بـسـتر خـلـق الله وهـو عــاري      نـصـيـحـتـه مـن عـلى نـفـسـه يـطـبّـقـهـا
مـن كـثر مـا اخـاطـب الـعـالـم بـمـعـيـاري      دايــم أمـيّـــــز لـكـــــاذبـهـا وصــــادقـهـا
صـحــيـح انـا مـا مـعـي جـنـّـه ولا نـــاري      لـكـن ربّــــــي خـلــــق خـلـقــــــه وفـرّقـهـا",قصر زعبيل,"نجاحي لشخصي اعداءه يا انصاري      اكيد منطقه ما يشبه لمنطقها
من يامر بستر خلق الله وهو عاري      نصيحته من علي نفسه يطبقها
من كثر ما اخاطب العالم بمعياري      دايم اميز لكاذبها وصادقها
صحيح انا ما معي جنه ولا ناري      لكن ربي خلق خلقه وفرقها","82,83,84,85",regular,Ready
8,30,قصر زعبيل,"صـحــيـح انـا مـا مـعـي جـنـّـه ولا نـــاري      لـكـن ربّــــــي خـلــــق خـلـقــــــه وفـرّقـهـا
من شرفة القصر اناظر خلف الاسواري      وجـيـه نــــــاس ٍعـســى ربّـــــي يـوفـّـقــهـا
ويزيـد عزمـي بفـعـل الـخير واصـراري      فـي خـدمـــة بـــلاد برق الـعــز بـارقـهــا
والـطـيـب قـصّـه وفـيها مـعـظـم اسراري      والــذل نـــار ونــفـوس الــذل يـحـرقـها",قصر زعبيل,"صحيح انا ما معي جنه ولا ناري      لكن ربي خلق خلقه وفرقها
من شرفه القصر اناظر خلف الاسواري      وجيه ناس عسي ربي يوفقها
ويزيد عزمي بفعل الخير واصراري      في خدمه بلاد برق العز بارقها
والطيب قصه وفيها معظم اسراري      والذل نار ونفوس الذل يحرقها","85,86,87,88",regular,Ready
8,31,قصر زعبيل,"والـطـيـب قـصّـه وفـيها مـعـظـم اسراري      والــذل نـــار ونــفـوس الــذل يـحـرقـها
يا قـصر ( زعـبـيل ) دامك بالحزن داري      لا تـعـلّـم ( دبـــي ) وتـبـكـّـي مـنـاطـقـهـا
الحزن اخوي الصـغير وضيفي وجاري      فـي غربـة الأرض الوسـيـعه أو مشارقها
مافـي عـيـوني سـوى دمـعـات تـذكــاري      لـولا السـحا مـن مـحاجـر عـيني أعـتـقـهـا",قصر زعبيل,"والطيب قصه وفيها معظم اسراري      والذل نار ونفوس الذل يحرقها
يا قصر ( زعبيل ) دامك بالحزن داري      لا تعلم ( دبي ) وتبكي مناطقها
الحزن اخوي الصغير وضيفي وجاري      في غربه الارض الوسيعه او مشارقها
مافي عيوني سوي دمعات تذكاري      لولا السحا من محاجر عيني اعتقها","88,89,90,91",regular,Ready
9,32,قلب السبع,"من جـايع الوصـل .. للّي حبّها شـبعه      لا اطربني الشوق كيف اشبع من الطربه
حُـر الهـوى لو يلومه في الهـوى تِبعـه      ما شاف مخلابه اللي مدميٍ خِـربه
من حصّل اللي خذا قلبي وانا تَـبعه      قلبـي على دربـها ، وآنـا عـلى دربـه
غزالـة الـوادي اللي جـرّحـت سِـبعـه      من شرق قلب السبع تخـتال لا غربه",قلب السبع,"من جايع الوصل .. للي حبها شبعه      لا اطربني الشوق كيف اشبع من الطربه
حر الهوي لو يلومه في الهوي تبعه      ما شاف مخلابه اللي مدمي خربه
من حصل اللي خذا قلبي وانا تبعه      قلبي علي دربها ، وانا علي دربه
غزاله الوادي اللي جرحت سبعه      من شرق قلب السبع تختال لا غربه","92,93,94,95",regular,Ready
