Text content,Title,poem_id
إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها,,3
والقلوب اللي مشاعرها مع العالم غفيره,,3
الـظــروف الكـايـده تردّها عن مـشـتـهاها,,3
مشتهاها تجعل الدنيا مثل وصف البحيره,,3
لـذّةٍ للـشــــــاربـيـن، ومـتـعــةٍ لـمـن رآهـــا,,3
هكذا الإنسان عمره يوم حس ويوم غيره,,3
لو تحاول تجمع ايّامه وتبحث وش وراها,,3
ما وراها غير باقي ذكرياته في مصيره,,3
يوم شاف امجاد غيره قال ياليته خذاها,,3
يحسب ان المجد فجأه ما درى ان المجد سيره,,3
سـيرةٍ ما تـنتهي دام الكـواكب فـي سـماها,,3
والـقدر على وتيـره .. والعـمر على وتيـره,,3
والثـنين لبعـضـهم يمـشون والدنيا عطاها,,3
ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره,,3
كان ما مدّيتها بالجـهد ما نـالك رضاها,,3
السعاده لو تباع فـ سوق الاحزان الكثيره,,3
كل واحـد يعـتريه الـحزن تلـقاه اشـتراها,,3
السـعاده ما اشـترتها روس الاموال الوفـيره,,3
شـوف كـم تـاجـــر يـدوّرها ولكـن ما لـقـاها,,3
بس انا محتاج ما لا احتاج فـعلاً شي غيره,,3
شي يسمو بالنفوس لين يظهر محتواها,,3
هي قصيدة شاعرٍ وضّح لك اللي فـي ظميره,,3
إيْـعَـرف وش علّـته لكن يجـهل وشـ دواها,,3
غاص بالهوجاس باعماق المحيطات الغزيره,,3
ليـن جاب اللي يلـيق بـمـسـتـواه ومـسـتـواها,,3
مو مهم تكون نـشرت في مجلات الجزيره,,3
الـمهم تقول لي كم شخصٍ متـثـقّـف قـراها,,3
الـمهم ان (لندن) اللي مسكها يخالط عبيره,,3
آغلى منها هوا أرض ( الإمــــارات ) وثراها,,3
يتيـم فـاقد شـوفة امّـه من سـنين,يتيم,4
وابوه مـات مْن القـهـر والتجـنّـي,,4
ما شاف واحد منهم بْـنظرة العين,,4
والحزن يهدم في الضلوع وْيبـنّـي,,4
تـنزل دمـوعه من لحـون الـمغـنّـين,,4
واهل اللحـون مْن السـعاده تغـنّـي,,4
قالوا تمنّى؟ قال ابا شوف الاثنين,,4
كـانـه يفـيـد الـميّـتـيـــن التـمنّــي,,4
يا كامل الأوصـاف، يا نادر الزين,,4
هذا شعـوري كل ما غبـت عنّـي,,4
كيف آتقبّـل تعزية بُـعدك الشـين,,4
وآشـوف عـذّالي تجـيـك وْتهـنّـي,,4
دام الهجر والشـوق والحزن قاسيـن,,4
لـيتـك علـينا يا حـبيـبي تـحـنّـي,,4
يكفيك فـنّي عن فنون الـمحبّـين,,4
كم مـرّه اسـتطربت والـفـن فـنّـي,,4
كـنت آتـأنّى من فراقـك مـعي ليـن,,4
طـوّلـت بفراقك ومـات الـتـأنّـي,,4
وكان الخطا منّك، مسامحك هالحين,,4
وكان الخطا منّي، وش تريد منّـي؟,,4
حبـيـبتي مـرّت على بـالـي الـيـوم,مرت على بـالي,5
وْ وقّـفــت تـقـديرٍ لـها يوم مـرّت,,5
جابت لي الفرحـه وانا كنت مهـمـوم,,5
الظـاهـر انـها عـن عـلـومي تـحـرّت,,5
وفراقـها كـوّن فـي خـفّـاقي غـيـوم,,5
أمـطـــارها عـلى الـفـيـافـي لا خـرّت,,5
تـنـبت من الأزهـار ما كان مـعـدوم,,5
وتسـر نـفـسٍ من زمـن ما اسـتـسـرّت,,5
فـي حبّـها حـسّــادي تـكـثّـر اللـوم,,5
وهي ورا عـوج الـضـلـوع اسـتـقــرّت,,5
أحلـم بها وآطـيح فـي النوم وآقوم,,5
فرحان .. لكن فرحتي ما اسـتمرّت,,5
إلى صـحـيت آعاتـب الـحـظ وآلـوم,,5
الايام .. والأيـام مـنـها تـبــــرّت,,5
الهـجر طـعـنة خاين بْسيف مسمـوم,,5
نـفسـه على فـعـل الـخـيانـه تضــرّت,,5
ومن يحرم مْن العشـق يعيش محروم,,5
كـم روح من قل الوصـال استـضـرّت,,5
لا جيت انام .. النفس ما تعشق النوم,,5
حـاولـت اقـنّـعـها .. لـكـنـها أصـرّت,,5
تبـغي حـبيـبة قلـبـي الـغـالــيه دوم,,5
تمـر فـي بـالـي، وآوقّـف لا مـــرّت,,5
إنتـه ذهـب من دون ما تلـبـس ذهـــب,لا تلبـس ذهـب,6
وش لـه تـروح الـســوق وتـدوّر عـلـيـه,,6
سـبـحـان مـن سـوّا .. وْجَـلَّ مـن وهـــب,,6
حــــلاك بـيـدينـك كأنـّـك مـنـتـقـيــه,,6
شـفايـفـك جـمـره .. وثـغـرك من لـهـب,,6
خايـف على خـدّك لهـب ثغـرك يجـيه,,6
لو كان رمـشـك يـنـّـهـب .. كـان انـّـهــب,,6
من كل عاقل شاف رمشك .. أو سـفيه,,6
لا ترتـهـب مـا فـيـه واحـد يرتـهـــب,,6
مـن واحـد يْـحـــبّـه وخـفـّـاقـه يـبـيــه,,6
أنا فـْ مـهــب الـريــــح إلاّ انـت فـْ مـهــب,,6
شـوق ٍسـكـن قلـبـي وقـلـبـي مـحـتـويـه,,6
ذهـب مـعـك قلـبـي .. يالـيـتـه ما ذهب,,6
لا قلـت عـوّد قـال انـا بـامـــوت فـيـه,,6
تـدري وش يْخـلـّي جـروحـي تلتهـب؟,,6
إنـّي أخـلـّي شــــيّ .. وآنـا مـشـتـهـيـه,,6
حبيـبتي حالـي من الشــوق دانــي,لا تسـأل مجـرّب,7
أشــرّق بحـبّــك .. واعـوّد أغـرّب,,7
أنـانـي فْـ وصـلك لـكـن يالأنـاني,,7
تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,,7
لحظات حبّـك حطّـمت لي كـياني,,7
والحزن من بين الـمحـاني تـسـرّب,,7
تـسـرّب وصـكّـت عـلـيه الـمـحاني,,7
كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,,7
يا مْعـرّب الأنـسـاب خـدر العـياني,,7
سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,,7
شـربت حـبّـك لين فـاض الحناني,,7
وقامـت عروقي من غـلاك تْـشـرّب,,7
ياللي تـقـول اسـأل مجـرّب تـراني,,7
سألـت واحـد .. بس قـام يْـتهــرّب,,7
لا تسـأل مجـرّب يا قـلـب وتعـاني,,7
إسأل طبـيب وْ خل عـنك الـمجـرّب,,7
للـشـعـر فـكـره وللـهــاجـس مـيـة طــاري,قصر زعبيل,8
تــرزّ للــقـمّــــــــــه الـعـــلــيـــا بـيــــــــارقـهــا,,8
وقـصـيدتي من حـصـيلة نـاتـج افـكــاري,,8
كـل الـقـصـــايـد الى مـن جـات تـفـرقـها,,8
لـو أبـغــي أغــرّق الـســاحـه بـإبـحـــاري,,8
غـرّقـــتـهــا بس انـا مـا احــــب اغـرّقــهــا,,8
أرسـم مـلامـح طـمـوحاتي فـي أشـعـاري,,8
واحـاول اني قبل ما امــــوت احـقـقـهـا,,8
واعرف مـقـدار غـيـري قبل مـقــــداري,,8
واخـطاء نـفـسي على غـيـري ما اعـلـّقها,,8
لـكـن مــشـــوار عـمـــري لى مـتى ســــاري,,8
أرهـقـت نـفـسـي وما ادري لـيه مرهـقـهـا,,8
قدام تـتـعـب قـدم رجـلـي يـا مـشـواري,,8
الايـــــام ســاعــاتـهـا تـشـــــرح دقـايـقــهـا,,8
مـراحـل الـعـمـر تـجري والـزمـن جـاري,,8
والـنـاس تـفـنـى ويـبـقـى وجـــه خـالـقـهـا,,8
وانـا طـمـوحـي تـخـلّـد فـعـلـي اخـبـــاري,,8
فـ ارشـيـــف تــــاريـخ الافـعـال ووثـايـقـهـا,,8
نـجـاحـي لـشـخـصي اعــداءه يـا أنـصـاري,,8
أكـيـد مـنـطــقـه مـا يـشــبـه لـمـنـطـقـهــا,,8
من يـامـر بـسـتر خـلـق الله وهـو عــاري,,8
نـصـيـحـتـه مـن عـلى نـفـسـه يـطـبّـقـهـا,,8
مـن كـثر مـا اخـاطـب الـعـالـم بـمـعـيـاري,,8
دايــم أمـيّـــــز لـكـــــاذبـهـا وصــــادقـهـا,,8
صـحــيـح انـا مـا مـعـي جـنـّـه ولا نـــاري,,8
لـكـن ربّــــــي خـلــــق خـلـقــــــه وفـرّقـهـا,,8
من شرفة القصر اناظر خلف الاسواري,,8
وجـيـه نــــــاس ٍعـســى ربّـــــي يـوفـّـقــهـا,,8
ويزيـد عزمـي بفـعـل الـخير واصـراري,,8
فـي خـدمـــة بـــلاد برق الـعــز بـارقـهــا,,8
والـطـيـب قـصّـه وفـيها مـعـظـم اسراري,,8
والــذل نـــار ونــفـوس الــذل يـحـرقـها,,8
يا قـصر ( زعـبـيل ) دامك بالحزن داري,,8
لا تـعـلّـم ( دبـــي ) وتـبـكـّـي مـنـاطـقـهـا,,8
الحزن اخوي الصـغير وضيفي وجاري,,8
فـي غربـة الأرض الوسـيـعه أو مشارقها,,8
مافـي عـيـوني سـوى دمـعـات تـذكــاري,,8
لـولا السـحا مـن مـحاجـر عـيني أعـتـقـهـا,,8
من جـايع الوصـل .. للّي حبّها شـبعه,قلب السبع,9
لا اطربني الشوق كيف اشبع من الطربه,,9
حُـر الهـوى لو يلومه في الهـوى تِبعـه,,9
ما شاف مخلابه اللي مدميٍ خِـربه,,9
من حصّل اللي خذا قلبي وانا تَـبعه,,9
قلبـي على دربـها، وآنـا عـلى دربـه,,9
غزالـة الـوادي اللي جـرّحـت سِـبعـه,,9
من شرق قلب السبع تخـتال لا غربه,,9
خذت من القلب ثلث الشـوق أو رُبـعـه,,9
بالنظـره الواثقـه، والـهرجه الــذربـه,,9
والكـره .. مثل السحابه في شهر سبعه,,9
ما تنـبت العشـب وَلاَ تسـقي التـربه,,9
والـحب .. نهـرٍ مصـبّه فاض من نبـعه,,9
شـوفه يكفّـيك يالظـميان عن شربه,,9
والوصل .. مثل الشجاع الشهم في رَبعه,,9
ما يرهـب السيف وَلاَ يرهب الحربـه,,9
والهجر .. مثل الذليل اللي فشل طبعـه,,9
من ذلّه .. الناس محدٍ يطمع فْـ قربه,,9
مداخيل الشعر وايد، وانا شاعر ولي مدخال,شـعب الإمـارات,10
ولكـن الـمخـــارج ما هي تـشـــابـه مــداخلـها,,10
وانا بين الـمخارج والمداخل يوم طاب الفـال,,10
جـبرت آخر بـيـوت الـمـفردات ينافـس اوّلـها,,10
سبحت من الشعر بحر وملكت من البيوت جزال,,10
وهي ماهـي بْـمـهـنـه، لكـن افـكـاري تـداولـهـا,,10
من اغلى الإمنيـات اللي من القلب وتمر البـال,,10
صنعت اغلى البيـوت اللي تبيّض وَجه قايلـها,,10
أغذّيـها باحـاسيـسٍ لـها فـي خافـقـي مدهـال,,10
لـها كـفّـي مـطـيـعــــه يوم تـكـتـبـها أنـامـلــهـا,,10
لو ان افكـار شـعري خيل، ما تلقى لها خيّـال,,10
سوى فكري تحلّـق فـي الفضـا يوم آتخـيّلـهــا,,10
على الدوله وريّسـها (خليفـة ) قـايد الأبطـال,,10
هـماليـل السـحاب اللي غـصـون الأرض بـلّـلـها,,10
أبارك له فـي شهـر ٍنـزّل القـرآن فيـه انـزال,,10
يضـم مْن اللـيـالي لـيـلة الـقـدر وفـضــايـلـها,,10
أردّدها على الاطـلال .. وتردّد معي الاطـلال,,10
يالين اسـمـع صـداهـا والـمـخـالـيق تْـنـاقلــها,,10
لو ان دلّـة هل الأمـجاد ما مـعـها سوى فـنيال,,10
ترى الـفـنيال فـي راحـة يـمـيـنه يا مهـيّـلـها,,10
في كل بلاد له كلمه، والى من قال قال وْطال,,10
يطول جبال الارض وكف ابو سلطـان أطولـهـا,,10
مع شـعـب الـعروبه مـوقفه تـفخر به الأجيال,,10
والى من مالت احـوال العـرب وقّـف وعدّلـهـا,,10
ولابو راشد من الـمجد التليد العز والإجلال,,10
وْمن الألقـاب أشرف ما حوت الالقـاب وانبلـهـا,,10
(صلاح الدين ) فخـرٍ للعروبه يا هل الأمثـال,,10
وابو راشد (صلاح الدين) لاهل الأرض باكملها,,10
و (ابو خالد ) صنع دوله بهمّـته وْتحته رجال,,10
إلى قالـت، تبـرهـن قولـها صـادق فـعـايلـهـا,,10
سـلايله الـمكارم، والفـخر لا من ذكره اختال,,10
وعريـبيـن السـلايل تـفـتخر فـيها سـلايلـهــا,,10
لو ان للطـيـب رجـل يمـثّـله بو خـالـد الرجّـال,,10
يـمـثّـلـه، وشـيـــــوخ الـدار لـو وقّـف يمـثّـلـهــا,,10
وجبال الأرض لو نـقـدر نسـوّي منّـها تـمثال,,10
لابو خـالـد، نـحـتـنـاها مـن آخـرها إلى اوّلــها,,10
على الهامات له هامه وعلى حد السحب تختال,,10
صـعـيـبـات الـمشـاكـل كـل مـا جـاته يذلّـلــهـا,,10
وعسى شعب الإمارات العزيزه دوم فـ احسن حال,,10
عسى دعواتهم ربّي فـي شـهر الخـير يقـبلـهـــا,,10
ياللي تسحّـب فوق الامتـان جـاعد,سهم الغلا,11
يلـعـب به الـغربي على قـد مـيّـاس,,11
إحذر تـعـد ايّـام لـقـياك واعـد,,11
أيّام بـعـدك والـهـجـر مـالـه قيـاس,,11
سـهـم الـغـــلا ما بيـن نـازل وصـاعد,,11
والـرازق الله، لـكن الـناس للــناس,,11
عـلّمني وشلـون اهـجـرك ونـتـبـاعد,,11
يالقاسي اللي ما مـعـك أيّـة احساس,,11
ما دام ما حن بالـحـيـاه نْـتســاعد,,11
إضحك من الفرقا، وعادي، ولا باس,,11
وش قيمة الغيم ان برق، وان تراعد,,11
لا صارت غـصــون الـمحبّـين يبّـاس,,11
لا لا تواعـد .. خل عنك الـمواعـد,,11
أنا ترى من حبّـك اعلنت الافـلاس,,11
راح الـعـمر كـلّه وانا مـعـك قـاعـــد,,11
لين الرجـا ماتت عزومـه من اليـاس,,11
كـم كنت انا ويّاك سـاعد بسـاعد,,11
وطوّقـتك بحبّـي مثل عقد الالـماس,,11
على الـغـلا كلّـه، نـويت آتـقـاعـــد,,11
حتى أعيش الـعمـر من دون وسواس,,11
أحيـــاناً افـكّر .. وافـكّر .. وافـكّر,سامح,12
إلى متى عزمـي بالاشـواق جامـح,,12
ما دام بـاب الـمـغـفــــره ما تسكّـــر,,12
تعـال وارسـل لي خـيـالي مـــــلامـح,,12
لو الـحـياه بطـولـها طـعـم سكّـــــر,,12
ما كان احس بْذنب غيري واسامح,,12
هـذا كــلامـي لـو مـزاجـي تـعـكّـــر,,12
وخيل الهـجر بيـن الـحـنايا ترامح,,12
أقـولـهـا للّي فـي حـبّــي تـنـكّـــــــر,,12
أسـامـحـه .. وَلا يعـرف الـتسـامــح,,12
إطـمح تراضـيني يا زيـن وتذكّـــر,,12
إن عاشـقك لرضـاك يا زين طامـح,,12
لا تصير مالـح في الهجر وانت سكّـر,,12
سامح ما فيه اجمل من اللي يسامـح,,12
الـفسـق آفـه .. لكن التـقوى خشـوع,رمز العز علمني,13
أبـوي رمـز الـعـــز عـلّـمني بـها,,13
يا مدرسـة الامجاد والقلوب البتوع,,13
أنـا على هـقوتـك يا هـاقي بها,,13
مْن الفلاسي ساسي وعندي فروع,,13
من دار زايـد عز الارض وطيبها,,13
شاعر واحب الـفزعه وقلبي فزوع,,13
يالين شـفت الـناس سـمّوني بها,,13
واهل الصمود اللي ماترضى بالخنوع,,13
ألله سـبحــــانـه يشـبّـهـني بـها,,13
أحب من جزل الـبيوت اللي تروع,,13
أهل الـفكـر لا قامـت تـغـنّـي بها,,13
ترى القصيد انـواع وانا كـل نـوع,,13
أبـدع فـي تركـيـبـتـه وآسـالـيبـها,,13
يا اهل السيوف القاطعه واهل الدروع,,13
ترى الـسـنيـن الله يعـلم غـيـبها,,13
أشـبّه الدنـيا على البكرة الدفـوع,,13
دايـم تـكــون الاوّلـه ترتـيبـها,,13
إن واصلـت راعـيّها أصـلـه جــزوع,,13
وان قاصرت بانت فـضايح عيبها,,13
والاّ أشبّـهـها على الـبنـت الـفـروع,,13
إللى عـوى بيـن الـحــنايا ذيبـها,,13
نـقـبل لها مادامـها حـلوه الـطـبوع,,13
ونصـد مـنها لا تكـــاثر شـيبـها,,13
أعمارنا تحسب من ايّام السـبـوع,,13
تجري لكن الـناس ما تدري بها,,13
ويوم الثلوث اللي قبل يوم الربوع,,13
ذكراه فـي قلبي وش آسوّي بها,,13
ويا وردة البستان قطّافك قنوع,,13
وبعض الورود .. الله على تـعذيبها,,13
غنّـيت لك ما تنطرب منه السموع,,13
طـرايـفٍ تـعـجـبك فـي تركـيبها,,13
والبـعد مثل السـيف والـفرقى تـلوع,,13
لا تطري الفرقى وتجرحني بها,,13
لحّنت لك حـزني على وتر الدموع,,13
وخلّـيت قلـب الـعاشـق يغنّـي بها,,13
ومشيت درب فراق ما منّه رجوع,,13
والـمـغـترب نفسـه شكـت تغريبها,,13
لو قلت لي جيب الثريّا.. قلت طوع,,13
أمـد كـفّي للـســــما واجـيـبها,,13
الـشـعر ديـوان ماضـي عـربـنا والأداه,ديــوان العــرب,14
ألـتي كـانـت تـوضّــــــح لـنـا عـاداتـها,,14
دايــمٍ مـن يكـتـبـه إيـتمنّـى مـن قــراه,,14
التـبحّـر فـي القـصـيده عبـر كـلمـاتها,,14
بس انا ما قـلته اطمـع لشـهره من وراه,,14
قلـتـه أداوي جـروح البشــر واهـاتـها,,14
كيف يطـمح فيه واحد ذِكِـر جَدّه واباه,,14
إصـنعـت مكـانـتـه من عـظــم وقـفاتها,,14
ليس مثـلي من قصيده ترفّـع مسـتواه,,14
لو من الـمرجان واللول صغـت ابياتها,,14
كم صغـيرٍ فـي العمر وصل للعالم نباه,,14
وصـادم بْـهـامـته نـاسٍ لـها هـامـاتـها,,14
بالـمكارم تسمع اسمه من افواه الرواه,,14
وغـيره اسماها حسـب دخـل عـقاراتها,,14
لو عمـينا العيـن وشلـون نكـتم كل فـاه,,14
والـعــرب أكـثر مـا فـيها عـدد رواتهـــا,,14
والربيع اللي تناسى ربيعه .. وش بلاه,,14
غــرّتـه دنـيـــاه يـوم اكـثـرت لـذّاتــها,,14
للصديق من الصديق يْـتحمّل له خطـاه,,14
والأصـدقاء مع بـعـضـها حسـب نـيّـاتـها,,14
والبنى آدم كل واحد حسب ما الله عطاه,,14
سـيّـئـات الـنـاس مـاهي مـثـل حـسـناتها,,14
والـدول مَعَ بعـضـها لو يصـير اشـتبـاه,,14
الـتـقـدّم مـصـلـحـتـها عـلى أزمـاتـها,,14
كم نصـحته والنصـيحه من المسلم لاخاه,,14
وقلـت لـه : يا خـلّـها مَـعْـك، والاّ هـاتـها,,14
وانت بعـت الـوِد والـوِد من باعـه شراه,,14
وَآعَـرف مـشــاعر الـنـاس من نـظـراتها,,14
السـؤال اللي يـراودني على كل اتجـاه,,14
عند مثـلك سلـعـة الطـيب كـم دُفـعـاتها,,14
لا تحسْب ان كل جافي بكت عيني جفاه,,14
لي مـقـامـاتي .. وللـنـاس ماقاماتـها,,14
شخص لا من غاب بُعده يشـتّت الانـتباه,,14
وشخص لا من غاب نفسك تحس بْذاتها,,14
ناس .. نبكـيها لو انـها على قيد الـحياه,,14
ونـاس .. ما ياثّـر عـلـيـنا خـبـر وفـاتـها,,14
الضـايق اللي سـاريٍ لـيله ولا حَصَّـل طريق,جسـر الصـداقة,15
تلـعــب به الايّـام بيـن يْـميـنهـا وشْـمالـها,,15
يا غَـارقٍ بالهَم لا تطـلب نجاتك من غريق,,15
الصبر مفـتاح الـفرج، والـناس هـذا حالها,,15
وانا ترى مَتني يشيل مْن الحِمِل ما لا يطيق,,15
مالي ومـال الـحِـمله اللي كل كـتفٍ شـالها,,15
والدلّـه اللي ماتـقهوي ضيفها، قِل للبريق,,15
يرسل تعـازي ضـوّها لا فاحت بْفـنجـالها,,15
أيّامنا بين الشهر واليوم، والباقي سحيق,,15
الايّام كم يبغى لها، والناس كم يبغى لها,,15
قمريّة الأحزان لا غَنَّت على الغصن الدقيق,,15
ما تْعـاتب الـمحزون لو غَنَّت وَلا غَنَّى لها,,15
يا ناس وش حَل الرفيق اللي يعاتب له رفيق,,15
لا حَدِّتـه الايّـام، والدنـيا عـلى منـوالها,,15
لا تحسب ان اللي تحبَّه لا جَرَحته ما يضيق,,15
لو يسـتر جْـروحه عـليك وعِـلِّـتـه ما قالــها,,15
يضيق لكن مَبْسمه ضَحَّاك وِحْجَاجه طليق,,15
لان الصَّداقه كنز، والحَسْـنَه بِعَشْـر امثالـها,,15
والحقد في قلوب الرجال اهْل الوفا ماهو يليق,,15
قـلـوبـها تبقى نـظـيفه .. لـو تـغَـيَّـر حـالـها,,15
وانا لو ابني للصداقه جسر لعيـون الصـديق,,15
الـناس من كثر الزعل، فال الله وْلا فالــها,,15
العـذر مايكفي من التـقدير، والصدَّه تعـيق,,15
الوصـل من بيـن الـقـلـوب اللـي تـمـد حْـبالـها,,15
والالماس سِعره فوق سِعرك يالذهب لو لك بريق,,15
سِـعره لـحَاله .. والذهب تسـعـيرته بلْـحَالـها,,15
واهْل الجواهر يفرقون الكـهرمان مْن العقـيق,,15
لو تخـلـط الثـنتيـن بنـتٍ فـي طَـرَف سلسالها,,15
نَصبر على قَرص النحَل حتى نوصِّل للرحيق,,15
واهل الهـوى يمسـح خطـاياها لـذيذ وْصـالـها,,15
والـناس لاجـل آمالـها تحـتاج للفـهم الدقـيق,,15
واللي ما تمـلك فَـهـم تخسـر نفـسـها وآمـالـها,,15
جْبال الارض الشامخه يا منكر الـمجد العريق,,15
هـامـاتنا من كـبر هـيبتنا، تطـول جْـبالـها,,15
جديـدنا مستـقـبلٍ زاهـر، وماضـينا عتـيق,,15
مسـيرة الـتاريخ يـبقـى مـجـدنا فـي بـالـها,,15
لو ان حَـضارتنا قصيدة شـاعرٍ فكـره عمـيق,,15
ما كان غير محـمد الـمكـتــــوم صـاغ امثـالها,,15
يطالبني الجمهـور بالشـعر وآنا اقول,تجربة عمر,16
ألابداع فكره في الأحاسيس مغروسـه,,16
مَعَ صادق الإحساس نحتاج وعي عقول,,16
يحلّل لنا بيت الشعر حسْب قاموسه,,16
ورغم كثرة اشغالي أنا ماني بْـمشغول,,16
عن الشـعر والنصر الـمخـلّـد وقاموسـه,,16
لو انّي بـدون يدين والاّ بدون رجـول,,16
قدرت آهـزم نـاسٍ من الكـبر مهـووسـه,,16
أصوغ بشفاتي نصر ليــوا بدون خيول,,16
وافرّج بها ضيقات في الصدر محبوسه,,16
وانا شيـخ، لكن شيخ طيب ووفـا وفـعول,,16
ماهو شيـخ عِـزّه كبر منصـبه وفلـوسه,,16
أشوف العمر فرصه واشوف الحياه فصول,,16
ومَعَ كل فـصـلٍ تجـربة عـمر مـدروسـه,,16
يالين الكسل والذل في الواقع الـمذهول,,16
نخـر في عزائمـهم مثل نخـرة السـوسه,,16
طبول الـمعارك صوتها غير صوت طبول,,16
من يجر صوته في الغنا ليلة عـروسـه,,16
نـعرف الخطا لكنِّ نـتـجاهـل الـمسؤول,,16
الآراء عكـسـيّه .. والاوضـاع معكـوسه,,16
على قمّة العِـزّه تصول العرب وتجول,,16
وْتحت هيبة الريّس ترى الناس مريوسه,,16
يابن آدم اسمعني ترى العمر له مدلول,,16
تصبَّـر لو ان نفسك من الضيق منفـوسه,,16
لا تخذل طموحاتك ولا تتبع الـمخذول,,16
ترى كل واحـد له مـزاجـه وهـاجـوسـه,,16
تفاءل، تجد صحراء همّك خضار حقول,,16
وسِـر ليـلك الـمظـلم على نـور فانـوسـه,,16
باطـرّش رسالـة فكر والشـعر لي مرسول,,16
عسى تستفـيد اذنـاب وقتي قبل روسـه,,16
رساله لها مفـعول، لكن .. ترى الـمفعـول,,16
مثـل حـلـم لـيـلٍ طـيَّـر الحـلـم كـابـوسـه,,16
أخاطب بها صاحي ما اخاطب بها مهبول,,16
شـرات الـدوا جرعـتـه للـداء مـقـيـوسـه,,16
من يدوس فوق الشـوك وهو بدون نعـول,,16
لا يشكي جروح الشوك، يصبر على دروسه,,16
ومن يقول دنـيانا مشاكل بدون حلـول,,16
يبا عيشـة الخـذلان والنفـس مدعوسـه,,16
ومن يطيح عزمه كيف يقدر يشيل حمول,,16
ومن يضيع رايه .. لازم يصير في حوسه,,16
الانسان لو يصنع مْن الـماس والاّ اللول,,16
مدائن على كوكب اهل الأرض محسوسه,,16
ولو إنّه ملك هالأرض بالعرض والاّ الطول,,16
ترى ما قدر يصـنع لذا الحـين نامـوسـه,,16
يظل الضـعـيف اللي بـلا جـهـد وَلا حـول,,16
لو ان نفسه من الموت بحب الناس محروسه,,16
مصيره على الاكتاف يرحل وهو محمول,,16
وحـفــرته مـتر وْنـص والكـفن مـلـبـوسه,,16
إنت اوّل انسـان اعشـقه في حياتي,أوّل عشـق,17
والحين تبغي الصدق ما عدت الاوّل,,17
عـشـقت غـيرك وانمحت ذكريـاتي,,17
مَع دمـعي اللي يوم هـاجـرت حوّل,,17
ماهـو مـهــــم اكــون أوّل وثــــــاني,,17
أهـــم شـيّ اكــون شـيّ فْـ حـيـــاتـك,,17
إن كـان قـلـبك ياحبـيـبي نسـاني,,17
أرجــوك لا تـنـسـاني بـذكـرياتك,,17
طـوّل في هـجرانك علي لاتـحاتي,,17
ما عاد يعـنيـني لو الهـجـر طـوّل,,17
أغـنّـي فْـراقـك بصـوت الآهـاتي,,17
والـقـلـب من زود الـونـاســه يمـوّل,,17
