"ID"	"poem_title"	"content"	"Poem-contexted"	"people"	"places"	"objects"	"sentiments"	"Metadata"
"3"	"هواء الإمارات وثراها"	"بس انا محتاج ما لا احتاج فعلا شي غيره    شي يسمو بالنفوس لين يظهر محتواها
هي قصيدة شاعر وضح لك اللي في ظميره    إيعرف وش علته لكن يجهل وش دواها
غاص بالهوجاس باعماق المحيطات الغزيره    لين جاب اللي يليق بمستواه ومستواها
مو مهم تكون نشرت في مجلات الجزيره    المهم تقول لي كم شخص متثقف قراها"	"شاعر يصف حاجته لشيء يرتقي بالنفوس، ويعبر عما في ضميره بوضوح، معرفا علته ولكنه يجهل دواءها، يبحث في أعماق أفكاره عن ما يليق بمستواه ومستوى من يقرأ.
-----
بس انا محتاج ما لا احتاج فعلا شي غيره    شي يسمو بالنفوس لين يظهر محتواها
هي قصيدة شاعر وضح لك اللي في ظميره    إيعرف وش علته لكن يجهل وش دواها
غاص بالهوجاس باعماق المحيطات الغزيره    لين جاب اللي يليق بمستواه ومستواها
مو مهم تكون نشرت في مجلات الجزيره    المهم تقول لي كم شخص متثقف قراها"	"[]"	"[""جزيرة""]"	"[""شي"",""نفوس"",""محتواها"",""قصيدة"",""شاعر"",""علاته"",""دواها"",""الهوجاس"",""المحيطات"",""المهم"",""مجلات"",""شخص"",""متثقف""]"	"Longing, confusion."	""
"3"	"هواء الإمارات وثراها"	"مو مهم تكون نشرت في مجلات الجزيره    المهم تقول لي كم شخص متثقف قراها
المهم ان (لندن) اللي مسكها يخالط عبيره    آغلى منها هوا أرض ( الإمارات ) وثراها"	"لندن التي يحكمها رجل مخالط لعبيره، لا قيمة لها أمام هواء وتراب الإمارات الغالية. الأهم هو كم شخص مثقف قرأ هذه المجلة، وليس نشرها في مجلات الجزيرة.
-----
مو مهم تكون نشرت في مجلات الجزيره    المهم تقول لي كم شخص متثقف قراها
المهم ان (لندن) اللي مسكها يخالط عبيره    آغلى منها هوا أرض ( الإمارات ) وثراها"	"[""جزيرة""]"	"[""لندن"",""الإمارات""]"	"[""معلومات"",""مجلات"",""الجزيرة"",""نشر"",""ثقافة"",""حب"",""هواء"",""أرض"",""ثراء""]"	"Pride"	""
"4"	"يتيم"	"يتيم فاقد شوفة امه من سنين    وابوه مات من القهر والتجني
ما شاف واحد منهم بنظرة العين    والحزن يهدم في الضلوع ويبني
تنزل دموعه من لحون المغنين    واهل اللحون من السعاده تغني
قالوا تمنى؟ قال ابا شوف الاثنين    كانه يفيد الميتين التمني"	"يتيم فقد أمه وأبوه، يعيش في حزن عميق، يتمنى رؤية والديه المتوفين.
-----
يتيم فاقد شوفة امه من سنين    وابوه مات من القهر والتجني
ما شاف واحد منهم بنظرة العين    والحزن يهدم في الضلوع ويبني
تنزل دموعه من لحون المغنين    واهل اللحون من السعاده تغني
قالوا تمنى؟ قال ابا شوف الاثنين    كانه يفيد الميتين التمني"	"[""الأم"",""الأب"",""المغنين""]"	"[]"	"[""سنين"",""الدموع"",""اللحون"",""السعادة""]"	"Sadness"	""
"4"	"يتيم"	"قالوا تمنى؟ قال ابا شوف الاثنين    كانه يفيد الميتين التمني
يا كامل الأوصاف، يا نادر الزين    هذا شعوري كل ما غبت عني
كيف آتقبل تعزية بعدك الشين    وآشوف عذالي تجيك وتهني
دام الهجر والشوق والحزن قاسين    ليتك علينا يا حبيبي تحني"	"المتحدث يتمنى رؤية شخصين، معتبرا الأماني لا تفيد الموتى. يخاطب شخصا كاملا في الأوصاف نادر الزين، ويصف شعوره عندما يغيب هذا الشخص. يعبر عن صعوبة تقبل تعزية بعده السيء ورؤية الأعداء يهنئون. يتمنى لو أن حبيبه يشفق عليه، لأن الهجر والشوق والحزن قاسين.
-----
قالوا تمنى؟ قال ابا شوف الاثنين    كانه يفيد الميتين التمني
يا كامل الأوصاف، يا نادر الزين    هذا شعوري كل ما غبت عني
كيف آتقبل تعزية بعدك الشين    وآشوف عذالي تجيك وتهني
دام الهجر والشوق والحزن قاسين    ليتك علينا يا حبيبي تحني"	"[""ابا"",""حبيبي""]"	"[]"	"[""تمنى"",""الاثنين"",""الميتين"",""التمني"",""الأوصاف"",""الزين"",""شعوري"",""تعزية"",""بعدك"",""عذالي"",""الهجر"",""الشوق"",""الحزن""]"	"Longing, Sadness"	""
"4"	"يتيم"	"دام الهجر والشوق والحزن قاسين    ليتك علينا يا حبيبي تحني
يكفيك فني عن فنون المحبين    كم مره استطربت والفن فني
كنت آتأنى من فراقك معي لين    طولت بفراقك ومات التأني
وكان الخطا منك، مسامحك هالحين    وكان الخطا مني، وش تريد مني؟"	"شوق وحزن قاس سببه الهجر. يتوسل الشاعر لحبيبه أن يرق قلبه. يصف نفسه كفنان في الحب، يسأل عما إذا كان الخطأ من الحبيب أم منه.
-----
دام الهجر والشوق والحزن قاسين    ليتك علينا يا حبيبي تحني
يكفيك فني عن فنون المحبين    كم مره استطربت والفن فني
كنت آتأنى من فراقك معي لين    طولت بفراقك ومات التأني
وكان الخطا منك، مسامحك هالحين    وكان الخطا مني، وش تريد مني؟"	"[]"	"[]"	"[""الهجر"",""الشوق"",""الحزن"",""فنون"",""الفن"",""الفن"",""فراقك"",""الخطا""]"	"Sadness, longing, love, forgiveness"	""
"4"	"يتيم"	"وكان الخطا منك، مسامحك هالحين    وكان الخطا مني، وش تريد مني؟"	"اعتذار عن خطأ ارتكبه المتحدث، مع تساؤل عما يريده الطرف الآخر إذا كان الخطأ منه.
-----
وكان الخطا منك، مسامحك هالحين    وكان الخطا مني، وش تريد مني؟"	"[]"	"[]"	"[""خطأ"",""مسامحة""]"	"Forgiveness"	""
"5"	"مرت على بالي"	"حبيبتي مرت على بالي اليوم    و وقفت تقدير لها يوم مرت
جابت لي الفرحه وانا كنت مهموم    الظاهر انها عن علومي تحرت
وفراقها كون في خفاقي غيوم    أمطارها على الفيافي لا خرت
تنبت من الأزهار ما كان معدوم    وتسر نفس من زمن ما استسرت"	"تذكر الشاعر حبيبته التي جلبت له الفرح رغم همومه، وفراقها أحدث حزنا عميقا في قلبه، لكنه يتمنى أن يعود الأمل والفرح.
-----
حبيبتي مرت على بالي اليوم    و وقفت تقدير لها يوم مرت
جابت لي الفرحه وانا كنت مهموم    الظاهر انها عن علومي تحرت
وفراقها كون في خفاقي غيوم    أمطارها على الفيافي لا خرت
تنبت من الأزهار ما كان معدوم    وتسر نفس من زمن ما استسرت"	"[""حبيبتك""]"	"[""يوم""]"	"[""بالي"",""تقدير"",""الفرحه"",""مهموم"",""علومي"",""تحرت"",""غيوم"",""أمطارها"",""الفيافي"",""الأزهار"",""نفس"",""زمن""]"	"Longing, joy, sadness."	""
"5"	"مرت على بالي"	"تنبت من الأزهار ما كان معدوم    وتسر نفس من زمن ما استسرت
في حبها حسادي تكثر اللوم    وهي ورا عوج الضلوع استقرت
أحلم بها وآطيح في النوم وآقوم    فرحان .. لكن فرحتي ما استمرت
إلى صحيت آعاتب الحظ وآلوم    الايام .. والأيام منها تبرت"	"ينبت من الأزهار ما كان معدوما، وتسعد النفس التي لم تستسر. تزداد عيون الحاسدين في حبها، وهي مستقرة وراء الضلوع. يحلم بها ويقوم فرحا، لكن الفرح لا يدوم. عند الصحو، يعاتب الحظ ويلوم الأيام، والأيام تبرأت منه.
-----
تنبت من الأزهار ما كان معدوم    وتسر نفس من زمن ما استسرت
في حبها حسادي تكثر اللوم    وهي ورا عوج الضلوع استقرت
أحلم بها وآطيح في النوم وآقوم    فرحان .. لكن فرحتي ما استمرت
إلى صحيت آعاتب الحظ وآلوم    الايام .. والأيام منها تبرت"	"[]"	"[]"	"[""أزهار"",""نفس"",""حب"",""لوم"",""ضلع"",""حلم"",""نوم"",""فرح"",""صحية"",""حظ"",""أيام""]"	"Longing, Sadness"	""
"5"	"مرت على بالي"	"إلى صحيت آعاتب الحظ وآلوم    الايام .. والأيام منها تبرت
الهجر طعنة خاين بسيف مسموم    نفسه على فعل الخيانه تضرت
ومن يحرم من العشق يعيش محروم    كم روح من قل الوصال استضرت
لا جيت انام .. النفس ما تعشق النوم    حاولت اقنعها .. لكنها أصرت"	"يعاتب الشاعر حظه وأيامه، واصفا الهجر بطعنة خائن. يعاني الشاعر من حرمانه من العشق، مما يمنعه من النوم، وتشعر نفسه بالإصرار على عدم الخلود إلى الراحة.
-----
إلى صحيت آعاتب الحظ وآلوم    الايام .. والأيام منها تبرت
الهجر طعنة خاين بسيف مسموم    نفسه على فعل الخيانه تضرت
ومن يحرم من العشق يعيش محروم    كم روح من قل الوصال استضرت
لا جيت انام .. النفس ما تعشق النوم    حاولت اقنعها .. لكنها أصرت"	"[]"	"[]"	"[""حظ"",""الأيام"",""هجر"",""سيف"",""الخيانة"",""العشق"",""الوصال"",""نوم""]"	"Sadness, longing, disappointment."	""
"5"	"مرت على بالي"	"لا جيت انام .. النفس ما تعشق النوم    حاولت اقنعها .. لكنها أصرت
تبغي حبيبة قلبي الغاليه دوم    تمر في بالي، وآوقف لا مرت"	"النفس ترفض النوم، مصرة على التفكير في الحبيبة الغالية التي تمر في البال.
-----
لا جيت انام .. النفس ما تعشق النوم    حاولت اقنعها .. لكنها أصرت
تبغي حبيبة قلبي الغاليه دوم    تمر في بالي، وآوقف لا مرت"	"[""حبيبة"",""قلبي""]"	"[]"	"[""نوم"",""قناعة"",""حبيبة القلب الغالية""]"	"Longing"	""
"6"	"لا تلبس ذهب"	"إنته ذهب من دون ما تلبس ذهب    وش له تروح السوق وتدور عليه
سبحان من سوا .. وجل من وهب    حلاك بيدينك كأنك منتقيه
شفايفك جمره .. وثغرك من لهب    خايف على خدك لهب ثغرك يجيه
لو كان رمشك ينهب .. كان انهب    من كل عاقل شاف رمشك .. أو سفيه"	"يتحدث الشاعر عن جمال محبوبته، واصفا شفاهها كالجمر وثغرها كاللهب، مشيرا إلى أن جمالها طبيعي ومن عند الله، وأن رموشها فاتنة لدرجة أنها تسرق عقول الجميع.
-----
إنته ذهب من دون ما تلبس ذهب    وش له تروح السوق وتدور عليه
سبحان من سوا .. وجل من وهب    حلاك بيدينك كأنك منتقيه
شفايفك جمره .. وثغرك من لهب    خايف على خدك لهب ثغرك يجيه
لو كان رمشك ينهب .. كان انهب    من كل عاقل شاف رمشك .. أو سفيه"	"[]"	"[]"	"[""ذهب"",""سوق"",""بيدينك"",""جمر"",""لهب"",""رمش""]"	"Admiration"	""
"6"	"لا تلبس ذهب"	"لو كان رمشك ينهب .. كان انهب    من كل عاقل شاف رمشك .. أو سفيه
لا ترتهب ما فيه واحد يرتهب    من واحد يحبه وخفاقه يبيه
أنا ف مهب الريح إلا انت ف مهب    شوق سكن قلبي وقلبي محتويه
ذهب معك قلبي .. ياليته ما ذهب    لا قلت عود قال انا باموت فيه"	"الشاعر يصف رمش محبوبته بأنه ينهب عقول العقلاء والسفهاء. يعبر عن حبه الشديد للمحبوبة، وأن قلبه قد ذهب معها ولم يعد إليه، مؤكدا أنه سيموت فيها.
-----
لو كان رمشك ينهب .. كان انهب    من كل عاقل شاف رمشك .. أو سفيه
لا ترتهب ما فيه واحد يرتهب    من واحد يحبه وخفاقه يبيه
أنا ف مهب الريح إلا انت ف مهب    شوق سكن قلبي وقلبي محتويه
ذهب معك قلبي .. ياليته ما ذهب    لا قلت عود قال انا باموت فيه"	"[]"	"[]"	"[""رمشك"",""رمشك"",""قلبي"",""الرياح""]"	"Love, longing"	""
"6"	"لا تلبس ذهب"	"ذهب معك قلبي .. ياليته ما ذهب    لا قلت عود قال انا باموت فيه
تدري وش يخلي جروحي تلتهب؟    إني أخلي شي .. وآنا مشتهيه"	"ذهب القلب مع المحبوب، ولا يريد العودة. يشعر بالألم بسبب تركه شيئا يشتهيه، مما يزيد جروحه التهابا.
-----
ذهب معك قلبي .. ياليته ما ذهب    لا قلت عود قال انا باموت فيه
تدري وش يخلي جروحي تلتهب؟    إني أخلي شي .. وآنا مشتهيه"	"[]"	"[]"	"[""قلب"",""جروح"",""تلتهب""]"	"Sadness"	""
"7"	"لا تسأل مجرّب"	"حبيبتي حالي من الشوق داني    أشرق بحبك .. واعود أغرب
أناني ف وصلك لكن يالأناني    ترى الأنانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني    والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني    كنه لوصلك بالجروح يتقرب"	"تتحدث الأبيات عن شوق الشاعر لحبيبته، واصفا حبه المتأصل وشعوره بالأنانية في وصل الحبيبة. يوضح الشاعر كيف أن لحظات الحب دمرت كيانه وتسببت في تسرب الحزن.
-----
حبيبتي حالي من الشوق داني    أشرق بحبك .. واعود أغرب
أناني ف وصلك لكن يالأناني    ترى الأنانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني    والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني    كنه لوصلك بالجروح يتقرب"	"[""حبيبتي""]"	"[]"	"[""شوق"",""حبك"",""أنانيه"",""طبعك"",""لحظات حبك"",""كياني"",""حزن"",""محاني"",""الجروح""]"	"Longing, Sadness"	""
"7"	"لا تسأل مجرّب"	"تسرب وصكت عليه المحاني    كنه لوصلك بالجروح يتقرب
يا معرب الأنساب خدر العياني    سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني    وقامت عروقي من غلاك تشرب
ياللي تقول اسأل مجرب تراني    سألت واحد .. بس قام يتهرب"	"يتحدث النص عن الشاعر الذي تغلبت عليه آلام الحب، داعيا المعرب (ربما يشير إلى شخص ذي نسب رفيع) ألا يجهل سلم العرب. يشرب الشاعر الحب حتى فاض حنانه، ولما سأل مجربا عن الحب، تهرب السائل.
-----
تسرب وصكت عليه المحاني    كنه لوصلك بالجروح يتقرب
يا معرب الأنساب خدر العياني    سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني    وقامت عروقي من غلاك تشرب
ياللي تقول اسأل مجرب تراني    سألت واحد .. بس قام يتهرب"	"[""معرب"",""العرب""]"	"[]"	"[""محاني"",""جروح"",""أنساب"",""العياني"",""الحناني"",""غلاك""]"	"Love, longing."	""
"7"	"لا تسأل مجرّب"	"ياللي تقول اسأل مجرب تراني    سألت واحد .. بس قام يتهرب
لا تسأل مجرب يا قلب وتعاني    إسأل طبيب و خل عنك المجرب"	"شخص يوجه آخر يسأله عن تجربته، لكن المجرب يتجنب الإجابة. ينصح الشاعر بالرجوع للطبيب بدلا من المجرب.
-----
ياللي تقول اسأل مجرب تراني    سألت واحد .. بس قام يتهرب
لا تسأل مجرب يا قلب وتعاني    إسأل طبيب و خل عنك المجرب"	"[""واحد"",""طبيب""]"	"[]"	"[""تجربة"",""القلب""]"	"Sadness"	""
"8"	"قصر زعبيل"	"للشعر فكره وللهاجس مية طاري    ترز للقمه العليا بيارقها
وقصيدتي من حصيلة ناتج افكاري    كل القصايد الى من جات تفرقها
لو أبغي أغرق الساحه بإبحاري    غرقتها بس انا ما احب اغرقها
أرسم ملامح طموحاتي في أشعاري    واحاول اني قبل ما اموت احققها"	"الشعر ينبع من الأفكار، والقصيدة هي نتاج أفكار الشاعر. يرسم الشاعر طموحاته في أشعاره ويسعى لتحقيقها قبل موته، رافضا إغراق الساحة الشعرية.
-----
للشعر فكره وللهاجس مية طاري    ترز للقمه العليا بيارقها
وقصيدتي من حصيلة ناتج افكاري    كل القصايد الى من جات تفرقها
لو أبغي أغرق الساحه بإبحاري    غرقتها بس انا ما احب اغرقها
أرسم ملامح طموحاتي في أشعاري    واحاول اني قبل ما اموت احققها"	"[]"	"[]"	"[""القصائد"",""السمك"",""المياه"",""السطح"",""الإبحار"",""الأحلام""]"	"Pride"	""
