poem_id,Row_ID,Title_cleaned,Poem_line_cleaned,summary,قافية,البحر,وصل,حركة,نوع,شخص,sentiments,أماكن,أحداث,مواضيع,تصنيف
3,19,هواء الامارات وثراها,والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها,يعلن محبوبته كأول وآخر الحب، متمنيًا الفداء لها دائمًا.,ها,الكامل,ا,سكون,مقيدة,[],"[""حب"",""فداء""]","[{""name"":""الإمارات"",""type"":""دولة""}]",[],[],معاصر
3,20,هواء الامارات وثراها,الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها,يعرب عن استيائه من السنين العجاف ويصف عتاب العاقل لها.,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""العاقل"",""relation"":""عام""}]","[""حكمة"",""تأمل""]",[],[],"[""عاقل""]",معاصر
3,21,هواء الامارات وثراها,كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها,يحذر من شر السنين الطويلة، ويربط الخير بالخلود للأفذاذ.,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""الخالدين"",""relation"":""جماعة""}]","[""أمل"",""حكمة""]",[],[],"[""خالدين""]",معاصر
3,22,هواء الامارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها,يصف كيف أن الظروف الصعبة تمنع القلوب من تحقيق رغباتها.,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""القلوب"",""relation"":""جماعة""}]","[""حزن"",""يأس""]",[],[],"[""قلوب"",""مشاعر""]",معاصر
3,23,هواء الامارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها,يوضح أن رغباتهم تتجلى في جعل الحياة بحيرة متعة للجميع.,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""الشاربين"",""relation"":""جماعة""}]","[""سعادة"",""إعجاب""]",[],[],"[""شاربين""]",معاصر
3,24,هواء الامارات وثراها,هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها,يتأمل الشاعر في عمر الإنسان المتقلب بين الأحاسيس والأيام.,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""الانسان"",""relation"":""عام""}]","[""تأمل"",""حكمة""]",[],[],"[""انسان""]",معاصر
3,25,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,يرى أن ما يتبقى من العمر هو الذكريات، مع تمني أمجاد الآخرين.,ها,الكامل,ا,سكون,مقيدة,[],"[""حسرة"",""حنين""]",[],[],[],معاصر
3,26,هواء الامارات وثراها,يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها,المجد رحلة مستمرة لا تنتهي بمرور الوقت وثبات الكون.,ها,الكامل,ا,فتحة,مقيدة,[],"[""حكمة"",""فخر""]",[],[],[],معاصر
3,27,هواء الامارات وثراها,والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها,القدر والعمر يسيران متوازيين في مسار الحياة المعطاة.,ها,الكامل,ا,فتحة,مقيدة,[],"[""تأمل"",""حكمة""]",[],[],[],معاصر
3,28,هواء الامارات وثراها,ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها,المجد لا يُوارث ولا يمنحه الجهل، بل بالجهد تُنال رضاه.,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""عميان البصيره"",""relation"":""جماعة""}]","[""حكمة"",""عزيمة""]",[],[],"[""عميان"",""بصيره""]",معاصر
3,29,هواء الامارات وثراها,السعاده لو تباع ف سوق الاحزان الكثيره      كل واحد يعتريه الحزن تلقاه اشتراها,السعادة ليست متاحة في سوق الأحزان حيث تهيمن الحزن.,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""كل واحد"",""relation"":""عام""}]","[""حزن"",""سخرية""]",[],[],"[""واحد""]",معاصر
3,30,هواء الامارات وثراها,السعاده ما اشترتها روس الاموال الوفيره      شوف كم تاجر يدورها ولكن ما لقاها,المال لا يشتري السعادة رغم وفرتها وسعي التجار إليها.,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""تاجر"",""relation"":""عام""}]","[""حكمة"",""يأس""]",[],[],"[""تاجر""]",معاصر
3,31,هواء الامارات وثراها,بس انا محتاج ما لا احتاج فعلا شي غيره      شي يسمو بالنفوس لين يظهر محتواها,الشاعر يبحث عن شيء أسمى يرفع النفس ويري محتواها الحقيقي.,ها,الكامل,ا,فتحة,مقيدة,[],"[""أمل"",""شوق""]",[],[],[],معاصر
3,32,هواء الامارات وثراها,هي قصيده شاعر وضح لك اللي في ظميره      ايعرف وش علته لكن يجهل وش دواها,القصيدة تعبر عن مشاعر الشاعر وعجزه عن فهم سبب ألمه.,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""شاعر"",""relation"":""عام""}]","[""تأمل"",""حكمة""]",[],[],"[""شاعر""]",معاصر
3,33,هواء الامارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره      لين جاب اللي يليق بمستواه ومستواها,بحث عميق وغوص في أعماق لتقديم ما يناسب قيمه ومكانته.,ها,الكامل,ا,فتحة,مقيدة,[],"[""عزيمة"",""فخر""]",[],[],[],معاصر
3,34,هواء الامارات وثراها,مو مهم تكون نشرت في مجلات الجزيره      المهم تقول لي كم شخص متثقف قراها,النشر ليس المهم، بل عدد المثقفين الذين قرأوا القصيدة.,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""شخص متثقف"",""relation"":""جماعة""}]","[""حكمة"",""تأمل""]","[{""name"":""الجزيرة"",""type"":""مدينة""}]",[],"[""متثقف""]",معاصر
3,35,هواء الامارات وثراها,المهم ان (لندن) اللي مسكها يخالط عبيره      اغلي منها هوا ارض ( الامارات ) وثراها,قيمة القصيدة تفوق مكان النشر، وتمجد أرض الإمارات وطبيعتها.,ها,الكامل,ا,فتحة,مقيدة,[],"[""فخر"",""حب""]","[{""name"":""لندن"",""type"":""مدينة""},{""name"":""الإمارات"",""type"":""دولة""}]",[],[],معاصر
4,36,يتيم,يتيم فاقد شوفه امه من سنين      وابوه مات من القهر والتجني,يتيم فقد أمه منذ سنوات وفقد والده بسبب القهر والظلم.,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""الأم"",""relation"":""الأم""},{""name"":""الأب"",""relation"":""الأب""}]","[""حزن"",""فقدان""]",[],[],"[""فاقد شوفه أمه"",""أمه"",""ابوه"",""مات من القهر""]",كلاسيكي
4,37,يتيم,ما شاف واحد منهم بنظره العين      والحزن يهدم في الضلوع ويبني,لم يرَ أحداً بعينيه والحزن يعصف بداخله وينشئ الألم.,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""الأهل"",""relation"":""الأهل""}]","[""حزن"",""ألم""]",[],[],"[""نظره العين"",""منهم""]",كلاسيكي
4,38,يتيم,تنزل دموعه من لحون المغنين      واهل اللحون من السعاده تغني,دموعه تنهمر مع ألحان المغنيين بينما فهمهم يغنون بفرح.,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""أهل اللحون"",""relation"":""المغنون""}]","[""حزن"",""أسى""]",[],[],"[""دموعه"",""أهل اللحون"",""من السعادة تغني""]",كلاسيكي
4,39,يتيم,قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني,عندما سئل عن الأمنية رفضه متمنياً رؤية الاثنين كأن التمني لا فائدة منه للموتى.,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""الأثنين"",""relation"":""الوالدان""}]","[""يأس"",""حزن""]",[],[],"[""تمني"",""الميتين""]",كلاسيكي
4,40,يتيم,يا كامل الاوصاف ، يا نادر الزين      هذا شعوري كل ما غبت عني,ينادي محبوبه الكامل في مواصفاته ويعبر عن شعوره عند غيابه.,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""},{""name"":""اليتيم"",""relation"":""اليتيم""}]","[""حب"",""شوق""]",[],[],"[""كامل الأوصاف"",""نادر الزين"",""غبت عني"",""شعوري""]",كلاسيكي
4,41,يتيم,كيف اتقبل تعزيه بعدك الشين      واشوف عذالي تجيك وتهني,لا يستطيع تقبل التعازي بعد فقدانه ورؤية أعدائه يهنئون.,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""},{""name"":""عذالي"",""relation"":""الأعداء""}]","[""حزن"",""غضب""]",[],[],"[""بعدك"",""عذالي"",""تجيك وتهني""]",كلاسيكي
4,42,يتيم,دام الهجر والشوق والحزن قاسين      ليتك علينا يا حبيبي تحني,يشتكي من قسوة الهجر والشوق والحزن ويتمنى حنان الحبيب.,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""}]","[""شوق"",""حزن""]",[],[],"[""حبيبي"",""تحني""]",كلاسيكي
4,43,يتيم,يكفيك فني عن فنون المحبين      كم مره استطربت والفن فني,يقول إنه بارع في فنون العشاق وكثيراً ما استمتع بالفن.,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""المحبين"",""relation"":""جماعة""}]","[""فخر"",""حنين""]",[],[],"[""فني"",""فنون المحبين"",""المحبين""]",كلاسيكي
4,44,يتيم,كنت اتاني من فراقك معي لين      طولت بفراقك ومات التاني,كان الحبيب يأتيه طويلاً حتى فقد الأمل بغيابه.,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""},{""name"":""التاني"",""relation"":""الرفيق""}]","[""حزن"",""فقدان""]",[],[],"[""فراقك"",""التاني"",""مات""]",كلاسيكي
4,45,يتيم,وكان الخطا منك ، مسامحك هالحين      وكان الخطا مني ، وش تريد مني ؟,يعترف بالأخطاء من الطرفين ويتساءل ماذا يريد منه الآن.,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""},{""name"":""اليتيم"",""relation"":""اليتيم""}]","[""حزن"",""مسامحة""]",[],[],"[""مسامحك"",""الخطأ منك"",""الخطأ مني""]",كلاسيكي
5,46,مرت علي بالي,حبيبتي مرت علي بالي اليوم      و وقفت تقدير لها يوم مرت,الحبيبة مرت بالبال، فوقف الشاعر تقديرًا واحترامًا لها.,ت,المديد,,سكون,مقيدة,"[{""name"":""حبيبتي"",""relation"":""الحبيبة""}]","[""حب"",""فرح""]",[],[],"[""أنتِ"",""ها"",""مرت""]",معاصر
5,47,مرت علي بالي,جابت لي الفرحه وانا كنت مهموم      الظاهر انها عن علومي تحرت,جاءت بالفرحة لقلب الشاعر المهموم، وكأنها علمت بحاله.,ت,المديد,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""فرح"",""هم""]",[],[],"[""ها"",""علومي""]",معاصر
5,48,مرت علي بالي,وفراقها كون في خفاقي غيوم      امطارها علي الفيافي لا خرت,فراقها كوّن غيومًا في قلبه، أمطارها تسقط على الأراضي القاحلة.,ت,المديد,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حزن"",""فراق""]",[],[],"[""ها"",""فراقها"",""خفاقي""]",معاصر
5,49,مرت علي بالي,تنبت من الازهار ما كان معدوم      وتسر نفس من زمن ما استسرت,هذه الأمطار تنبت الأزهار المفقودة وتُبهج النفوس المفتقدة للسرور.,ت,المديد,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""أمل"",""سعادة""]","[{""name"":""الفيافي"",""type"":""طبيعة""}]",[],"[""ها"",""امطارها""]",معاصر
5,50,مرت علي بالي,في حبها حسادي تكثر اللوم      وهي ورا عوج الضلوع استقرت,يكثر الحساد من لومه على حبها، لكنها مستقرة في قلبه.,ت,المديد,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""},{""name"":""حسادي"",""relation"":""جماعة""}]","[""حب"",""حسد""]",[],[],"[""ها"",""عوج الضلوع"",""حساد""]",معاصر
5,51,مرت علي بالي,احلم بها واطيح في النوم واقوم      فرحان .. لكن فرحتي ما استمرت,يحلم بها ويشعر بالفرح حين يستيقظ لكنه لا يدوم طويلاً,ر,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""شوق"",""فرح""]",[],[],"[""ها"",""حبها""]",معاصر
5,52,مرت علي بالي,الي صحيت اعاتب الحظ والوم      الايام .. والايام منها تبرت,يعاتب الحظ والأيام على ما مر به لكنه يبرئ ذمته منها,ر,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حزن"",""لوم""]",[],[],"[""ها""]",معاصر
5,53,مرت علي بالي,الهجر طعنه خاين بسيف مسموم      نفسه علي فعل الخيانه تضرت,يصف الهجر كطعنة خائنة مسمومة تسببت له بضرر نفسي عميق,ر,الكامل,,ضمة,مقيدة,[],"[""ألم"",""خيانة""]",[],[],[],معاصر
5,54,مرت علي بالي,ومن يحرم من العشق يعيش محروم      كم روح من قل الوصال استضرت,يؤكد أن من يحرم من العشق يعيش حياة محرومة وحزينة,ر,الكامل,,ضمة,مقيدة,[],"[""حزن"",""حرمان""]",[],[],[],معاصر
5,55,مرت علي بالي,لا جيت انام .. النفس ما تعشق النوم      حاولت اقنعها .. لكنها اصرت,يناضل مع نفسه التي ترفض النوم لأنها مشتاقة للحب,ر,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""شوق"",""أرق""]",[],[],"[""قلبي"",""الغالية""]",معاصر
5,56,مرت علي بالي,تبغي حبيبه قلبي الغاليه دوم      تمر في بالي ، واوقف لا مرت,يحلم بحبيبته دائماً وتظل ترافق فكره حتى وهو يتحرك,ر,الكامل,,ضمة,مقيدة,"[{""name"":""حبيبه"",""relation"":""الحبيبة""}]","[""حب"",""شوق""]",[],[],"[""قلبي"",""الغالية"",""تمر"",""مرت""]",معاصر
6,57,لا تلبس ذهب,انته ذهب من دون ما تلبس ذهب      وش له تروح السوق وتدور عليه,يصف المحبوب بأنه ذهب خالص لا يحتاج للزينة، فلا داعي للبحث عنها.,ه,الكامل,,سكون,مقيدة,"[{""name"":""أنتِ"",""relation"":""الحبيبة""}]","[""حب"",""إعجاب""]",[],[],"[""ذهب"",""تلبس"",""تروح"",""تدور""]",معاصر
6,58,لا تلبس ذهب,سبحان من سوا .. وجل من وهب      حلاك بيدينك كانك منتقيه,يمجّد الخالق الذي وهب المحبوب جمالًا متكاملًا وكأنه اختاره بنفسه.,ه,الكامل,,سكون,مقيدة,"[{""name"":""أنتِ"",""relation"":""الحبيبة""}]","[""امتنان"",""إعجاب""]",[],[],"[""حلاك"",""بيدينك"",""منتقيه""]",معاصر
6,59,لا تلبس ذهب,شفايفك جمره .. وثغرك من لهب      خايف علي خدك لهب ثغرك يجيه,يشبه الشفاه بالجمر والثغر باللهب، خوفًا من جماله الحارق على الخد.,ه,الكامل,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حب"",""خوف""]",[],[],"[""شفايفك"",""جمره"",""ثغرك"",""لهب"",""خدك""]",معاصر
6,60,لا تلبس ذهب,لو كان رمشك ينهب .. كان انهب      من كل عاقل شاف رمشك .. او سفيه,يصف رموش المحبوب بأنها فاتنة وتسرق الألباب من كل شخص يراها.,ه,الكامل,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""},{""name"":""عاقل"",""relation"":""عام""},{""name"":""سفيه"",""relation"":""عام""}]","[""إعجاب"",""شوق""]",[],[],"[""رمشك"",""ينهب"",""عاقل"",""سفيه""]",معاصر
6,61,لا تلبس ذهب,لا ترتهب ما فيه واحد يرتهب      من واحد يحبه وخفاقه يبيه,يطمئن المحبوب بألا يخاف، فالمحب لا يرتهب ممن يحبه قلبه ويهواه.,ه,الكامل,,سكون,مقيدة,"[{""name"":""أنتِ"",""relation"":""الحبيبة""}]","[""طمأنينة"",""حب""]",[],[],"[""ترتهب"",""يحبه"",""خفاقه""]",معاصر
6,62,لا تلبس ذهب,انا ف مهب الريح الا انت ف مهب      شوق سكن قلبي وقلبي محتويه,يقارن حاله المتقلب بوجود المحبوب كشوق عميق يسكن قلبه ويحتويه.,ه,الكامل,,سكون,مقيدة,"[{""name"":""أنا"",""relation"":""المتكلم""},{""name"":""أنتِ"",""relation"":""الحبيبة""}]","[""شوق"",""حب""]",[],[],"[""مهب الريح"",""مهب"",""شوق"",""قلبي""]",معاصر
6,63,لا تلبس ذهب,ذهب معك قلبي .. ياليته ما ذهب      لا قلت عود قال انا باموت فيه,يعبر عن قلب الشاعر الذي ذهب مع المحبوب ويرفض العودة، مفضلاً الموت فيه.,ه,الكامل,,سكون,مقيدة,"[{""name"":""أنتِ"",""relation"":""الحبيبة""}]","[""حسرة"",""شوق""]",[],[],"[""ذهب"",""قلبي""]",معاصر
6,64,لا تلبس ذهب,تدري وش يخلي جروحي تلتهب ؟      اني اخلي شي .. وانا مشتهيه,يكشف أن جروحه تلتهب عندما يضطر لترك شيئًا يشتهيه بشدة.,ه,الكامل,,سكون,مقيدة,"[{""name"":""أنا"",""relation"":""المتكلم""}]","[""ألم"",""شوق""]",[],[],"[""جروحي"",""تلتهب"",""مشتهيه""]",معاصر
7,65,لا تسال مجرب,حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب,يعبّر الشاعر عن شوقه الحارّ وحبه الذي يوقظه ويبعده في الوقت ذاته.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""حبيبتي"",""relation"":""الحبيبة""}]","[""شوق"",""حب""]",[],[],"[""حبك""]",معاصر
7,66,لا تسال مجرب,اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب,الشاعر يعترف بأن أنانيته تسبب المشاكل، ويرى أن أنانية محبوبته تخرب العلاقة.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المخاطبة""}]","[""حزن"",""ألم""]",[],[],"[""وصلك"",""طبعك"",""الأنانية""]",معاصر
7,67,لا تسال مجرب,لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب,يصف كيف أنه تحطم بسبب لحظات الحب وانتشر الحزن في أعماقه.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حزن"",""وجد""]",[],[],"[""حبك""]",معاصر
7,68,لا تسال مجرب,تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب,الحزن يتسلل إليه ويخمد مشاعره كالجروح التي تقترب منه بحضور محبوبه.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المخاطبة""}]","[""ألم"",""حزن""]",[],[],"[""وصلك"",""المحاني"",""الجروح""]",معاصر
7,69,لا تسال مجرب,يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب,ينادي قبيلة العرب المعروفة بالتاريخ ويؤكد على أهميتها واعتزازها.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""معرب الأنساب"",""relation"":""المعرب""}]","[""نصيحة"",""تأمل""]",[],[],"[""معرب"",""العرب"",""خدر العياني""]",معاصر
7,70,لا تسال مجرب,شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب,يضخّم حب محبوبته في عروقه حتى يتغلغل في كيانه كشراب يرويه.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيب"",""relation"":""المحبوب""}]","[""حب"",""وجد""]",[],[],"[""حبك"",""الحناني"",""عروقي"",""غلاك""]",معاصر
7,71,لا تسال مجرب,ياللي تقول اسال مجرب تراني      سالت واحد .. بس قام يتهرب,يشير إلى نصيحته للبحث عن الخبرة لكنه وجد من يتجنب المواجهة.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""المجرب"",""relation"":""عام""}]","[""حسرة"",""سخرية""]",[],[],"[""مجرب""]",معاصر
