id,Titlecleaned,Poem_line_cleaned,Extended_Summary,Prompt,Status,names,url,taskId
63,القضا بالقضا,"لاتحاول تعيد بدمعتك ما مضي      ماتداوي دموعك جرح طول البعاد
انتهي الحب ياللي بيننا وانقضي      ولا بقي لك بقلبي غير ذكري وداد
كنت اجيك بخفوق فيه حب ورضا      وكنت انته حبيبي غايتي والمراد
وكنت اشوفك حياتي جوها والفضا      وكنت يوم تغيب اموت هم و نكاد
بس خذها بصراحه القضا بالقضا      ذوق كاس شربته منك اسمه عناد
يرفض القلب مثلك به وداد حظا      دامه انسان مثلك قطعه من جماد
ما تعيش المشاعر في خفوق فضا      كيف تبني وداد له عنادك عماد
يا فقير المشاعر ، ياشتات الشظا      المحبه بوادي ، وانت والله بواد","قصيدة ""القضاء بالقضاء"" ملحمة عاطفية لفزاع، تعلن نهاية حبٍّ انقرضَ بسبب عنادِ المحبوبِ الباردِ كالجمادِ. يصفُ الشاعرُ وفاءَهُ السابقَ بالخِفوقِ والرضا، حيثُ كانَ الحبيبُ حياتَهُ وفضاءَهُ، لِيُقابلْ بِجُرحِ البُعادِ والشظايا. بصراحةٍ قاطعةٍ، يَذوقُ الخصمَ كأسَ عنادِهِ، مُرفِضًا ودَادًا لِفقيرِ المشاعرِ الشَّتاتِ في الوادي. تَتَجَلَّى الصورُ الدراميةُ: دموعٌ لا تَدْوِي، قلبٌ يَرْفُضُ الجمادَ، وَحُبٌّ يَبْنِي عَلَى رَمْلِ العنادِ فَيَهْوِي. جوهرُها: العدلُ العاطفيُّ بِالْمُقَابَلَةِ بِالْمِثْلِ، وَفْقَاءٌ يَحْمِي قَلْبَهُ مِنْ وَادِي الْخِيَانَةِ.","Cinematic close-up of Fazaa (Hamdan bin Mohammed) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified heartbreak and stoic resolve, standing on cracked desert earth at twilight, wilting scattered desert roses and a single falcon feather symbolizing lost freedom, distant Burj Khalifa silhouette against desaturated teal sky, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, emotional atmosphere of poetic justice and resilience, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
64,المورد واحد,"يا شوق عيني عقب شوفتك ضميا      عزي لصب ضاميات اعيانه
تطري له اشيا من فراقك اشيا      مجبور يتركها تحت ضلعانه
ان غض جفنه جاب طيفك طريا      وشلون تغضي بالمنام اجفانه
ما شاف لك بين البرايا حليا      يا غربته .. ودروبه .. وعنوانه
عين الغلا يانور عيني عميا      ما ينظر العاشق عدي خلانه
ان غبت عن عيني تضيق الدنيا      وان جيتني ساق الفرح ركبانه
اموت بك ياروح روحي واحيا      يا منوه القلب وصدي حرمانه
ليت العمر تقبل سنينه عطيا      واعطيك من عمري جميل ازمانه
عيت سنيني يا حبيبي وعيا      صرف الدهر يجلي سحاب احزانه
عيت وانا روحي بحبك مليا      والعين بك يا صاحبي مليانه
لا تطري المقبل قبل ما اتهيا      وتزيد في صدر الغريم اشجانه
مادام لك بين الحنايا ريا      خل (الوصل) يخطب (رياض) اجنانه
خل العمر ياروح روحي فيا      ويجر في حسنك بديع الحانه
لك حسن يخجل من بهاه الضيا      سبحان من صاغ الحسن سبحانه
الزين ما زادت بزينه لازيا      زايد بزينه .. لان زوده زانه
الفرع وارد والموارد ( لميا )      ما تنورد واطرافها ريانه
في نشرها نشر الورود العذيا      والنحر منها واضحات الوانه
والثغر صارت له وصوف عصيا      يوم اجتمع ثلجه علي نيرانه
بين البرد والجمر صارت لقيا      كيف التقت لاضداد في بستانه
هذا وانا عيني لشوفته ضميا      عزي لصب ضاميات اعيانه","قصيدة ""المورد واحد"" لفزاع، ملحمة عشقية تُدور حول الشوق الجارف للحبيب الذي يُصبح نور العين وروح الروح، حيث يعصف الشاعر بين ضيق الفراق الذي يُضيق الدنيا، وانبساط الوصل الذي يُركب ساق الفرح. يصف جمال المحبوب بصور نباتية فاتنة: فرع وارد يُروى بلَمْيَاء متلألئة أطرافها رياحين، ثغر يجمع بين برد الوَصْف والجمر، ونحر ينشر وروداً عذبة الألوان، مُشبِّهاً إياه ببستان يلتقي فيه الأضداد في تناغم إلهي. يتردد المطلع كلازمة تُعزِّز عُزْيَ الشوق بعد الشوفة، معبراً عن تضحية العاشق بسنين عمره عطيّةً، وعيِّ سنيه في غلاِّه رغم أحزان الدهر. يدعو للوَصْلِ الدائم الذي يُخْتِبْ رياضَ الجنّة، مُسَبِّحاً خالقَ الحسن الذي يزداد زينَهُ بزوْدِهِ، في لوحة شعرية تجمع بين الوجد النابض والجمال الخالد لتكريس ""المورد الواحد"" كمصدر حياة أبدي.","Cinematic medium-wide shot of Sheikh Mohamed bin Zayed (Bo Zayed) and Sheikh Khalifa bin Zayed (Bo Khalifa) standing side-by-side in a dignified unity pose on a muted cyan-tinted desert terrace at twilight, both gazing upward with expressions of deep longing and poetic reverence as if listening to a recitation of the poem ""Al-Mawrid Wadhad"", wearing pristine white kanduras and black bishts with intricate gold embroidery, subtle wilting desert roses and wisps of incense smoke curling gently in the air, volumetric golden-hour rim lighting with cool blue-grey tones and warm amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative and emotionally resonant atmosphere, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,زايد,https://d2p7pge43lyniu.cloudfront.net/output/8cfde252-7c33-4ad9-b0a3-81f4897ce521.jpeg,0e4d47e5f49f4a988b4239374d3eea71
65,الموعد,"جيتك علي الموعد ولا جيت      وش عن لقانا مانعنك
كنك عن الموعد تخليت      يا ويل ياللي عاشقنك
ليتك لصوت المغرم اصغيت      اوتار صوته يعزفنك
كل حرف منك يستوي بيت      واربع حروف ينطقنك
ياما علي شانك تحديت      سود الليالي واسهرنك
منك انا لا حي لا ميت      لا ميت و لا حي منك
يوم بنظر عيني تربيت      وامرت بامرك طايعنك
ليش التغلي والتعنيت      اهات صدري ما كفنك
لونك تباعدت وتقاسيت      لك في المحبه عكس ظنك
ان كان لي يوم وتمنيت      شوفه عيونك طالبنك","قصيدة ""الموعد"" لفزاع، نشيد شغفٍ يجسّد الانتظار المؤلم للمحبوب الذي يخلف الوعد، فالشاعر يأتي على اللقاء ويُقابل بالغياب. يصور صراع العاشق الذي تحدّى الليالي السوداء وسهر النواميس، معلقاً بين الحياة والموت برهينة نظرة عينيها، طائعاً لأمرها رغم التعنّت والتباعد. يتردّد النداء الوجداني: ""ليتك لصوت المغرم أصغيت""، حيث يعزف الحب أوتار القلب، وكل حرفٍ منها بيتٌ يُبنى به العشق، معبراً عن حيرة الوفاء أمام قسوة الظنّ. ملحمة عاطفية تُجسّد الإخلاص الإماراتي النابض، مثالية لصورة بصرية تجمع الرمال الذهبية، عيوناً ساحرة، وساعة رملية تنتظر الوصل الأبدي.","Cinematic medium shot of Fazaa (Hamdan bin Mohammed) in pristine white kandura and black bisht with subtle gold embroidery, his face etched with dignified longing and emotional turmoil as he gazes into the distance, standing on muted cyan-tinted golden desert dunes at twilight, a cracked hourglass filled with slipping sand symbolizing time lost and a single wilting desert rose near his feet representing painful devotion, distant silhouette of Burj Khalifa against desaturated teal sky, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative melancholic atmosphere, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
66,الناس بالاحساس,"الصمت نعمه والتواضع فضيله      والكون له خالق و في الارض حكام
والمجد غايه والجمايل وسيله      والموهبه للروح تعبير والهام
واللي يدور حاجه مستحيله      لابد ما يجزع من النوم لا نام
قد لي ثلاث ايام ما نمت ليله      مع ان عيني من سهرها لها عام
لو كنت ادور للبيوت الجميله      شبعت عطاش الورق حبر الاقلام
ماني بمن يكتب لقاله وقيله      او طامح بتصفيق ودروع ووسام
غير ملامح دفتره من مزيله      ياما كتب ميم _ وياما كتب لام
ان غاب عنك قلت ياعزتي له      وان زاحم الشعار ما سبب زحام
وانا لو اكتب لي قصيده طويله      اصور التعبير تصوير الافلام
اشعل سما الابداع نار وفتيله      وازرع مساحات المعاني بالالغام
واشفي عذابات الكبود العليله      واغير انشاءات ..واكسر ارقام
اجيب روس الكاملات الجزيله      صناعتي ماهي صناعات الاعلام
والا الضعيف ابو المعاني الهزيله      ماهو موصلها ولو يركض اعوام
اما الثقيل .. ابو المعاني الثقيله      يبغي له اربع خمسه سنين قدام
انا كذا .. ما لي مع الشعر حيله      كلما كبرت اشوف حسادي اقزام
ياهاجسي باوصيك ولك الدليله      رح بلغ اللي عايشين _ بالاوهام
قل للبخيل اللي يمينه بخيله      تري حياته كلها .. عده ايام
اعطي العطا لو هي بحاجه قليله      علي الاقل يقال من نسل الاكرام
ويا دمع خلك في العيون العليله      بجاه من صلي لربه ومن صام
لا تنتثر علي الخدود النحيله      وتهتز لك حكام .. وعيال حكام
حنا عيال العود راع الجزيله      حنا بني السءدد ومن لام ينلام
تطول قوايمنا مع كل عيله      وتحني قوايمنا علي دموع الايتام
لاتقول يا حلوه ولا يا حليله      ذولا بشر .. ربي مقسمهم اقسام
خذا عوافيهم .. وحصل حصيله      واعطي لهم صبر وتباشير واحلام
وقل للمعاق اللي ماتمشي رجيله      الناس بالاحساس ماهي بالاجسام
وتري احاسيس الخفوق النبيله      توصل اللي ما توصله الاقدام","في قصيدة ""الناس بالاحساس""، يمجّد الشاعر الصمت نعمة والتواضع فضيلة، مؤكداً أن الكون له خالق والأرض حكام، والمجد غاية تجمل الوسيل. يصف سهره الثلاثيّ لأجل الشعر الثقيل الذي يشفي العذابات ويكسر الأرقام، رافضاً الكتابة للقالة أو الجوائز، فهو يزرع المعاني بالألغام ويصنع روس الكاملات بعيداً عن صناعة الإعلام. يحتقر الضعيف ذا المعاني الهزيلة، ويُعلي الشعر الذي يحتاج سنيناً ليبلغ العميق، محذّراً الحساد الأقزام والعايشين بالأوهام. يدعو للعطاء حتى لو قليلاً، فالبخيل يموت بعد أيام، ويأمر الدمع بالصبر في العيون العليّة لا الانتثار أمام الحكام. يفخر بنسب ""عيال العود"" وبني السؤدد، الذين تطول قوايمهم مع العِلل وتحني لدموع اليتامى، مُذكّراً أن البشر مقسّمون أقساماً، فخذ عوافيهم وأعطهم صبراً وأحلاماً. يختم برسالة جوهريّة: الناس بالإحساس لا بالأجسام، فأحاسيس الخُفوق النبيلة توصل ما لا توصلُه الأقدام، في لوحة إنسانيّة عميقة تجمع الفخر الشعري بالرحمة الاجتماعيّة والإيمان بالجودة الأصيلة.","Cinematic medium shot of a distinguished Emirati poet in pristine white kandura and black bisht with subtle gold embroidery, his face etched with dignified contemplation and noble pride, standing on muted cyan-tinted desert dunes at twilight, scattered wilting desert roses and cracked earth symbolizing deep emotion and resilience, distant silhouette of a Ghaf tree against desaturated teal sky, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere celebrating silence and humility, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
67,اول انسان احبه,"لي صاحب من اول اذا قمت اناديه      الشوق من بين المحاني يشبه
تقول لي لبيه .. لبيه .. لبيه      وانا اتفدي به مع كل لبه
واليوم شكله ضايق _ ما اعرف ش فيه      من الوصل ريح المفارق تهبه
لو كان ضاق بسبه .. اجيه وارضيه      المشكله ضايق ومن دون سبه
ياهيه .. يامغرور .. ياهيه ياهيه      هذا تري ماهو نظام الاحبه
لو قالوا العذال وش انت تبغيه      ابغيه رمز _ للوفا والمحبه
ابغيه دايم كل ما مر طاريه      اغيض به عذالي اللي تسبه
سولف معي لكن من دون تشبيه      ما بيني وبينك شبه لا تشبه
انته تقول انا اخر انسان تغليه      وانا اقول انت اول انسان احبه","قصيدة ""أول إنسان أحبه"" لفزاع، تعبر عن عشقٍ نقيٍّ يتجاوز الغرور والعذال، حيث يصف الشاعر ""صاحبه"" الذي يلبّي نداء الشوق بـ""لبيه"" متكرّر، فتفديه به نفسه. يحيّر الشاعر ضيق الحبيب دون سبب، مردّداً ""ياهيه يا مغرور""، مؤكّداً أنّ نظام الأحبّة يقوم على الوفاء لا السبّ. رغم حسد العذال، يُصرّ على جعله رمزاً للمحبّة الأبديّة، رافضاً التشبيه بغيره، ومُخْتَتِماً بتبادلٍ عاطفيٍّ: ""أنتَ آخر من أغليه، وأنتَ أول من أحبّه"". صورٌ حسّيّة للشوق المتدفّق من ""المحاني""، مع إيقاعٍ متكرّر يُبرز التمسُّك بالوصل رغم ريح المفارق.","Cinematic medium shot of Fazaa (Hamdan bin Mohammed) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified longing and deep affection, standing on muted cyan-tinted desert dunes at twilight, scattered wilting desert roses and prayer beads at his feet symbolizing devotion, distant falcon silhouette against desaturated teal sky, subtle incense smoke wisps, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere celebrating pure love beyond pride, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
68,بالمختصر,"بعيد تاركني ادور لك اعذار      علي الغياب وصدتك وانعزالك
معقول ما جالك علي البال زوار      اللي عطالك فرحته ما طري لك ؟
شهرين واسراب الغلا مالها دار      تاهت وهي تبحث في غابه خيالك
ماتدري ان مفارق الخل جبار      وان الفراق اكبر سبب للمهالك
وانا وحيد وما معي غير تذكار      لو تنشده عن حال خلك حكي لك
كانت حياتي قبلك دروب واسفار      حتي ملكت اللي بقي في وصالك
حبيبك محطم جروح ومنهار      حاله عليك من الوله عكس حالك
قبلك انا وسهيل والجدي سمار      نشرح تغنجك وحلاك و دلالك
نسيتني في الليل ونجوم الاسحار      قيلت ما لي مرقد في ظلالك
خليتني اتعب علي جزل الافكار      قلت القصيد وقلت لك طاب فالك
نقلت قدام العدد كل الاصفار      وحطيتني رغم الفقر راس مالك
انا غريب الدار .. غريب الاطوار      بالمختصر انقذت لك شخص هالك
والحين من شهرين من صار ماصار      وانا اتمني يا حبيبي سءالك
بالله .. ما جيتك علي البال زوار      طيفي دخيل الله ما قد طري لك","قصيدة ""بالمختصر"" لفزاع تُجسّد ألم الغياب والفراق بعد شهرين من الصدود، حيث يتيه سرب الغلا في غابة خيال الحبيب البعيد، بحثاً عن عذر لانعزاله. يصف الشاعر وحشته الدامية، محطماً جروحاً ومنهاراً، بينما كانت حياته دروباً واسفاراً قبل وصال المحبوب الذي أنقذه من الهلاك، جاعلاً إياه رأس ماله رغم الفقر. يتردد صوته في الليل تحت نجوم الأسحار، مشرحاً تغنجه وحلاوة دلاله مع سهيل والجد سمار، متسائلاً بحسرة: معقول ما طري لك زوار البال؟ يختتم بدعاء يتمنى سؤال الحبيب، مؤكداً أن الفراق جبار والطيف الدخيل لا يُنسى، في لوحة عاطفية تجمع الشوق والكبرياء والنداء اليائس للعودة.","Cinematic close-up of Fazaa (Hamdan bin Mohammed) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified longing and heartbreak, standing on muted cyan-tinted cracked desert earth at twilight, scattered wilting desert roses and prayer beads symbolizing devotion and pain, distant silhouette of a lone falcon against desaturated teal sky, subtle incense smoke wisps rising from an ancient ghaf tree, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere of separation and noble despair, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
69,بحور,"صغت المعاني من بحور الهواجيس      واخترت منهن من صفا نقو الالماس
بيوت شعري يسبقني مراميس      وبهن احرك نبض قلبي والاحساس
سايرتهن يوم الخلايق مناعيس      ونظمت نظم القاف ساس علي ساس
واجد في سيري علي ضمر العيس      واسري بليله سرمديه بالاغلاس
ما همني طول المدي والمراويس      ضاري علي فعل يحيدونه الناس
اغوص قوع ما تجيبه مقاييس      اخذ من الدانات ما يصيبني ياس
وان هيضني قايدات المكانيس      احس في قلبي شري دق الاجراس
انا الهواوي ما علي القلب تحميس      اطلق عنان الشوق واقول لا باس
طب الامور المقفيات المناحيس      وانظر بعيد وطاول النجم بقياس","في قصيدة ""بحور""، يمجّد فزاع فنّ الشعر النبطي كبحارٍ من عواصف الهواجس، يصطاد معانيَ نقيةً كالألماس من أعماق الشوق والإحساس. يصف بيوتَ الشعرِ كمراميسَ تسبقهُ، تُحرّك نبضَ القلبِ، ويُنظِمُ قوافيَها ساسًا على ساسٍ رغم ليالي السرمدِ والأغلال. يتجاوزُ الشاعرَ حدودَ المدى والمراويسِ، غواصًا في الداناتِ ليأخذَ ما يُشفي الروحَ، غيرَ مُبالٍ بقيودِ الناسِ أو هيضَنِ المكانيسِ. يعلنُ نفسهُ ""الهواوي"" الذي يُطلِقُ عنانَ الشوقِ دونَ تحميسٍ، يُطبِّبُ المناحيسَ ويَطُولُ النجمَ بقياسِهِ، مؤكِّدًا حرِّيَّةَ الروحِ الشعريَّةِ التي تُحوِّلُ الألمَ إلى إبداعٍ خالدٍ.","Cinematic medium shot of Fazaa (Hamdan bin Mohammed) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified artistic passion and contemplative freedom, standing on muted cyan-tinted desert dunes at twilight, scattered wilting desert roses and incense smoke wisps symbolizing memory and longing, distant silhouette of a falcon against desaturated teal sky representing poetic liberty, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, emotionally resonant atmosphere celebrating the art of Nabati poetry, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
70,برج العرب,"في عبارات العيون اشيا كثيره تسالك      دمعها حكي ونداها بلل الخد الندي
ما قدرت ارضي غرورك واستحيت ازعلك      كلما لك وانت تنهيني وانا ارد ابتدي
دام نظراتك مدارات ورجا قلبي فلك      كم عن برج العرب يبعد مدي برج الجدي
قلت تقريبا عدد ما عاشق بحبك هلك      تقصد الا اعد نص جروح قلبي يا بعدي
قلت لك لا لا ترد تقول لي ما قلت لك      المشاعر ما تنام الا انت قلت لها ارقدي
وانت يوم الله عطاك احلي الوصوف وكملك      كيف تتركني علي شطك وانا قلبي صدي
والله ان عروق قلبي كلها ترتاح لك      ليتك الا مثل ما خذت بيدك خذت بيدي
من لمست ايدك وانا اتفداك واتفدي هلك      ما دريت ان الهوي والعشق باللمس يعدي","قصيدة ""برج العرب"" وجدانية متكررة تعبر عن عذاب العاشق تحت نظرات المحبوبة الدامية، حيث تروي عيونها قصة الدموع والندى على الخد الندي، وهو يصبر على غرورها خوفاً من إيذائها رغم نهيها المتواصل. يقارن مسافة قلبه عن ""برج العرب"" بمدى برج الجدي، مشبهاً جروحه بعدد العشاق الذين هلكوا بحبها، رافضاً عدّها ومشدداً أن مشاعره لا تهدأ إلا بأمرها. يتوسلها بعدم تركه على شطّها وقلب صدي، متمنياً أن تأخذ بيده كما أمسكت بيده، محذراً أن لمس إيدها يعدي الهوى والعشق في عروقه الراقية. صور حسية للعيون والدموع واللمس تخلق توتراً بين الوفاء والألم، مع إيقاع تكراري يعزز الشوق اللامتناهي.","Cinematic close-up of a male Emirati poet in pristine white kandura and black bisht, his face etched with dignified longing and restrained pain, standing on muted cyan-tinted desert dunes at twilight, scattered wilting desert roses and cracked earth symbolizing heartbreak, distant silhouette of the Burj Khalifa against desaturated teal sky, subtle incense smoke wisps rising from a traditional dallah, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere of unending desire and devotion, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
71,برج عاجي,"في حضورك في غيابك ما يغير لي مزاجي      في كلامك في ملامك ما تكدر لي طربها
لا تحسب ان كل قلب انعكاسه كالزجاجي      وان ياخذ كل عين حسنك ويعلن نهبها
كيف اعذرك عقب هجرك وانت برجك برج عاجي      شفت نفسك مثل شمس للنهار الله وهبها
من عطي لك حق تجرح من يقول انك علاجي      لا تسولف عن علاجي والجروح انته سببها
لا تناجي في عتابك العتب غير التناجي      خذ مقامك باحترامك لا تبين لي عتبها
طال داجي كيف اناجي في الهوي شخص احتجاجي      صار قدره مثل عذره يشبه ذنوب ارتكبها
لا تلاعب بالمشاعر دام بحر الشوق هاجي      المشاعر نبض شاعر والحظيظ اللي كتبها
وانت ياللي صرت خلي احذر اقوال المداجي      قال كلمه لوم لكن ما عرف كيف يحسبها
وان صفينا والتقينا لا تكدر لي مزاجي      خذ مقامك باحترامك لا تبين لي عتبها","قصيدة ""برج عاجي"" ملحمة عاطفية تُمجّد كرامة الشاعر أمام هجر المحبوب المتعجرف، الذي يُشبَّه ببرج عاجٍ متعالٍ كالشمس، يجرح دون حق ويُدَّعي العلاج. يرفض فزاع التنازل عن مزاجه وطربَه، مُحذِّرًا من لعب المشاعر كنبض الشوق الهائج، ومُنْكِرًا عتابَ المتلاعبين بالقلوب غير الزجاجية الهشَّة. يدور النصُّ حول الثبات أمام الظلام الطويل، مطالبًا احترامَ المقامات، في إيقاعٍ متكرِّر يُعزِّز الرفض الحازم للخيانة العاطفية، مُبرِزًا نبلَ الصَّبر والاحتجاجِ الدَّاخليِّ. يختم بتأكيدِ السيادةِ الشخصيَّةِ، حيثُ لا يُكْدِرُ الحضورُ أوْ الْغِيَابُ سرَّ الروحِ الْمُنْتَصِرَةِ.","Cinematic medium shot of Sheikh Hamdan bin Mohammed (Fazaa) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified defiance and noble patience against a long twilight, standing on muted cyan-tinted desert dunes where cracked earth symbolizes emotional separation, distant wilting desert roses and scattered incense smoke wisps evoke longing and memory, subtle warm amber highlights contrast the cool blue-grey desaturated teal sky, volumetric rim lighting with dramatic cyan undertones, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative atmosphere of resilient solitude and personal sovereignty, 8K photorealistic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",,,,
72,بعلبك,"هاتوا لي البنتلي لو في طرف سكه      ابغي اطالع حبيبي ع البلكونه
لو سهم عينه بقلبي صوب وشكه      ما ارد دونه لو ان الموت من دونه
اقلب ( بعلبك ) لو يامر بعلبكه      وارض الكنانه عشانه ارض مكنونه
رمشه يهودي ولكن قبلته مكه      له رمش كافر لو الاسلام في عيونه
كم درهم من ذهب هارون ما سكه      وكم درهم زاد سعره لجل هارونه
بشري بمليون لكن ما معي فكه      من يقدر يفك والمليون مليونه
ويا صاحبي لا تبيع الجبن في عكه      الجبن اكثر اهل ( عكه ) يبيعونه
والشعر اماشيه بعض احيان وادكه      عاقل ولكن بيوت الشعر مجنونه
كل المزايين لول .. وخلي اليكه      واليك يفرق حلاه و وزنه ولونه
يا معشر القوم انس في الحشا تكه      حسبي علي اللي بقلبي وثق طعونه","قصيدة نبطية عاشقة بعنوان ""بعلبك""، تُمجّد حبيباً فاق سعره المليون درهم، حتى ذهب هارون الرشيد يبخس أمامه. يتوسّل الشاعر البنطلة ليطل على محبوبته بالبلكونة في بعلبك، مستعداً لقلب أرض كنعان عشقاً بها، رغم سهم عينها القاتل. رموشه ""يهودية"" كافرة، لكن قبلته مكة والإسلام في عيونها. يحذّر من بيع الجبن بعكّا، ويُعلي الشعر الذي يُجنّ العاشقين، رافضاً المزايين ومُثقلاً بالجرح في الحشا. تكرار الأبيات يُعزّز الجنون العاشق والوفاء الذي يُقلب الأرض رأساً على عقب، بصور لبنانية تاريخية نابضة بالغرام الجامح.","Cinematic medium shot of a distinguished Emirati poet in pristine white kandura and black bisht with gold embroidery, his face etched with intense romantic longing and dignified devotion, standing on muted cyan-tinted ancient stone ruins at twilight, scattered wilting desert roses and cracked earth symbolizing deep heartbreak, distant silhouette of traditional architecture against desaturated teal sky, subtle incense smoke wisps and a single falcon feather floating in the air, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere of passionate loyalty, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
73,بن و هيل و تمر,"يا صباح النور .. من بعد العتيمه      ويا صباح النرجسي من بين ثمره
وياصباح الخير والورد ونسيمه      ويا صباح العود الازرق فوق جمره
ويا صباح العز جعل الله يديمه      من بعد ليل خذينا فيه سمره
اعظم الاحساس للناس العظيمه      وللعقل زمره وللخفاق زمره
والوصل يا صاحبي مثل الغنيمه      ليه تنسي واحد معطيك عمره
الغلا مثل الندي والشوق ديمه      وانت بن العاشق وهيله وتمره
والوله ماهو بنصر ولا هزيمه      ما انت قادر تهدمه حتي تعمره
الوصل من بيننا ماهو جريمه      الوصل بامر الولي والهجر بامره
والخجل في خدودك البيض الحشيمه      كاسي لون البياض شوي حمره
تدمع عيوني من الذكري القديمه      والحزن ينساب في القلب ويغمره
شوف قلبي نار فرقاك ف صميمه      جمر فحم وجمر رمث وجمر سمره
استقم علي الدروب المستقيمه      روح مكه واخذ لك حجه وعمره
دايم قمرا نواياها سليمه      ليه قلبك ما يسوي مثل قمره","قصيدة ""بن وهيل وتمر"" لفزاع، ملحمة وجدانية تفتح أبواب الصباح بنورٍ يبدّد الظلام، مزجاً بين ريح العود الأزرق فوق جمر السمره، والنرجس اليانع بين ثمرة التمر. يخاطب الشاعر حبيبه ""بن العاشق وهيلة وتمر""، مردداً أن الغلا ندى دائم والشوق ديمه، والوصل غنيمة لا جريمة بل أمر الولي، بينما الهجر خيارٌ يُقاسِمُ. يصف خجل خدودها البيض الحشيمة المحمّرة، ودموع عيونه من ذكريات قديمة تغمر القلب حُزْنًا، وقلبَهُ نارَ فراقٍ صميمة: جمر فحم ورمث وسمره. يدعو للاستقامة على الدروب المستقيمة، والحجّ إلى مكة لتهدئة الوله الذي لا يُهْدَمُ حتى يُعْمَرُ، مقارنًا نواياها القمرية السليمة بقلب الغالي الذي يُفترض أن يُحاكيها. تتكرر الأبيات كلازمة تعزز العزّ الدائم والوفاء الأبدي، رمزاً للحبّ الذي يتجاوز النصر والهزيمة في عالم الخفاق العظيم.","Cinematic medium shot of Fazaa (Hamdan bin Mohammed) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified longing and patriotic pride, standing on muted cyan-tinted desert dunes at twilight, scattered wilting desert roses and prayer beads at his feet symbolizing devotion, distant falcon silhouette against desaturated teal sky, subtle incense smoke wisps, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
