poem_id,Row_ID,Title_raw,Poem_line_raw,summary,Title_cleaned,Poem_line_cleaned,قافية,روي,البحر,وصل,حركة,شخص,sentiments,أحداث,دين,مواضيع,أماكن,تصنيف
2,11,ثلاث مرات,عليك صــابر ، وهذي قيـمـة اخــلاقي      لأن أرض الوفــــا دون الـوفـا تـمـحــــل,يصبر الشاعر على محبوبته، معتبرًا الصبر قيمة أخلاقية للحفاظ على الوفاء.,ثلاث مرات,عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""عليك""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""اخلاقي""]}]",حب,[],[],الوفاء والصبر,"[{""name"": ""ارض الوفا"", ""type"": ""أراضي_إماراتية""}]",معاصر
2,12,ثلاث مرات,ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي      بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل,يصف الشاعر محبوبته بأنها الغالية التي تثير أشواقه بعينيها الساحرة الطبيعية.,ثلاث مرات,ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""الغالي"",""حرك اشواقي""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""اشواقي""]}]",حب,[],[],"الشوق والحنين, الجمال والعيون",[],معاصر
2,13,ثلاث مرات,بالرقّـه .. انت الأرَق ، وذوقك الراقي      وبين الخصور النواحل خصرك الأنحل,يمدح الشاعر محبوبته لكونها الأرق والأكثر رقة وذوقًا، وذات خصر نحيل.,ثلاث مرات,بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""انت"",""ذوقك"",""خصرك""]}]",حب,[],[],"الحب والغزل, الجمال والعيون",[],معاصر
2,14,ثلاث مرات,وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي      عيونـهـم نحـل ، لان شـفاتـك الـمنحل,يتحدث عن كثرة عشاقها الذين تنجذب قلوبهم وعيونهم إلى سحر شفتيها.,ثلاث مرات,وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""عشاقك"",""شفاتك""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""عشاقي""]}]",حب,[],[],"الحب والغزل, الجمال والعيون",[],معاصر
2,15,ثلاث مرات,أصـعب سؤال فْـ حياة العاشق الشاقي      إللي طـرحتـه علـيك وما لـقـيت الحـل,يتأمل الشاعر في أصعب سؤال طرحه على محبوبته ولم يجد له حلًا.,ثلاث مرات,اصعب سؤال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""العاشق الشاقي""]},{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""عليك""]}]",حب,[],[],"الحب والغزل, الألم والحزن",[],معاصر
3,16,هواء الامارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لـذّةٍ للـشــــــاربـيـن ، ومـتـعــةٍ لـمـن رآهـــا,يوضح أن رغباتهم تتجلى في جعل الحياة بحيرة متعة للجميع.,هواء الامارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها,ها,هـ,الهجيني,لا يوجد,فتحة,[],فرح,[],[],حب الوطن,"[{""name"": ""البحيرة"", ""type"": ""طبيعة_عامة""}]",معاصر
3,17,هواء الامارات وثراها,خذ مَثَل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,يقارن هواء لندن المعطر بهواء بلاد زايد، مفضلاً الأخير.,هواء الامارات وثراها,خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"":""زايد بن سلطان آل نهيان"",""relation"":""founding father"",""resolved_from"":[""بلاد زايد""]}]",فخر,[],[],"حب الوطن, القيادة والزعماء","[{""name"": ""لندن"", ""type"": ""مدن_وأماكن_عربية""}, {""name"": ""بلاد زايد"", ""type"": ""أراضي_إماراتية""}]",معاصر
3,18,هواء الإمارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره      ليـن جاب اللي يلـيق بـمـسـتـواه ومـسـتـواها,بحث عميق وغوص في أعماق لتقديم ما يناسب قيمه ومكانته.,هواء الامارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره      لين جاب اللي يليق بمستواه ومستواها,ها,هـ,الهجيني,لا يوجد,فتحة,[],فخر,[],[],"الشعر والإبداع, الطموح والنجاح","[{""name"": ""المحيطات"", ""type"": ""طبيعة_عامة""}]",معاصر
3,19,هواء الإمارات وثراها,مو مهم تكون نـشرت في مجلات الجزيره      الـمهم تقول لي كم شخصٍ متـثـقّـف قـراها,النشر ليس المهم، بل عدد المثقفين الذين قرأوا القصيدة.,هواء الامارات وثراها,مو مهم تكون نشرت في مجلات الجزيره      المهم تقول لي كم شخص متثقف قراها,ها,هـ,الهجيني,لا يوجد,فتحة,[],فخر,[],[],الشعر والإبداع,"[{""name"": ""الجزيرة"", ""type"": ""أراضي_إماراتية""}]",معاصر
3,20,هواء الإمارات وثراها,الـمهم ان (لندن) اللي مسكها يخالط عبيره      آغلى منها هوا أرض ( الإمــــارات ) وثراها,قيمة القصيدة تفوق مكان النشر، وتمجد أرض الإمارات وطبيعتها.,هواء الامارات وثراها,المهم ان (لندن) اللي مسكها يخالط عبيره      اغلي منها هوا ارض ( الامارات ) وثراها,ها,هـ,الهجيني,لا يوجد,فتحة,[],فخر,[],[],"حب الوطن, الإمارات ودبي","[{""name"": ""لندن"", ""type"": ""مدن_وأماكن_عربية""}, {""name"": ""الامارات"", ""type"": ""أراضي_إماراتية""}, {""name"": ""ثراها"", ""type"": ""أراضي_إماراتية""}]",معاصر
3,21,هواء الإمارات وثراها,بس انا محتاج ما لا احتاج فـعلاً شي غيره      شي يسمو بالنفوس لين يظهر محتواها,الشاعر يبحث عن شيء أسمى يرفع النفس ويري محتواها الحقيقي.,هواء الامارات وثراها,بس انا محتاج ما لا احتاج فعلا شي غيره      شي يسمو بالنفوس لين يظهر محتواها,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""انا""]}]",شوق,[],[],الطموح والنجاح,[],معاصر
3,22,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,يرى أن ما يتبقى من العمر هو الذكريات، مع تمني أمجاد الآخرين.,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حنين,[],[],"الذكريات, المجد والعز",[],معاصر
3,23,هواء الامارات وثراها,ألله اكبر يالسنين العوج والشرهه كبيره      شرهة العاقل على عوج السنين اللي مداها,يعرب عن استيائه من السنين العجاف ويصف عتاب العاقل لها.,هواء الامارات وثراها,الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حكمة,[],"[""الله""]",الزمن والقدر,[],معاصر
3,24,هواء الامارات وثراها,هكذا الإنسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايّامه وتبحث وش وراها,يتأمل الشاعر في عمر الإنسان المتقلب بين الأحاسيس والأيام.,هواء الامارات وثراها,هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حكمة,[],[],"الزمن والقدر, الذكريات",[],معاصر
3,25,هواء الإمارات وثراها,يحسب ان المجد فجأه ما درى ان المجد سيره      سـيرةٍ ما تـنتهي دام الكـواكب فـي سـماها,المجد رحلة مستمرة لا تنتهي بمرور الوقت وثبات الكون.,هواء الامارات وثراها,يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حكمة,[],المفاهيم_الإيمانية,"المجد والعز, الطموح والنجاح","[{""name"": ""السماء"", ""type"": ""طبيعة_عامة""}]",معاصر
3,26,هواء الإمارات وثراها,والـقدر على وتيـره .. والعـمر على وتيـره      والثـنين لبعـضـهم يمـشون والدنيا عطاها,القدر والعمر يسيران متوازيين في مسار الحياة المعطاة.,هواء الامارات وثراها,والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حكمة,[],المفاهيم_الإيمانية,الزمن والقدر,[],معاصر
3,27,هواء الإمارات وثراها,ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره      كان ما مدّيتها بالجـهد ما نـالك رضاها,المجد لا يُوارث ولا يمنحه الجهل، بل بالجهد تُنال رضاه.,هواء الامارات وثراها,ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حكمة,[],[],"الطموح والنجاح, الوفاء والصبر",[],معاصر
3,28,هواء الامارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الـظــروف الكـايـده تردّها عن مـشـتـهاها,يصف كيف أن الظروف الصعبة تمنع القلوب من تحقيق رغباتها.,هواء الامارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حزن,[],[],الألم والحزن,[],معاصر
3,29,هواء الإمارات وثراها,السعاده لو تباع فـ سوق الاحزان الكثيره      كل واحـد يعـتريه الـحزن تلـقاه اشـتراها,السعادة ليست متاحة في سوق الأحزان حيث تهيمن الحزن.,هواء الامارات وثراها,السعاده لو تباع ف سوق الاحزان الكثيره      كل واحد يعتريه الحزن تلقاه اشتراها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حزن,[],[],الألم والحزن,"[{""name"": ""سوق الاحزان"", ""type"": ""مواقع_اجتماعية""}]",معاصر
3,30,هواء الإمارات وثراها,السـعاده ما اشـترتها روس الاموال الوفـيره      شـوف كـم تـاجـــر يـدوّرها ولكـن ما لـقـاها,المال لا يشتري السعادة رغم وفرتها وسعي التجار إليها.,هواء الامارات وثراها,السعاده ما اشترتها روس الاموال الوفيره      شوف كم تاجر يدورها ولكن ما لقاها,ها,هـ,الهجيني,لا يوجد,فتحة,[],حزن,[],[],الطموح والنجاح,[],معاصر
3,31,هواء الامارات وثراها,صاحبي يافاهمٍ قصدي ترى ما كل ديره      آتـمـشّى فـي حـدايـقـها وينعـشـني هواها,يوضح الشاعر أن ليست كل الأماكن تمنحه الراحة أو الانتعاش.,هواء الامارات وثراها,صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""صاحبي""]}]",حب,[],[],"حب الوطن, الإمارات ودبي","[{""name"": ""الديرة"", ""type"": ""أراضي_إماراتية""}, {""name"": ""حدايقها"", ""type"": ""أراضي_إماراتية""}]",معاصر
3,32,هواء الامارات وثراها,إتأسر قلبي لو ان نفسي في راحتها أسيره      كم بلاد يمرّها قلبي واذا سافر نساها,رغم أسره لراحته، ينسى قلبه الكثير من البلاد التي يمر بها.,هواء الامارات وثراها,اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""قلبي"",""نفسي""]}]",حب,[],[],"حب الوطن, الشوق والحنين","[{""name"": ""راحتها"", ""type"": ""أراضي_إماراتية""}]",معاصر
3,33,هواء الامارات وثراها,والله انها أوّل احباب المشاعر والأخيره      يا عساني فدوة اوّلها وفدوة منتهاها,يعلن محبوبته كأول وآخر الحب، متمنيًا الفداء لها دائمًا.,هواء الامارات وثراها,والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""والله انها""]}]",حب,[],[],حب الوطن,[],معاصر
3,34,هواء الإمارات وثراها,هي قصيدة شاعرٍ وضّح لك اللي فـي ظميره      إيْـعَـرف وش علّـته لكن يجـهل وشـ دواها,القصيدة تعبر عن مشاعر الشاعر وعجزه عن فهم سبب ألمه.,هواء الامارات وثراها,هي قصيده شاعر وضح لك اللي في ظميره      ايعرف وش علته لكن يجهل وش دواها,ها,هـ,الهجيني,لا يوجد,فتحة,[],تأمل,[],[],الشعر والإبداع,[],معاصر
3,35,هواء الامارات وثراها,كل ما طالت ما نامن شرّها والطول خيره      إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها,يحذر من شر السنين الطويلة، ويربط الخير بالخلود للأفذاذ.,هواء الامارات وثراها,كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها,ها,هـ,الهجيني,لا يوجد,فتحة,[],أمل,[],[],"الزمن والقدر, المجد والعز",[],معاصر
4,36,يتيم,وكان الخطا منّك ، مسامحك هالحين      وكان الخطا منّي ، وش تريد منّـي ؟,يعترف بالأخطاء من الطرفين ويتساءل ماذا يريد منه الآن.,يتيم,وكان الخطا منك ، مسامحك هالحين      وكان الخطا مني ، وش تريد مني ؟,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""مني""]},{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""منك""]}]",ندم,[],[],"الفراق والهجر, الوفاء والصبر, الغيرة والعتاب",[],كلاسيكي
4,37,يتيم,كيف آتقبّـل تعزية بُـعدك الشـين      وآشـوف عـذّالي تجـيـك وْتهـنّـي,لا يستطيع تقبل التعازي بعد فقدانه ورؤية أعدائه يهنئون.,يتيم,كيف اتقبل تعزيه بعدك الشين      واشوف عذالي تجيك وتهني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""اتقبل""]},{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""بعدك""]},{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""عذالي""]}]",غضب,[],[],"الألم والحزن, الفراق والهجر",[],كلاسيكي
4,38,يتيم,يتيـم فـاقد شـوفة امّـه من سـنين      وابوه مـات مْن القـهـر والتجـنّـي,يتيم فقد أمه منذ سنوات وفقد والده بسبب القهر والظلم.,يتيم,يتيم فاقد شوفه امه من سنين      وابوه مات من القهر والتجني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""يتيم"",""شوفه امه"",""ابوه""]}]",شوق,[],[],"الألم والحزن, الفراق والهجر",[],كلاسيكي
4,39,يتيم,يا كامل الأوصـاف ، يا نادر الزين      هذا شعـوري كل ما غبـت عنّـي,ينادي محبوبه الكامل في مواصفاته ويعبر عن شعوره عند غيابه.,يتيم,يا كامل الاوصاف ، يا نادر الزين      هذا شعوري كل ما غبت عني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""يا كامل"",""غبت عني""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""شعوري""]}]",شوق,[],الله,"الحب والغزل, الشوق والحنين",[],كلاسيكي
4,40,يتيم,كـنت آتـأنّى من فراقـك مـعي ليـن      طـوّلـت بفراقك ومـات الـتـأنّـي,كان الحبيب يأتيه طويلاً حتى فقد الأمل بغيابه.,يتيم,كنت اتاني من فراقك معي لين      طولت بفراقك ومات التاني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""فراقك""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""كنت اتاني""]}]",شوق,[],[],"الفراق والهجر, الألم والحزن",[],كلاسيكي
4,41,يتيم,ما شاف واحد منهم بْـنظرة العين      والحزن يهدم في الضلوع وْيبـنّـي,لم يرَ أحداً بعينيه والحزن يعصف بداخله وينشئ الألم.,يتيم,ما شاف واحد منهم بنظره العين      والحزن يهدم في الضلوع ويبني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""واحد منهم""]}]",حزن,[],[],"الألم والحزن, الشوق والحنين",[],كلاسيكي
4,42,يتيم,تـنزل دمـوعه من لحـون الـمغـنّـين      واهل اللحـون مْن السـعاده تغـنّـي,دموعه تنهمر مع ألحان المغنيين بينما فهمهم يغنون بفرح.,يتيم,تنزل دموعه من لحون المغنين      واهل اللحون من السعاده تغني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""دموعه""]}]",حزن,[],[],"الألم والحزن, الشوق والحنين",[],كلاسيكي
4,43,يتيم,قالوا تمنّى ؟ قال ابا شوف الاثنين      كـانـه يفـيـد الـميّـتـيـــن التـمنّــي,عندما سئل عن الأمنية رفضه متمنياً رؤية الاثنين كأن التمني لا فائدة منه للموتى.,يتيم,قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""ابا شوف""]}]",حزن,[],[],"الألم والحزن, الفراق والهجر",[],كلاسيكي
4,44,يتيم,دام الهجر والشـوق والحزن قاسيـن      لـيتـك علـينا يا حـبيـبي تـحـنّـي,يشتكي من قسوة الهجر والشوق والحزن ويتمنى حنان الحبيب.,يتيم,دام الهجر والشوق والحزن قاسين      ليتك علينا يا حبيبي تحني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""يا حبيبي""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""علينا""]}]",حزن,[],[],"الشوق والحنين, الفراق والهجر, الألم والحزن",[],كلاسيكي
4,45,يتيم,يكفيك فـنّي عن فنون الـمحبّـين      كم مـرّه اسـتطربت والـفـن فـنّـي,يقول إنه بارع في فنون العشاق وكثيراً ما استمتع بالفن.,يتيم,يكفيك فني عن فنون المحبين      كم مره استطربت والفن فني,ني,ن,الرجز,لا يوجد,كسرة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""فني""]},{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""المحبين""]}]",حب,[],[],"الحب والغزل, الشعر والإبداع",[],كلاسيكي
5,46,مرت على بـالي,إلى صـحـيت آعاتـب الـحـظ وآلـوم      الايام .. والأيـام مـنـها تـبــــرّت,يعاتب الحظ والأيام على ما مر به لكنه يبرئ ذمته منها,مرت علي بالي,الي صحيت اعاتب الحظ والوم      الايام .. والايام منها تبرت,رت,ت,الهجيني,لا يوجد,سكون,[],ندم,[],[],"الألم والحزن, الغيرة والعتاب",[],معاصر
5,47,مرت على بـالي,أحلـم بها وآطـيح فـي النوم وآقوم      فرحان .. لكن فرحتي ما اسـتمرّت,يحلم بها ويشعر بالفرح حين يستيقظ لكنه لا يدوم طويلاً,مرت علي بالي,احلم بها واطيح في النوم واقوم      فرحان .. لكن فرحتي ما استمرت,رت,ت,الهجيني,لا يوجد,سكون,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""الي صحيت""]},{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""بها""]}]",فرح,[],[],"الحب والغزل, الشوق والحنين",[],معاصر
5,48,مرت على بـالي,فـي حبّـها حـسّــادي تـكـثّـر اللـوم      وهي ورا عـوج الـضـلـوع اسـتـقــرّت,يكثر الحساد من لومه على حبها، لكنها مستقرة في قلبه.,مرت علي بالي,في حبها حسادي تكثر اللوم      وهي ورا عوج الضلوع استقرت,رت,ت,الهجيني,لا يوجد,سكون,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""حسادي""]},{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""حبها"",""هي""]}]",غيرة,[],[],"الحب والغزل, الغيرة والعتاب",[],معاصر
5,49,مرت على بـالي,حبـيـبتي مـرّت على بـالـي الـيـوم      وْ وقّـفــت تـقـديرٍ لـها يوم مـرّت,الحبيبة مرت بالبال، فوقف الشاعر تقديرًا واحترامًا لها.,مرت علي بالي,حبيبتي مرت علي بالي اليوم      و وقفت تقدير لها يوم مرت,رت,ت,الهجيني,لا يوجد,سكون,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""علي""]},{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""حبيبتي""]}]",شوق,[],[],"الحب والغزل, الشوق والحنين",[],معاصر
