Id,Name,Description,URL,SongSum,ProfileImage,SingerFocus,createdAt,UpdatedAt
11,اريام,مغنية إماراتية من أصول مصرية، اسمها الحقيقي ريم شعبان إبراهيم حسن، ولدت في 22 سبتمبر 1980 في مدينة الشارقة، بدأت حياتها الفنية في دبي عام 1995 9396. درست الإعلام في جامعة عجمان للعلوم والتكنولوجيا وحصلت على شهادة ماجستير في الإعلام، غنت لشعراء الإمارات وكبار الشعراء العرب 9599.,https://ar.wikipedia.org/wiki/أريام,4,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
12,عباس ابراهيم,مغني سعودي من مواليد جدة عام 10 أغسطس 1988، اكتشفه الملحن السعودي سامي إحسان، وشجعه على الغناء الفنان والملحن السعودي عبد الرب إدريس 103104. قدم نفسه بشكل لافت في عالم الغناء رغم قصر عمره الزمني والفني، ونافس معظم الفنانين واحتل مراكز متقدمة في الساحة الفنية 104106.,https://ar.wikipedia.org/wiki/عباس_إبراهيم,4,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
13,فايز السعيد,"مغني وملحن وممثل إماراتي يُلقب بـ""سفير الألحان""، ولد في 4 أكتوبر 1974 في مدينة خورفكان، قام بالتلحين لعدد من مطربي الوطن العربي مثل أصالة ويارا وعبدالله الرويشد 111115"". بدأ مسيرته الفنية عام 1994 بأغنية """"عيون الفجر"""" في مهرجان قرطاج الدولي، وقدم أكثر من 5000 لحن خلال 30 عاماً من الإبداع ""118120.",https://ar.wikipedia.org/wiki/فايز_السعيد,3,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
14,حمد العامري,"مغني خليجي من الإمارات، يتميز بصوته القوي وأسلوبه الأصيل والعذب، بدأ مسيرته الفنية في أواخر التسعينيات وحقق نجاحاً كبيراً في الساحة الغنائية الخليجية 124"". قدم العديد من الأغاني الناجحة وشارك في مهرجانات فنية عربية، ومن أبرز أعماله أغنية """"لا تحب"""" من كلمات محمد الظنحاني وألحان فايز السعيد ""130.",https://ar.wikipedia.org/wiki/حمد_العامري,3,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
15,اصاله نصري,"مغنية سورية تُلقب بـ""أيقونة الشرق"" و""صاحبة الحنجرة الذهبية""، ولدت في 15 مايو 1969 في دمشق، بدأت الغناء في سن الرابعة بعد أن اكتشف موهبتها والدها الفنان مصطفى نصري 131134. نشأت في بيئة فنية، وقدمت العديد من الأغاني التي جعلتها من أشهر وأبرز المغنيات العربيات، وصفها النقاد بأنها من أعظم الأصوات القوية 134137.",https://en.wikipedia.org/wiki/Assala_Nasri,3,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
16,يارا,مغنية لبنانية اسمها الحقيقي كارلا نزيه البرقاشي، ولدت في 1 يونيو 1983 في دير الأحمر بلبنان، بدأت موهبتها منذ الصغر عندما كانت تستمع للإذاعة 141146. حصلت على جائزة برنامج كأس النجوم وعمرها 15 عاماً كأفضل فنانة واعدة، وقدمت العديد من الأغاني الخليجية والمصرية التي حققت نجاحاً كبيراً 145147.,https://en.wikipedia.org/wiki/Yara,3,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
17,لطيفة التونسية,"مغنية وممثلة ومنتجة تونسية، ولدت في 14 فبراير 1961 في ولاية منوبة بتونس، بدأت مسيرتها الفنية أواخر سبعينيات القرن العشرين وبرزت في العالم العربي منذ أوائل التسعينيات 152153"". تُعد من الأصوات العابرة للأجيال، ظهرت من خلال برنامج المسابقات """"نادي المواهب"""" على التلفزيون التونسي عام 1978، ثم انتقلت إلى القاهرة ""157158.",https://en.wikipedia.org/wiki/Latifa_(singer),2,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
18,سلمان حميد,"مغني بحريني فاز بلقب ""نجم الخليج"" في موسمه الأول، ولد في 9 أكتوبر 1982 في البحرين، برز اسمه في الساحة الفنية منذ عام 2010 161162"". اشتهر من خلال أغنية """"الحب"""" وقدم العديد من الأغاني المنفردة التي لاقت نجاحاً واسعاً، ويعتبر من فناني البحرين الذين حققوا شهرة في الخليج ""163167.",https://www.instagram.com/salmanhameed1,2,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
19,علي بن محمد,مغني إماراتي من أصل حضرمي، اسمه الكامل علي محمد باوزير، ولد في 28 مايو 1970 في غيل باوزير بحضرموت، ثم انتقل إلى السعودية ومن ثم الإمارات 172174. فخور بالجنسية الإماراتية، قدم العديد من الأغاني الاجتماعية والوطنية التي حققت نجاحاً كبيراً، وشارك في غناء أعمال وطنية للإمارات 173175.,https://ar.wikipedia.org/wiki/علي_بن_محمد_(مغني),1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
20,نبيل شعيل,"مغني كويتي يُلقب بـ""بلبل الخليج""، ولد في 30 ديسمبر 1961 في قرية الزلفي، بدأ في صغره بالعزف على العود وتسجيل الأغاني 182186"". بدأ مسيرته الفنية عام 1981 بأغنية وألبوم """"سكة سفر""""، ثم توالت ألبوماته مثل """"نورت"""" و""""ما أروعك"""" و""""الناس غير الناس""""، وهو مالك """"استديو طربان للتسجيل"""" منذ عام 2009 ""181187.",https://ar.wikipedia.org/wiki/نبيل_شعيل,1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
21,خالد عبدالرحمن,"فنان سعودي شاعر وملحن ومغني، اسمه الكامل خالد بن عبد الرحمن بن محمد الودعاني الدوسري، ولد في 22 أبريل 1965 في الرياض 190196"". بدأ نشاطه الفني عام 1988 بكتابة الأشعار ثم بالغناء والتلحين، قدم العديد من الأغاني الرومانسية الناجحة مثل """"صارحيني"""" و""""الحب الكبير"""" و""""فرحة لقانا"""" ""189191.",https://ar.wikipedia.org/wiki/خالد_عبدالرحمن,1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
22,عيضه المنهالي,"مغني وملحن وشاعر إماراتي، اسمه الكامل عيضة بن صفيان بن عيضة بن طناف المنهالي، ولد في 1 يناير 1977، تعود أصوله إلى منطقة بني ياس بين أبوظبي والعين 200203"". بدأ مسيرته عام 1996 بأداء الشعر الملحّن بدون آلات موسيقية، وأصدر أول ألبوم له سنة 2002 بعنوان """"مهما جرى""""، وحقق نجاحاً كبيراً بأغنيته """"متسوعة"""" ""204206.",https://ar.wikipedia.org/wiki/عيضة_المنهالي,1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
23,اصيل ابوبكر,"مغني وملحن وعازف عود سعودي، اسمه الكامل أصيل بن أبوبكر بن سالم بلفقية الهاشمي، ولد في 21 مايو 1969 في الرياض، وهو ابن الفنان الراحل أبو بكر سالم 209211"". نشأ في أسرة فنية، أصدر أول ألبوماته في مطلع تسعينيات القرن العشرين بعنوان """"دخلت بحرك"""" وحقق نجاحاً ممتازاً، ويعتبر من المغنيين السعوديين البارزين ""208212.",https://ar.wikipedia.org/wiki/أصيل_أبوبكر,1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
24,اطفال الامارات,مجموعة غنائية المغنيين الذين يؤدون الموسيقى بشكل جماعي في المناسبات الفنية والوطنية، تضم عدداً من الفنانين الذين يشاركون في أداء الأغاني التراثية والوطنية .,,1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
25,محمد المنهالي,مغني إماراتي بارز، يتميز بخامة صوتية جميلة، انطلاقته في عالم الغناء ليست جديدة لكنه لا يتعجل الشهرة، ويسعى لحفر اسمه رويداً رويداً في الساحة الفنية 222. قدم العديد من الأغاني الكلاسيكية العربية والتراثية الإماراتية، وشارك في البرامج التراثية التي تحيي الأصالة والتراث الإماراتي 220.,https://ar.wikipedia.org/wiki/محمد_المنهالي,1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
26,هزاع الرئيسي,مغني إماراتي يُعرف بحبه للون الشعبي في أغنياته، موهوب في التلحين ويعزف على آلات مختلفة، ولد في الإمارات ونشأ في بيئة فنية 226227. يعترف بشغفه الكبير بكرة القدم، وأسس استوديو فنياً خاصاً به في دبي لتسجيل وتنفيذ أغنياته، وقدم العديد من الأغاني المنفردة التي حققت صدى كبيراً 230232.,https://www.instagram.com/hazzaaofficial,1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
27,ماجد المهندس,"مغني عراقي حامل للجنسية السعودية، ولد في بغداد يوم 25 أكتوبر 1971، اسمه الحقيقي ماجد عبد الأمير عذير العتابي، حصل على الجنسية السعودية عام 2010 بمكرمة ملكية. درس الهندسة ومن هنا جاء لقبه ""المهندس""، ويُلقب بـ""مهندس الأغنية العربية"" و""صوت الماس"" و""برنس الأغنية العربية"". يُعد من أنجح المطربين العرب وقدم العديد من الأغاني الناجحة في الساحة الفنية العربية.",https://ar.wikipedia.org/wiki/ماجد_المهندس,1,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
28,مشاري راشد العفاسي,"قارئ قرآن ومنشد إسلامي، ولد 5 سبتمبر 1976 في الكويت، إمام المسجد الكبير. له بصمة فنية مميزة في الساحة الإمارتية، حيث قدم عدة قصائد من شعر سمو الشيخ حمدان بن محمد بن راشد آل مكتوم ""فزاع"" منها: ""الجروح"" و""المستحيل"" و""حكمة الحطاب"" 
. كما غنّى نشيد ""يا الإمارات - مهرة الساحة"" الذي انتشر واسعاً في الإمارات",https://ar.wikipedia.org/wiki/مشاري_العفاسي,3,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
