Title,Singer,Date,DetailURL,YouTube
فنون الغدر,ميحد حمد,0,https://www.wneen.com/lyrics/33424,https://www.youtube.com/watch?v=An1O9bzUgNU
توبة,راشد الماجد,0,https://www.wneen.com/lyrics/33423,https://www.youtube.com/watch?v=7H7Z6OM-nuA
دموع المحبين,ميحد حمد,0,https://www.wneen.com/lyrics/33422,https://www.youtube.com/watch?v=tqU1oRrW8bo
خلاص يعني,ميحد حمد,0,https://www.wneen.com/lyrics/33421,https://www.youtube.com/watch?v=bmHcJpNDj1g
راس المال,ميحد حمد,2009,https://www.wneen.com/lyrics/33420,https://www.youtube.com/watch?v=C6evnjuLuDE
دعاية الليل,ميحد حمد,2009,https://www.wneen.com/lyrics/33419,https://www.youtube.com/watch?v=DU6zMdPw1K4
اذكى شخص,ميحد حمد,2009,https://www.wneen.com/lyrics/33418,https://www.youtube.com/watch?v=TBGC9vf1vEk
تعال و اسالني ( مفروض ),ابوبكر سالم,0,https://www.wneen.com/lyrics/33417,https://www.youtube.com/watch?v=SsNROhGAZuE
مفروض,ميحد حمد,2009,https://www.wneen.com/lyrics/33416,https://www.youtube.com/watch?v=Q3tD7lb_Nag
جسر الصداقة,ميحد حمد,2011,https://www.wneen.com/lyrics/33415,https://www.youtube.com/watch?v=Wn1G-OFmYIY
عنق الزجاجه,ميحد حمد,2009,https://www.wneen.com/lyrics/33414,https://www.youtube.com/watch?v=A5eloCDQfzQ
انا والبواخر,حسين الجسمي,2015,https://www.wneen.com/lyrics/33406,https://www.youtube.com/watch?v=UlnTkzFQYfI
رابع يوم,عبدالمجيد عبدالله,2024,https://www.wneen.com/lyrics/32990,https://www.youtube.com/watch?v=diCTnKQ1-NA
يتيم,حسين الجسمي و ميحد حمد,2011,https://www.wneen.com/lyrics/32830,https://www.youtube.com/watch?v=MpHlpNuLr2U
دبي العز,المجموعة,2023,https://www.wneen.com/lyrics/30820,https://www.youtube.com/watch?v=bc2QLYyq27U
الوردة ارتاحت,حسين الجسمي,2023,https://www.wneen.com/lyrics/29148,https://www.youtube.com/watch?v=CJbl5M2RdfQ
المزهرية,راشد الماجد,2023,https://www.wneen.com/lyrics/28253,https://www.youtube.com/watch?v=_yDwNAX7kTQ
الناس في عيني سوا,محمد عبده,0,https://www.wneen.com/lyrics/27628,https://www.youtube.com/watch?v=HzdFZA5KEgs
هوا الامارات,محمد عبده,0,https://www.wneen.com/lyrics/27627,https://www.youtube.com/watch?v=xUvLMI6YRE8
ليل,محمد عبده,0,https://www.wneen.com/lyrics/27626,https://www.youtube.com/watch?v=6SIKvcsLUp8
قيمة الدمعة,محمد عبده,2009,https://www.wneen.com/lyrics/27625,https://www.youtube.com/watch?v=4j0ocPJ469s
خير الكلام,ابوبكر سالم و حسين الجسمي,2011,https://www.wneen.com/lyrics/27623,https://www.youtube.com/watch?v=fN8xtn6aqzU
دنيا القصيد,محمد عبده,0,https://www.wneen.com/lyrics/27622,https://www.youtube.com/watch?v=U3RfePXziIE
ادب,محمد عبده,0,https://www.wneen.com/lyrics/27621,https://www.youtube.com/watch?v=GeDnIW42hlA
السندان والمطرقة,محمد عبده,2015,https://www.wneen.com/lyrics/27571,https://www.youtube.com/watch?v=-PVNwi_Zryc
انت و انا,راشد الماجد و عبدالمجيد عبدالله,2015,https://www.wneen.com/lyrics/27558,https://www.youtube.com/watch?v=VsZid-ks2pQ
هذا صديقي,محمد عبده,0,https://www.wneen.com/lyrics/27557,https://www.youtube.com/watch?v=LLu2Am082bI
محبتك ( افضل سر ),عبدالمجيد عبدالله و محمد عبده,0,https://www.wneen.com/lyrics/27555,https://www.youtube.com/watch?v=i6HuQWvZ9Hk
ازعل عليك ( جيت بزعل ),عبدالمجيد عبدالله,0,https://www.wneen.com/lyrics/27554,https://www.youtube.com/watch?v=hOpDxt2iXD0
الله يجازيك,عبدالمجيد عبدالله,2009,https://www.wneen.com/lyrics/27553,https://www.youtube.com/watch?v=XOyimIX94HE
تبسم يا قمر,عبدالمجيد عبدالله,0,https://www.wneen.com/lyrics/27552,https://www.youtube.com/watch?v=RdM6Na9W6q4
ساحة الشعار,محمد عبده,2016,https://www.wneen.com/lyrics/27551,https://www.youtube.com/watch?v=XXi83bKUD9k
قلم رصاص,عبدالمجيد عبدالله و محمد عبده,2015,https://www.wneen.com/lyrics/27549,https://www.youtube.com/watch?v=kwfin7sjaYQ
صد وعناد,لطيفة التونسية,0,https://www.wneen.com/lyrics/25719,https://www.youtube.com/watch?v=LL1uYii_6PQ
اول شخص احبه,حمد العامري,0,https://www.wneen.com/lyrics/25718,https://www.youtube.com/watch?v=YPi5lcOz_Hk
قم علم الصبح,حمد العامري,0,https://www.wneen.com/lyrics/25717,https://www.youtube.com/watch?v=CXnNyNDbktY
قلوب ومحاني,حمد العامري,0,https://www.wneen.com/lyrics/25716,https://www.youtube.com/watch?v=qARNDxsOS-c
الشهره,يارا,0,https://www.wneen.com/lyrics/25715,https://www.youtube.com/watch?v=OG02kwWSxL8
سيداتي انساتي سادتي,كاظم الساهر,0,https://www.wneen.com/lyrics/25714,https://www.youtube.com/watch?v=uzM4zaiWVCk
فضيحه,محمد المنهالي,0,https://www.wneen.com/lyrics/25713,https://www.youtube.com/watch?v=6wBe6shkggw
كحل الظلام,ابوبكر سالم و اسماء لمنور,0,https://www.wneen.com/lyrics/25711,https://www.youtube.com/watch?v=on2Y-Ovm9SA
مطار,ابوبكر سالم,0,https://www.wneen.com/lyrics/25710,https://www.youtube.com/watch?v=rubYnkXYXW0
يا ابن ادم,خالد عبدالرحمن,0,https://www.wneen.com/lyrics/25709,https://www.youtube.com/watch?v=nbfzQuRbMN0
الشوق,نبيل شعيل,0,https://www.wneen.com/lyrics/25708,https://www.youtube.com/watch?v=oYikh5kTAc4
لو يضيق الصدر,اصيل ابوبكر,2022,https://www.wneen.com/lyrics/25707,https://www.youtube.com/watch?v=EL9vWnl-DVI
استمد الشوق,الوسمي,2009,https://www.wneen.com/lyrics/25706,https://www.youtube.com/watch?v=Jc1x0604jNE
رسالة خاصة,الوسمي,2009,https://www.wneen.com/lyrics/25705,https://www.youtube.com/watch?v=_G24GFXnVpk
كبريت واحد الف غابة,عيضه المنهالي,2014,https://www.wneen.com/lyrics/25704,https://www.youtube.com/watch?v=p2ZDxVWf6XU
تهاني العيد ( صباح العيد - الحب الاكيد ),راشد الماجد,2006,https://www.wneen.com/lyrics/25703,https://www.youtube.com/watch?v=XLvcsaHN1S0
لحن المفارق,سلمان حميد,0,https://www.wneen.com/lyrics/25453,https://www.youtube.com/watch?v=vvqZ8FzaJLk
لاعاد تعنيني ( على الخطا ),راشد الماجد,2006,https://www.wneen.com/lyrics/24839,https://www.youtube.com/watch?v=q22SUvfKq1w
كمل جميلك,راشد الماجد و ميحد حمد,0,https://www.wneen.com/lyrics/24830,https://www.youtube.com/watch?v=bmYGxAyTWQA
عبارات العيون ( برج العرب ),راشد الماجد,2019,https://www.wneen.com/lyrics/24828,https://www.youtube.com/watch?v=KcZoFI77WBM
صوت المحب,راشد الماجد,2008,https://www.wneen.com/lyrics/24827,https://www.youtube.com/watch?v=NPcUEix9pPc
شياطينك,راشد الماجد,2005,https://www.wneen.com/lyrics/24825,https://www.youtube.com/watch?v=hLyrJlNH0mo
ترحيبة غيم,عيضه المنهالي,2022,https://www.wneen.com/lyrics/23712,https://www.youtube.com/watch?v=n_rMzfnGbYo
سلامتك,هزاع الرئيسي,2020,https://www.wneen.com/lyrics/21890,https://www.youtube.com/watch?v=kVvLWqMuu5o
الشميمي والخوي,فايز السعيد,0,https://www.wneen.com/lyrics/21476,https://www.youtube.com/watch?v=MgolzyCZgWI
اغلى وصل وفراق,علي بن محمد,2022,https://www.wneen.com/lyrics/21451,https://www.youtube.com/watch?v=OAlSSQi49-8
عزمت,راشد الماجد و ميحد حمد,2007,https://www.wneen.com/lyrics/21189,https://www.youtube.com/watch?v=ZAAVDNSbjv0
الشعر ديوان,ابوبكر سالم و بلقيس فتحي,2011,https://www.wneen.com/lyrics/21185,https://www.youtube.com/watch?v=75hOZr3tc_w
اهل العشق,بلقيس فتحي و كاظم الساهر,2022,https://www.wneen.com/lyrics/20998,https://www.youtube.com/watch?v=5oOecWhXtkQ
طير المحبة,حسين الجسمي,2022,https://www.wneen.com/lyrics/18137,https://www.youtube.com/watch?v=LL1FsPECGyY
نلوم الوقت,يارا,2009,https://www.wneen.com/lyrics/17146,https://www.youtube.com/watch?v=r2KCBsfPcmY
سكر زيادة,يارا,2009,https://www.wneen.com/lyrics/17137,https://www.youtube.com/watch?v=S_IDHt3xUSo
ما عنه صدود,عيضه المنهالي,2021,https://www.wneen.com/lyrics/16848,https://www.youtube.com/watch?v=WlPQ6LzLfow
ارقى طبوعي,راشد الماجد,2007,https://www.wneen.com/lyrics/16035,https://www.youtube.com/watch?v=RRWZXVLpddY
الشهره,راشد الماجد,2009,https://www.wneen.com/lyrics/16034,https://www.youtube.com/watch?v=yx9qsCk8C2w
اقرب تعال,اريام و فايز السعيد,2012,https://www.wneen.com/lyrics/16031,https://www.youtube.com/watch?v=mac9lYEymQY
صاحب الهجر,محمد عبده,2017,https://www.wneen.com/lyrics/15993,https://www.youtube.com/watch?v=48XwDbN4Bzc
بداية عشق,عيضه المنهالي,2018,https://www.wneen.com/lyrics/15989,https://www.youtube.com/watch?v=aMEF1mkIHSA
خذ حبيبي,اريام,2002,https://www.wneen.com/lyrics/15230,https://www.youtube.com/watch?v=mK9EYTLzPdk
خلاص يعني,اريام,2002,https://www.wneen.com/lyrics/15229,https://www.youtube.com/watch?v=QuFhsHa_Dpw
ليتك معي,اريام,2002,https://www.wneen.com/lyrics/15228,https://www.youtube.com/watch?v=NtU8xGaSHHE
ارسم غرام,اريام,2002,https://www.wneen.com/lyrics/15227,https://www.youtube.com/watch?v=6-g409woOB8
جيتك على الموعد,فايز السعيد,2006,https://www.wneen.com/lyrics/14854,https://www.youtube.com/watch?v=0c7YVN_I250
تفرقنا السنين,اصاله نصري و محمد عبده,2009,https://www.wneen.com/lyrics/14028,https://www.youtube.com/watch?v=0r_BbCMKQuY
درب الشعر,حسين الجسمي,2021,https://www.wneen.com/lyrics/13079,https://www.youtube.com/watch?v=2gR-aMOhAkw
ودي اشرح لك,راشد الماجد و فايز السعيد,2011,https://www.wneen.com/lyrics/12995,https://www.youtube.com/watch?v=DUSvpG6cjn8
روح وروح,اصاله نصري,2003,https://www.wneen.com/lyrics/11182,https://www.youtube.com/watch?v=Dh66rIneLWM
لا تسمع ولا توحي,ابوبكر سالم,2008,https://www.wneen.com/lyrics/9241,https://www.youtube.com/watch?v=jgsZhtBMiPk
اوراقي,ابوبكر سالم,2008,https://www.wneen.com/lyrics/9240,https://www.youtube.com/watch?v=nJ-fmu6WDHU
سامح ( احيانا افكر ),ابوبكر سالم و راشد الماجد,2010,https://www.wneen.com/lyrics/9239,https://www.youtube.com/watch?v=ofkceALh_po
ديرة الغربه,اصاله نصري,2007,https://www.wneen.com/lyrics/8868,https://www.youtube.com/watch?v=0FIc95TmnIk
من يحبك,علي بن محمد,2002,https://www.wneen.com/lyrics/7412,https://www.youtube.com/watch?v=fMkSa9kIcxA
فمان الله,محمد عبده,0,https://www.wneen.com/lyrics/7001,https://www.youtube.com/watch?v=g0FXUWrANbs
ما كان له داعي,محمد عبده,0,https://www.wneen.com/lyrics/7000,https://www.youtube.com/watch?v=b4vTfP5MTSQ
حكومة الحب,محمد عبده,0,https://www.wneen.com/lyrics/6999,https://www.youtube.com/watch?v=lmdmIMdIpo4
يا ايها,محمد عبده,0,https://www.wneen.com/lyrics/6998,https://www.youtube.com/watch?v=nCtlVJwiPzA
تعال,محمد عبده,2008,https://www.wneen.com/lyrics/6997,https://www.youtube.com/watch?v=RKe2udXM1NY
مرت على بالي,كاظم الساهر,2011,https://www.wneen.com/lyrics/6865,https://www.youtube.com/watch?v=PFTvSbR87SE
اريد اتفلسف,راشد الماجد و عبدالمجيد عبدالله,2004,https://www.wneen.com/lyrics/6554,https://www.youtube.com/watch?v=NbZMR0ElU24
بحر نسيان ( الاسم ),عبدالمجيد عبدالله,2012,https://www.wneen.com/lyrics/6551,https://www.youtube.com/watch?v=8f7gDCVTOyw
حمام الاحباب,حسين الجسمي,2011,https://www.wneen.com/lyrics/4422,https://www.youtube.com/watch?v=UxJzmKX1N20
ساعة لندن,حسين الجسمي,2008,https://www.wneen.com/lyrics/4421,https://www.youtube.com/watch?v=WA3DkU-C040
امتحانك صعب,حسين الجسمي,0,https://www.wneen.com/lyrics/4420,https://www.youtube.com/watch?v=CeEltDzmC4g
راس المال,حسين الجسمي,2009,https://www.wneen.com/lyrics/4419,https://www.youtube.com/watch?v=YxJnKgm9VqA
اول عشق,حسين الجسمي,2010,https://www.wneen.com/lyrics/4391,https://www.youtube.com/watch?v=D3rWSpEKFKE
ثلاث مرات,اسماء لمنور و حسين الجسمي,2009,https://www.wneen.com/lyrics/4363,https://www.youtube.com/watch?v=g43mbNGxiSk
زبون الصبر,حسين الجسمي,2017,https://www.wneen.com/lyrics/4348,https://www.youtube.com/watch?v=Pu69IrrW7a0
انت ذهب,حسين الجسمي,2009,https://www.wneen.com/lyrics/4267,https://www.youtube.com/watch?v=nw9yG5prjUY
مسالة سهلة,بلقيس فتحي,2012,https://www.wneen.com/lyrics/3230,https://www.youtube.com/watch?v=Ewq79h3_e9c
افا والله افا,عباس ابراهيم,2010,https://www.wneen.com/lyrics/3045,https://www.youtube.com/watch?v=nws0D5Uv2-U
الله يسامحها ( حلوه موت ),راشد الماجد,2007,https://www.wneen.com/lyrics/2890,https://www.youtube.com/watch?v=qsknrX27lX8
بعيد تاركني,راشد الماجد,2007,https://www.wneen.com/lyrics/2885,https://www.youtube.com/watch?v=wHD8L6fDl4Y
صبري ملني,راشد الماجد,2004,https://www.wneen.com/lyrics/2876,https://www.youtube.com/watch?v=eJtajsqSPAY
استجواب,راشد الماجد,2015,https://www.wneen.com/lyrics/2868,https://www.youtube.com/watch?v=-Mk1mxLp5xM
لا تغرك ضحكتي,راشد الماجد,2007,https://www.wneen.com/lyrics/2863,https://www.youtube.com/watch?v=6aSlb1mWPrQ
دكتورة جروح الغرام,راشد الماجد,2009,https://www.wneen.com/lyrics/2688,https://www.youtube.com/watch?v=Q7oeyhD3OwQ
حجم الزعل,راشد الماجد,2008,https://www.wneen.com/lyrics/2682,https://www.youtube.com/watch?v=1ipBCTD95nY
هلا باللي سبى,راشد الماجد,0,https://www.wneen.com/lyrics/2673,https://www.youtube.com/watch?v=BuL8DgX20M0
مرت سنة,عبدالمجيد عبدالله و محمد عبده,2011,https://www.wneen.com/lyrics/2113,https://www.youtube.com/watch?v=pFpjmvQu8YM
السالفة,راشد الماجد,2008,https://www.wneen.com/lyrics/1153,https://www.youtube.com/watch?v=gWEz1Ors_8o
يا احمد,عبدالمجيد عبدالله,0,https://www.wneen.com/lyrics/797,https://www.youtube.com/watch?v=d6CpnfWyU0U
ثلاث ايام,عبدالمجيد عبدالله,2005,https://www.wneen.com/lyrics/682,https://www.youtube.com/watch?v=-3NVvOBEiQU
شف دمعتي,راشد الماجد,2005,https://www.wneen.com/lyrics/293,https://www.youtube.com/watch?v=wNt7lfzpUYM
اسال مجرب,حسين الجسمي و راشد الماجد,2012,https://www.wneen.com/lyrics/157,https://www.youtube.com/watch?v=n5dR8hY9NRo
الدراهم,راشد الماجد,2007,https://www.wneen.com/lyrics/143,https://www.youtube.com/watch?v=20b2tT3S70Q
الله خلق,محمد عبده,0,https://www.wneen.com/lyrics/107,https://www.youtube.com/watch?v=q_8ZKaaasA0
اخر طموحاتي,محمد عبده,0,https://www.wneen.com/lyrics/30,https://www.youtube.com/watch?v=ttqVahyxxV0
