poem_id,Title_cleaned,Poem_line_cleaned
11,سهم الغلا,"ياللي تسحب فوق الامتان جاعد      يلعب به الغربي علي قد مياس
احذر تعد ايام لقياك واعد      ايام بعدك والهجر ماله قياس
سهم الغلا ما بين نازل وصاعد      والرازق الله ، لكن الناس للناس
علمني وشلون اهجرك ونتباعد      يالقاسي اللي ما معك ايه احساس
ما دام ما حن بالحياه نتساعد      اضحك من الفرقا ، وعادي ، ولا باس
وش قيمه الغيم ان برق ، وان تراعد      لا صارت غصون المحبين يباس
لا لا تواعد .. خل عنك المواعد      انا تري من حبك اعلنت الافلاس
راح العمر كله وانا معك قاعد      لين الرجا ماتت عزومه من الياس
كم كنت انا وياك ساعد بساعد      وطوقتك بحبي مثل عقد الالماس
علي الغلا كله ، نويت اتقاعد      حتي اعيش العمر من دون وسواس"
12,سامح,"احيانا افكر .. وافكر .. وافكر      الي متي عزمي بالاشواق جامح
ما دام باب المغفره ما تسكر      تعال وارسل لي خيالي ملامح
لو الحياه بطولها طعم سكر      ما كان احس بذنب غيري واسامح
هذا كلامي لو مزاجي تعكر      وخيل الهجر بين الحنايا ترامح
اقولها للي في حبي تنكر      اسامحه .. ولا يعرف التسامح
اطمح تراضيني يا زين وتذكر      ان عاشقك لرضاك يا زين طامح
لا تصير مالح في الهجر وانت سكر      سامح ما فيه اجمل من اللي يسامح"
13,رمز العز علمني,"الفسق افه .. لكن التقوي خشوع      ابوي رمز العز علمني بها
يا مدرسه الامجاد والقلوب البتوع      انا علي هقوتك يا هاقي بها
من الفلاسي ساسي وعندي فروع      من دار زايد عز الارض وطيبها
شاعر واحب الفزعه وقلبي فزوع      يالين شفت الناس سموني بها
واهل الصمود اللي ماترضي بالخنوع      الله سبحانه يشبهني بها
احب من جزل البيوت اللي تروع      اهل الفكر لا قامت تغني بها
تري القصيد انواع وانا كل نوع      ابدع في تركيبته واساليبها
يا اهل السيوف القاطعه واهل الدروع      تري السنين الله يعلم غيبها
اشبه الدنيا علي البكره الدفوع      دايم تكون الاوله ترتيبها
ان واصلت راعيها اصله جزوع      وان قاصرت بانت فضايح عيبها
والا اشبهها علي البنت الفروع      اللي عوي بين الحنايا ذيبها
نقبل لها مادامها حلوه الطبوع      ونصد منها لا تكاثر شيبها
اعمارنا تحسب من ايام السبوع      تجري لكن الناس ما تدري بها
ويوم الثلوث اللي قبل يوم الربوع      ذكراه في قلبي وش اسوي بها
ويا ورده البستان قطافك قنوع      وبعض الورود .. الله علي تعذيبها
غنيت لك ما تنطرب منه السموع      طرايف تعجبك في تركيبها
والبعد مثل السيف والفرقي تلوع      لا تطري الفرقي وتجرحني بها
لحنت لك حزني علي وتر الدموع      وخليت قلب العاشق يغني بها
ومشيت درب فراق ما منه رجوع      والمغترب نفسه شكت تغريبها
لو قلت لي جيب الثريا.. قلت طوع      امد كفي للسما واجيبها"
14,ديوان العرب,"الشعر ديوان ماضي عربنا والاداه      التي كانت توضح لنا عاداتها
دايم من يكتبه ايتمني من قراه      التبحر في القصيده عبر كلماتها
بس انا ما قلته اطمع لشهره من وراه      قلته اداوي جروح البشر واهاتها
كيف يطمح فيه واحد ذكر جده واباه      اصنعت مكانته من عظم وقفاتها
ليس مثلي من قصيده ترفع مستواه      لو من المرجان واللول صغت ابياتها
كم صغير في العمر وصل للعالم نباه      وصادم بهامته ناس لها هاماتها
بالمكارم تسمع اسمه من افواه الرواه      وغيره اسماها حسب دخل عقاراتها
لو عمينا العين وشلون نكتم كل فاه      والعرب اكثر ما فيها عدد رواتها
والربيع اللي تناسي ربيعه .. وش بلاه      غرته دنياه يوم اكثرت لذاتها
للصديق من الصديق يتحمل له خطاه      والاصدقاء مع بعضها حسب نياتها
والبني ادم كل واحد حسب ما الله عطاه      سيءات الناس ماهي مثل حسناتها
والدول مع بعضها لو يصير اشتباه      التقدم مصلحتها علي ازماتها
كم نصحته والنصيحه من المسلم لاخاه      وقلت له : يا خلها معك ، والا هاتها
وانت بعت الود والود من باعه شراه      واعرف مشاعر الناس من نظراتها
السءال اللي يراودني علي كل اتجاه      عند مثلك سلعه الطيب كم دفعاتها
لا تحسب ان كل جافي بكت عيني جفاه      لي مقاماتي .. وللناس ماقاماتها
شخص لا من غاب بعده يشتت الانتباه      وشخص لا من غاب نفسك تحس بذاتها
ناس .. نبكيها لو انها علي قيد الحياه      وناس .. ما ياثر علينا خبر وفاتها"
15,جسر الصداقه,"الضايق اللي ساري ليله ولا حصل طريق      تلعب به الايام بين يمينها وشمالها
يا غارق بالهم لا تطلب نجاتك من غريق      الصبر مفتاح الفرج ، والناس هذا حالها
وانا تري متني يشيل من الحمل ما لا يطيق      مالي ومال الحمله اللي كل كتف شالها
والدله اللي ماتقهوي ضيفها ، قل للبريق      يرسل تعازي ضوها لا فاحت بفنجالها
ايامنا بين الشهر واليوم ، والباقي سحيق      الايام كم يبغي لها ، والناس كم يبغي لها
قمريه الاحزان لا غنت علي الغصن الدقيق      ما تعاتب المحزون لو غنت ولا غني لها
يا ناس وش حل الرفيق اللي يعاتب له رفيق      لا حدته الايام ، والدنيا علي منوالها
لا تحسب ان اللي تحبه لا جرحته ما يضيق      لو يستر جروحه عليك وعلته ما قالها
يضيق لكن مبسمه ضحاك وحجاجه طليق      لان الصداقه كنز ، والحسنه بعشر امثالها
والحقد في قلوب الرجال اهل الوفا ماهو يليق      قلوبها تبقي نظيفه .. لو تغير حالها
وانا لو ابني للصداقه جسر لعيون الصديق      الناس من كثر الزعل ، فال الله ولا فالها
العذر مايكفي من التقدير ، والصده تعيق      الوصل من بين القلوب اللي تمد حبالها
والالماس سعره فوق سعرك يالذهب لو لك بريق      سعره لحاله .. والذهب تسعيرته بلحالها
واهل الجواهر يفرقون الكهرمان من العقيق      لو تخلط الثنتين بنت في طرف سلسالها
نصبر علي قرص النحل حتي نوصل للرحيق      واهل الهوي يمسح خطاياها لذيذ وصالها
والناس لاجل امالها تحتاج للفهم الدقيق      واللي ما تملك فهم تخسر نفسها وامالها
جبال الارض الشامخه يا منكر المجد العريق      هاماتنا من كبر هيبتنا ، تطول جبالها
جديدنا مستقبل زاهر ، وماضينا عتيق      مسيره التاريخ يبقي مجدنا في بالها
لو ان حضارتنا قصيده شاعر فكره عميق      ما كان غير محمد المكتوم صاغ امثالها"
16,تجربه عمر,"يطالبني الجمهور بالشعر وانا اقول      الابداع فكره في الاحاسيس مغروسه
مع صادق الاحساس نحتاج وعي عقول      يحلل لنا بيت الشعر حسب قاموسه
ورغم كثره اشغالي انا ماني بمشغول      عن الشعر والنصر المخلد وقاموسه
لو اني بدون يدين والا بدون رجول      قدرت اهزم ناس من الكبر مهووسه
اصوغ بشفاتي نصر ليوا بدون خيول      وافرج بها ضيقات في الصدر محبوسه
وانا شيخ ، لكن شيخ طيب ووفا وفعول      ماهو شيخ عزه كبر منصبه وفلوسه
اشوف العمر فرصه واشوف الحياه فصول      ومع كل فصل تجربه عمر مدروسه
يالين الكسل والذل في الواقع المذهول      نخر في عزاءمهم مثل نخره السوسه
طبول المعارك صوتها غير صوت طبول      من يجر صوته في الغنا ليله عروسه
نعرف الخطا لكن نتجاهل المسءول      الاراء عكسيه .. والاوضاع معكوسه
علي قمه العزه تصول العرب وتجول      وتحت هيبه الريس تري الناس مريوسه
يابن ادم اسمعني تري العمر له مدلول      تصبر لو ان نفسك من الضيق منفوسه
لا تخذل طموحاتك ولا تتبع المخذول      تري كل واحد له مزاجه وهاجوسه
تفاءل ، تجد صحراء همك خضار حقول      وسر ليلك المظلم علي نور فانوسه
باطرش رساله فكر والشعر لي مرسول      عسي تستفيد اذناب وقتي قبل روسه
رساله لها مفعول ، لكن .. تري المفعول      مثل حلم ليل طير الحلم كابوسه
اخاطب بها صاحي ما اخاطب بها مهبول      شرات الدوا جرعته للداء مقيوسه
من يدوس فوق الشوك وهو بدون نعول      لا يشكي جروح الشوك ، يصبر علي دروسه
ومن يقول دنيانا مشاكل بدون حلول      يبا عيشه الخذلان والنفس مدعوسه
ومن يطيح عزمه كيف يقدر يشيل حمول      ومن يضيع رايه .. لازم يصير في حوسه
الانسان لو يصنع من الماس والا اللول      مداءن علي كوكب اهل الارض محسوسه
ولو انه ملك هالارض بالعرض والا الطول      تري ما قدر يصنع لذا الحين ناموسه
يظل الضعيف اللي بلا جهد ولا حول      لو ان نفسه من الموت بحب الناس محروسه
مصيره علي الاكتاف يرحل وهو محمول      وحفرته متر ونص والكفن ملبوسه"
17,اول عشق,"انت اول انسان اعشقه في حياتي      والحين تبغي الصدق ما عدت الاول
عشقت غيرك وانمحت ذكرياتي      مع دمعي اللي يوم هاجرت حول
ماهو مهم اكون اول وثاني      اهم شي اكون شي ف حياتك
ان كان قلبك ياحبيبي نساني      ارجوك لا تنساني بذكرياتك
طول في هجرانك علي لاتحاتي      ما عاد يعنيني لو الهجر طول
اغني فراقك بصوت الاهاتي      والقلب من زود الوناسه يمول
اخاف اطول بالهجر في امتحاني      ما اقدر اطول في الهجر من غلاتك
دامك خبير ف لحن بعض الاغاني      باعطيك اهاتي غنها مع اهاتك
العام تصبح في الخفوق وتباتي      واليوم معلن فيه حضر التجول
انا اعرفك حالي وسكر نباتي      حالي ومن زينك اهلك تهول
العام حبك بين عوج المحاني      ما زال ثابت وانت تعرف غلاتك
وانا اعرفك انسان ما انت باناني      لان الانانيه ماهي من صفاتك
لكن .. لو كنت اجمل الفاتناتي      الحبك انا مستحيل اتسول
هذاك اول يوم كنت ف حياتي      والحين جا غيرك ولا عدت الاول
وانته بعد لو كنت فارس زماني      تجبرني العزه اسوي سواتك
ما فيه لا اول .. ولا فيه ثاني      غصبا عليك انا الوحيد ف حياتك"
18,الهجر,"ياللي ذكرت الهجر وتحدد المهله      لا ما تروم الهجر لو قلت لي رايم
الهجر ، لا تحسب انه مساله سهله      الهجر يجرح خفوق العاشق الهايم
منهل شفايفك منه العين من نهله      لكن راعيها من منهلك صايم
لا يجهل الحب قلبك ، وان طغي جهله      افرد جناح الهجر يا طيرنا الحايم
هاجر ودرسك معك والوقت درسه له      وانا من دروسك ودرس الزمن شايم
الوقت .. خذيت منه تجربه كهله      وطاحت من عيوني الدنيا وانا قايم
والكفر ملعون ابو لهبه وابو جهله      والعشق ملعون ابو بايعه والسايم
طول وقصر علي ما تريد في المهله      مصير قلبك يردك عاشق هايم
الواحد يغيب عن اهله ، و هم اهله      لكن ، قلبه يرده صوبهم دايم"
19,اسف اسف,"كم عشقت المستحيل وكم ذخرت الاستحاله      لين صرت احجز مكاني في الصفوف الاوليه
اعشق الخيل الاصيله ، لانها رمز الاصاله      في البلاد اليعربيه ، والبلاد الاجنبيه
الهجن والطير والبحر وهل البر ودلاله      والغلا والطيب والشعر بحروفه الابجديه
والشعر حاله ، وانا شاعر امر بالف حاله      من تواضع لي محبه ، لا عدا لا عنجهيه
لا كتبته .. اكتبه من فكر ماهو من جهاله      شمس فكري ما تغيب وجمره الابداع حيه
للمحب احساسه الصادق ، وللشاعر خياله      يعزف احساسه علي وتر اللحون السامريه
ذعذعت ريح الشمال وكن قلبي من شماله      لا جنوبه يشعر بريح الشمال الخارجيه
كله لعين الحبيب اللي ملك قلبي لحاله      واملكه بعيونه السود وملامحه البريه
اتذكر كل ما هب الشمال وهز شاله      والتوي من فوق عوده طيه من فوق طيه
واتذكر كل ما مال الغصن عوده لا ماله      فيه من ميل الغصن والغصن له منه شويه
واتذكر صبحه الضاحك ، وليله من خلاله      والجبين اللي مثل شمس الضحا عيد الضحيه
واتذكر .. لون خده كل ما ذكروا مجاله      وردتين حمر في بستان ماهي مزهريه
واتذكر بسمته ، دلعه ، رقته ودلاله      وابتسامات الشفاه ونظره العين الشقيه
قبل ما يرحل ويتركني بلا علم ورساله      نرجسي وانا في حبه ما عرفت النرجسيه
ويش اسوي في حبيب يحسب قلبي حلاله      والمصيبه قلبي موافق ونفسي له رضيه
القضيه .. كيف احس بلهفته والا وصاله      يا قضاه الحب من يقدر علي حل القضيه
دام اخذ قلبي من ضلوعي يدور لي بداله      وكان ما عنده بداله .. لازم يرده عليه
لا يخليني بلا قلب علي العشاق عاله      ايعرفني ، نيتي وحده ماهي خمسين نيه
ان دله قلبه من الفرقا ، تري ماني بداله      كيف ابا ادله من حبيب بالغلا ما شفت زيه
لا يطول بالفراق ويعتبر وصله جماله      والجماله ردها واجب علي راع الحميه
نظره من عينه لعيني وانا واقف قباله      كافيه بانها تعوض لمسه يديه بيديه
ان حصل مني خطا ، مليون مره قلتها له      يخطي العبد ويتوب ويغفر الله الخطيه
كم مساحه كل بر وكم عدد حبه رماله      وكم شجر غصون الارض اليابسه والا الطريه
وكم عدد من حج بيت الله وشد له الرحاله      وكم عدد من قال صلي الله علي محمد نبيه
بعددها كلها تاسفاتي كلها له      اسف اسف ، دام لي علي التاسف مقدريه"
20,احمر الورد,"احمر الورد اجمل شي في البستان      بين صوت الطيور وخضر الاغصاني
والمشاعر .. لو تجرد من الانسان      كيف يعرف شعور اخوه الانساني
والمحبه من الايمان .. والايمان      شي وسط الضمير ، وشي براني
وانت يالانسي اللي كنك من الجان      اختر الشكل الاول ، وافهم الثاني
لك سنه وانت لا راضي ولا زعلان      قصدك تذلني ، والا تحداني
سامح الله سطوه رمشك الفتان      يوم خذني علي غفله و وداني
وسامح الله قلبي يوم شافك لان      لين حبك تمكن وسط وجداني
وسط وجداني اللي لك بني وجدان      كلها تشتكي فرقاك ، وتعاني
انت جاني علي بالهجر والحرمان      والجروح الجروح اشكال والواني
جرح .. دمعته ما تنشاف بالاعيان      وجرح .. دمعته منظوره بالاعياني
وجرح مجراه مجري الدم في الشريان      وجرح .. كنه طعون سيوف عدواني
وجرح .. يقتل شعور العاشق الولهان      لو بغيت اشرحه .. ما يقدر لساني
وجرح في الذاكره ما يقبل النسيان      اتذكره دايم .. رغم نسياني
اه يا ما اكثر جروحي .. لكن غلطان      كان ما تعرف المجني من الجاني
يا زمن لا توصي صاحبك ( حمدان )      قبلك ( محمد المكتوم ) وصاني
صاحبك لا وقف يصهل صهيل حصان      يتحمل طعون فلان وفلاني
ومن يعامل جميل الناس بالنكران      مستحيل احشمه لو هو من اخواني
كل انسان يملك في الحياه انسان      من معاناته يقدره ويعاني
ودامها ما تسلي كثره الخلان      خلهم في سلام وعيش وحداني"
21,انت وانا,"ياللي تمر عروق قلبي نظرتك وتتلها      الله عليك من الحسد واهل الحسد والله لنا
الشيله اللي فوق وجهك يا حبيبي شلها      خل الخجل منك وسولف لي ما غير انته وانا
سوالفك حلوه ، ومن زود الغلا ما املها      الله من حرف تمكن في شفايفك و دنا
الي ثنيت رموشك اللي فوق خدك ظلها      يعكس تثناها ، تعال وشوف قلبي لا انثني
ار سم لي اللهفه ودع نفسي تبرد غلها      مصيرنا نفني ، وكم واحد من الدنيا فنا
لو قلت ان الشمس ت شبه طلتك في طلها      يوم اشرقت والورد متفتح وجاهز للجنا
اقدر اقول لنور وجهك يوم تشرق ذلها      ميزك من سواك عنها في الشروق وفي السنا
القلب بعدك ثار ، والعين الدموع تهلها      ليه الشقا ليه الزعل ليه تمسك بالعنا
اثنينهم .. حزن الحبايب مرها واحتلها      بعد المحبه والموده والمواصل والهنا
ان قلت لي بارجع عليها قلت روح وخلها      الامن .. ليس مستقر لا هناك ولا هنا
الضيقه اللي في صدر رجال وش هو حلها      خصوصا ان كانت طموحاته طموحاتي انا"
22,الغصن يابس,"الغصن يابس ولا طاح المطر يالهبوب      قولي له يطيح لا يذبحه كثر البطا
كم لي وانا احاول ابث الامل ف الشعوب      في كل مره اشوف الحزن فيهم سطا
يا ابن ادم اللي تريد تتوب عجل وتوب      اليوم من عمرك اسرع من طيار القطا
سمو فكرك يساعد في اختيار الدروب      اعرف تفاصيل دربك قبل رجلك تطا
عليه واعرف مدي حسناتك من الذنوب      وتعيش مرفوع هامه .. مستقيم الخطا
واللي يقول انه مميز ولا له عيوب      يعيش فوق السما ، لايعيش فوق الوطا
الشخص لو يقدر يغطي عيوبه بثوب      غطي عيوبه ، لكن العيب ما له غطا
والشمس تشرق ، لكن بعد الشروق الغروب      لو نورها يوم تشرق في سماها سطا
ياللي تقولون فقر الناس فقر الجيوب      الوقت .. ياما خذا منا وياما عطا
فزاع .. وجهه نظره الفقر فقر القلوب      وجهه نظر .. يمكن انها صح والا خطا"
