poem_id,Row_ID,Title_cleaned,Poem_line_cleaned,places,religion,animals,events,entities,sentiments,subjects,summary,Title_raw,Poem_line_raw,ai_images_thumb,qafiya,rawy,wasl,haraka,meter,category
2,10,ثلاث مرات,عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل,"[{""resolved_from"": ""ارض الوفا"", ""name"": ""أراضي إماراتية""}]",[],[],[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""عليك""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""اخلاقي""]}]",حب,"[""الوفاء والصبر""]",يصبر الشاعر على محبوبته، معتبرًا الصبر قيمة أخلاقية للحفاظ على الوفاء.,ثلاث مرات,عليك صــابر ، وهذي قيـمـة اخــلاقي      لأن أرض الوفــــا دون الـوفـا تـمـحــــل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
2,11,ثلاث مرات,ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل,[],[],[],[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""الغالي"", ""حرك اشواقي""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""اشواقي""]}]",حب,"[""الشوق والحنين"", ""الجمال والعيون""]",يصف الشاعر محبوبته بأنها الغالية التي تثير أشواقه بعينيها الساحرة الطبيعية.,ثلاث مرات,ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي      بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
2,12,ثلاث مرات,بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل,[],[],[],[],"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""انت"",""ذوقك"",""خصرك""]}]",حب,"[""الحب والغزل"", ""الجمال والعيون""]",يمدح الشاعر محبوبته لكونها الأرق والأكثر رقة وذوقًا، وذات خصر نحيل.,ثلاث مرات,بالرقّـه .. انت الأرَق ، وذوقك الراقي      وبين الخصور النواحل خصرك الأنحل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
2,13,ثلاث مرات,وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل,[],[],"[{""name"":""النحلة"",""category"":""حشرات"",""resolved_from"":[""نحل""]}]",[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""عشاقك"", ""شفاتك""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""عشاقي""]}]",حب,"[""الحب والغزل"", ""الجمال والعيون""]",يتحدث عن كثرة عشاقها الذين تنجذب قلوبهم وعيونهم إلى سحر شفتيها.,ثلاث مرات,وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي      عيونـهـم نحـل ، لان شـفاتـك الـمنحل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
2,14,ثلاث مرات,وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل,[],[],[],[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""حبك"", ""ترحل""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""الاعماقي"", ""انا""]}]",حزن,"[""الحب والغزل"", ""الشوق والحنين""]",يتساءل كيف تستطيع محبوبته الرحيل بينما حبهما متجذر فيه، وهو عاجز عن المغادرة.,ثلاث مرات,وشلون ترحل وحبّك وسـط الاعـماقي      وانـا نـويت الرحـيل ، وما قدرت أرحـل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
2,15,ثلاث مرات,اصعب سءال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل,[],[],[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""العاشق الشاقي""]}, {""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""عليك""]}]",حب,"[""الحب والغزل"", ""الألم والحزن""]",يتأمل الشاعر في أصعب سؤال طرحه على محبوبته ولم يجد له حلًا.,ثلاث مرات,أصـعب سؤال فْـ حياة العاشق الشاقي      إللي طـرحتـه علـيك وما لـقـيت الحـل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
3,16,هواء الامارات وثراها,صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها,"[{""resolved_from"": ""الديرة"", ""name"": ""أراضي إماراتية""}, {""resolved_from"": ""حدايقها"", ""name"": ""أراضي إماراتية""}]",[],[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""صاحبي""]}]",حب,"[""حب الوطن"", ""الإمارات ودبي""]",يوضح الشاعر أن ليست كل الأماكن تمنحه الراحة أو الانتعاش.,هواء الامارات وثراها,صاحبي يافاهمٍ قصدي ترى ما كل ديره      آتـمـشّى فـي حـدايـقـها وينعـشـني هواها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,17,هواء الامارات وثراها,اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها,"[{""resolved_from"": ""راحتها"", ""name"": ""أراضي إماراتية""}]",[],[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""قلبي"", ""نفسي""]}]",حب,"[""حب الوطن"", ""الشوق والحنين""]",رغم أسره لراحته، ينسى قلبه الكثير من البلاد التي يمر بها.,هواء الامارات وثراها,إتأسر قلبي لو ان نفسي في راحتها أسيره      كم بلاد يمرّها قلبي واذا سافر نساها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,18,هواء الامارات وثراها,خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,"[{""resolved_from"": ""لندن"", ""name"": ""بلاد""}, {""resolved_from"": ""بلاد زايد"", ""name"": ""أراضي إماراتية""}]",[],[],[],"[{""name"": ""زايد بن سلطان آل نهيان"", ""relation"": ""الوالد المؤسس"", ""resolved_from"": [""بلاد زايد""]}]",فخر,"[""حب الوطن"", ""القيادة والزعماء""]",يقارن هواء لندن المعطر بهواء بلاد زايد، مفضلاً الأخير.,هواء الامارات وثراها,خذ مَثَل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,19,هواء الامارات وثراها,والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها,[],"[""الله""]",[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""والله انها""]}]",حب,"[""حب الوطن""]",يعلن محبوبته كأول وآخر الحب، متمنيًا الفداء لها دائمًا.,هواء الامارات وثراها,والله انها أوّل احباب المشاعر والأخيره      يا عساني فدوة اوّلها وفدوة منتهاها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,20,هواء الامارات وثراها,الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها,[],"[""الله""]",[],[],[],حكمة,"[""الزمن والقدر""]",يعرب عن استيائه من السنين العجاف ويصف عتاب العاقل لها.,هواء الامارات وثراها,ألله اكبر يالسنين العوج والشرهه كبيره      شرهة العاقل على عوج السنين اللي مداها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,21,هواء الامارات وثراها,كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها,[],[],[],[],[],أمل,"[""الزمن والقدر"", ""المجد والعز""]",يحذر من شر السنين الطويلة، ويربط الخير بالخلود للأفذاذ.,هواء الامارات وثراها,كل ما طالت ما نامن شرّها والطول خيره      إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,22,هواء الامارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها,[],[],[],[],[],حزن,"[""الألم والحزن""]",يصف كيف أن الظروف الصعبة تمنع القلوب من تحقيق رغباتها.,هواء الامارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الـظــروف الكـايـده تردّها عن مـشـتـهاها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,23,هواء الامارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها,"[{""resolved_from"": ""البحيرة"", ""name"": ""طبيعة عامة""}]",[],[],[],[],فرح,"[""حب الوطن""]",يوضح أن رغباتهم تتجلى في جعل الحياة بحيرة متعة للجميع.,هواء الامارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لـذّةٍ للـشــــــاربـيـن ، ومـتـعــةٍ لـمـن رآهـــا,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,24,هواء الامارات وثراها,هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها,[],[],[],[],[],حكمة,"[""الزمن والقدر"", ""الذكريات""]",يتأمل الشاعر في عمر الإنسان المتقلب بين الأحاسيس والأيام.,هواء الامارات وثراها,هكذا الإنسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايّامه وتبحث وش وراها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,25,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,[],[],[],[],[],حنين,"[""الذكريات"", ""المجد والعز""]",يرى أن ما يتبقى من العمر هو الذكريات، مع تمني أمجاد الآخرين.,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,26,هواء الامارات وثراها,يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها,"[{""resolved_from"": ""السماء"", ""name"": ""طبيعة عامة""}]",[],[],[],[],حكمة,"[""المجد والعز"", ""الطموح والنجاح""]",المجد رحلة مستمرة لا تنتهي بمرور الوقت وثبات الكون.,هواء الإمارات وثراها,يحسب ان المجد فجأه ما درى ان المجد سيره      سـيرةٍ ما تـنتهي دام الكـواكب فـي سـماها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,27,هواء الامارات وثراها,والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها,[],"[""المفاهيم الإيمانية""]",[],[],[],حكمة,"[""الزمن والقدر""]",القدر والعمر يسيران متوازيين في مسار الحياة المعطاة.,هواء الإمارات وثراها,والـقدر على وتيـره .. والعـمر على وتيـره      والثـنين لبعـضـهم يمـشون والدنيا عطاها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,28,هواء الامارات وثراها,ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها,[],[],[],[],[],حكمة,"[""الطموح والنجاح"", ""الوفاء والصبر""]",المجد لا يُوارث ولا يمنحه الجهل، بل بالجهد تُنال رضاه.,هواء الإمارات وثراها,ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره      كان ما مدّيتها بالجـهد ما نـالك رضاها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,29,هواء الامارات وثراها,السعاده لو تباع ف سوق الاحزان الكثيره      كل واحد يعتريه الحزن تلقاه اشتراها,"[{""resolved_from"": ""سوق الاحزان"", ""name"": ""أماكن مجردة""}]",[],[],[],[],حزن,"[""الألم والحزن""]",السعادة ليست متاحة في سوق الأحزان حيث تهيمن الحزن.,هواء الإمارات وثراها,السعاده لو تباع فـ سوق الاحزان الكثيره      كل واحـد يعـتريه الـحزن تلـقاه اشـتراها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,30,هواء الامارات وثراها,السعاده ما اشترتها روس الاموال الوفيره      شوف كم تاجر يدورها ولكن ما لقاها,[],[],[],[],[],حزن,"[""الطموح والنجاح""]",المال لا يشتري السعادة رغم وفرتها وسعي التجار إليها.,هواء الإمارات وثراها,السـعاده ما اشـترتها روس الاموال الوفـيره      شـوف كـم تـاجـــر يـدوّرها ولكـن ما لـقـاها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,31,هواء الامارات وثراها,بس انا محتاج ما لا احتاج فعلا شي غيره      شي يسمو بالنفوس لين يظهر محتواها,[],[],[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""انا""]}]",شوق,"[""الطموح والنجاح""]",الشاعر يبحث عن شيء أسمى يرفع النفس ويري محتواها الحقيقي.,هواء الإمارات وثراها,بس انا محتاج ما لا احتاج فـعلاً شي غيره      شي يسمو بالنفوس لين يظهر محتواها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,32,هواء الامارات وثراها,هي قصيده شاعر وضح لك اللي في ظميره      ايعرف وش علته لكن يجهل وش دواها,[],[],[],[],[],تأمل,"[""الشعر والإبداع""]",القصيدة تعبر عن مشاعر الشاعر وعجزه عن فهم سبب ألمه.,هواء الإمارات وثراها,هي قصيدة شاعرٍ وضّح لك اللي فـي ظميره      إيْـعَـرف وش علّـته لكن يجـهل وشـ دواها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,33,هواء الامارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره      لين جاب اللي يليق بمستواه ومستواها,"[{""resolved_from"": ""المحيطات"", ""name"": ""طبيعة عامة""}]",[],[],[],[],فخر,"[""الشعر والإبداع"", ""الطموح والنجاح""]",بحث عميق وغوص في أعماق لتقديم ما يناسب قيمه ومكانته.,هواء الإمارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره      ليـن جاب اللي يلـيق بـمـسـتـواه ومـسـتـواها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,34,هواء الامارات وثراها,مو مهم تكون نشرت في مجلات الجزيره      المهم تقول لي كم شخص متثقف قراها,"[{""resolved_from"": ""الجزيرة"", ""name"": ""أراضي إماراتية""}]",[],[],[],[],فخر,"[""الشعر والإبداع""]",النشر ليس المهم، بل عدد المثقفين الذين قرأوا القصيدة.,هواء الإمارات وثراها,مو مهم تكون نـشرت في مجلات الجزيره      الـمهم تقول لي كم شخصٍ متـثـقّـف قـراها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
3,35,هواء الامارات وثراها,المهم ان (لندن) اللي مسكها يخالط عبيره      اغلي منها هوا ارض ( الامارات ) وثراها,"[{""resolved_from"": ""لندن"", ""name"": ""بلاد""}, {""resolved_from"": ""الامارات"", ""name"": ""أراضي إماراتية""}, {""resolved_from"": ""ثراها"", ""name"": ""أراضي إماراتية""}]",[],[],[],[],فخر,"[""حب الوطن"", ""الإمارات ودبي""]",قيمة القصيدة تفوق مكان النشر، وتمجد أرض الإمارات وطبيعتها.,هواء الإمارات وثراها,الـمهم ان (لندن) اللي مسكها يخالط عبيره      آغلى منها هوا أرض ( الإمــــارات ) وثراها,/images/poems/3_Drive_New_Thumbnail_view.jpg,ها,هـ,لا يوجد,فتحة,الهجيني,معاصر
4,36,يتيم,يتيم فاقد شوفه امه من سنين      وابوه مات من القهر والتجني,[],[],[],[],"[{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""يتيم"",""شوفه امه"",""ابوه""]}]",شوق,"[""الألم والحزن"", ""الفراق والهجر""]",يتيم فقد أمه منذ سنوات وفقد والده بسبب القهر والظلم.,يتيم,يتيـم فـاقد شـوفة امّـه من سـنين      وابوه مـات مْن القـهـر والتجـنّـي,/images/poems/4_Drive_New_Thumbnail_view.jpg,ني,ن,لا يوجد,كسرة,الرجز,كلاسيكي
4,37,يتيم,ما شاف واحد منهم بنظره العين      والحزن يهدم في الضلوع ويبني,[],[],[],[],"[{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""واحد منهم""]}]",حزن,"[""الألم والحزن"", ""الشوق والحنين""]",لم يرَ أحداً بعينيه والحزن يعصف بداخله وينشئ الألم.,يتيم,ما شاف واحد منهم بْـنظرة العين      والحزن يهدم في الضلوع وْيبـنّـي,/images/poems/4_Drive_New_Thumbnail_view.jpg,ني,ن,لا يوجد,كسرة,الرجز,كلاسيكي
4,38,يتيم,تنزل دموعه من لحون المغنين      واهل اللحون من السعاده تغني,[],[],[],[],"[{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""دموعه""]}]",حزن,"[""الألم والحزن"", ""الشوق والحنين""]",دموعه تنهمر مع ألحان المغنيين بينما فهمهم يغنون بفرح.,يتيم,تـنزل دمـوعه من لحـون الـمغـنّـين      واهل اللحـون مْن السـعاده تغـنّـي,/images/poems/4_Drive_New_Thumbnail_view.jpg,ني,ن,لا يوجد,كسرة,الرجز,كلاسيكي
4,39,يتيم,قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني,[],[],[],[],"[{""name"":""اليتيم"",""relation"":""اليتيم"",""resolved_from"":[""ابا شوف""]}]",حزن,"[""الألم والحزن"", ""الفراق والهجر""]",عندما سئل عن الأمنية رفضه متمنياً رؤية الاثنين كأن التمني لا فائدة منه للموتى.,يتيم,قالوا تمنّى ؟ قال ابا شوف الاثنين      كـانـه يفـيـد الـميّـتـيـــن التـمنّــي,/images/poems/4_Drive_New_Thumbnail_view.jpg,ني,ن,لا يوجد,كسرة,الرجز,كلاسيكي
4,40,يتيم,يا كامل الاوصاف ، يا نادر الزين      هذا شعوري كل ما غبت عني,[],[],[],[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""يا كامل"", ""غبت عني""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""شعوري""]}]",شوق,"[""الحب والغزل"", ""الشوق والحنين""]",ينادي محبوبه الكامل في مواصفاته ويعبر عن شعوره عند غيابه.,يتيم,يا كامل الأوصـاف ، يا نادر الزين      هذا شعـوري كل ما غبـت عنّـي,/images/poems/4_Drive_New_Thumbnail_view.jpg,ني,ن,لا يوجد,كسرة,الرجز,كلاسيكي
4,41,يتيم,كيف اتقبل تعزيه بعدك الشين      واشوف عذالي تجيك وتهني,[],[],[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""اتقبل""]}, {""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""بعدك""]}, {""name"": ""اليتيم"", ""relation"": ""اليتيم"", ""resolved_from"": [""عذالي""]}]",غضب,"[""الألم والحزن"", ""الفراق والهجر""]",لا يستطيع تقبل التعازي بعد فقدانه ورؤية أعدائه يهنئون.,يتيم,كيف آتقبّـل تعزية بُـعدك الشـين      وآشـوف عـذّالي تجـيـك وْتهـنّـي,/images/poems/4_Drive_New_Thumbnail_view.jpg,ني,ن,لا يوجد,كسرة,الرجز,كلاسيكي
