poem_id,Row_ID,Title_raw,Poem_line_raw,summary,Title_cleaned,Poem_line_cleaned,قافية,البحر,وصل,حركة,نوع,شخص,sentiments,أماكن,أحداث,مواضيع,تصنيف,overall confidence,Status
2,15,ثلاث مرات,وشلون ترحل وحبّك وسـط الاعـماقي      وانـا نـويت الرحـيل ، وما قدرت أرحـل,يتساءل كيف تستطيع محبوبته الرحيل بينما حبهما متجذر فيه، وهو عاجز عن المغادرة.,ثلاث مرات,وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""حب"",""ألم""]",[],[],"[""أنت"",""حبك"",""الاعماقي""]",معاصر,0.89,Analysed
3,16,هواء الامارات وثراها,صاحبي يافاهمٍ قصدي ترى ما كل ديره      آتـمـشّى فـي حـدايـقـها وينعـشـني هواها,يوضح الشاعر أن ليست كل الأماكن تمنحه الراحة أو الانتعاش.,هواء الامارات وثراها,صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""صاحبي"",""relation"":""الصديق""}]","[""حب"",""شوق""]","[{""name"":""الإمارات"",""type"":""دولة""}]",[],"[""يافاهم"",""قصدي""]",معاصر,0.88,Analysed
3,17,هواء الامارات وثراها,إتأسر قلبي لو ان نفسي في راحتها أسيره      كم بلاد يمرّها قلبي واذا سافر نساها,رغم أسره لراحته، ينسى قلبه الكثير من البلاد التي يمر بها.,هواء الامارات وثراها,اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها,ها,الكامل,ا,سكون,مقيدة,[],"[""حنين"",""حب""]","[{""name"":""الإمارات"",""type"":""دولة""}]",[],[],معاصر,0.85,Analysed
3,18,هواء الامارات وثراها,خذ مَثَل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,يقارن هواء لندن المعطر بهواء بلاد زايد، مفضلاً الأخير.,هواء الامارات وثراها,خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,ها,الكامل,ا,سكون,مقيدة,[],"[""فخر"",""حب""]","[{""name"":""لندن"",""type"":""مدينة""},{""name"":""بلاد زايد"",""type"":""دولة""},{""name"":""الإمارات"",""type"":""دولة""}]",[],[],معاصر,0.92,Analysed
3,19,هواء الامارات وثراها,والله انها أوّل احباب المشاعر والأخيره      يا عساني فدوة اوّلها وفدوة منتهاها,يعلن محبوبته كأول وآخر الحب، متمنيًا الفداء لها دائمًا.,هواء الامارات وثراها,والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها,ها,الكامل,ا,سكون,مقيدة,[],"[""حب"",""فداء""]","[{""name"":""الإمارات"",""type"":""دولة""}]",[],[],معاصر,0.87,Analysed
3,20,هواء الامارات وثراها,ألله اكبر يالسنين العوج والشرهه كبيره      شرهة العاقل على عوج السنين اللي مداها,يعرب عن استيائه من السنين العجاف ويصف عتاب العاقل لها.,هواء الامارات وثراها,الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""العاقل"",""relation"":""عام""}]","[""حكمة"",""تأمل""]",[],[],"[""عاقل""]",معاصر,0.82,Analysed
3,21,هواء الامارات وثراها,كل ما طالت ما نامن شرّها والطول خيره      إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها,يحذر من شر السنين الطويلة، ويربط الخير بالخلود للأفذاذ.,هواء الامارات وثراها,كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""الخالدين"",""relation"":""جماعة""}]","[""أمل"",""حكمة""]",[],[],"[""خالدين""]",معاصر,0.8,Analysed
3,22,هواء الامارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الـظــروف الكـايـده تردّها عن مـشـتـهاها,يصف كيف أن الظروف الصعبة تمنع القلوب من تحقيق رغباتها.,هواء الامارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""القلوب"",""relation"":""جماعة""}]","[""حزن"",""يأس""]",[],[],"[""قلوب"",""مشاعر""]",معاصر,0.85,Analysed
3,23,هواء الامارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لـذّةٍ للـشــــــاربـيـن ، ومـتـعــةٍ لـمـن رآهـــا,يوضح أن رغباتهم تتجلى في جعل الحياة بحيرة متعة للجميع.,هواء الامارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""الشاربين"",""relation"":""جماعة""}]","[""سعادة"",""إعجاب""]",[],[],"[""شاربين""]",معاصر,0.78,Analysed
3,24,هواء الامارات وثراها,هكذا الإنسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايّامه وتبحث وش وراها,يتأمل الشاعر في عمر الإنسان المتقلب بين الأحاسيس والأيام.,هواء الامارات وثراها,هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""الانسان"",""relation"":""عام""}]","[""تأمل"",""حكمة""]",[],[],"[""انسان""]",معاصر,0.88,Analysed
3,25,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,يرى أن ما يتبقى من العمر هو الذكريات، مع تمني أمجاد الآخرين.,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,ها,الكامل,ا,سكون,مقيدة,[],"[""حسرة"",""حنين""]",[],[],[],معاصر,0.75,Analysed
3,26,هواء الإمارات وثراها,يحسب ان المجد فجأه ما درى ان المجد سيره      سـيرةٍ ما تـنتهي دام الكـواكب فـي سـماها,المجد رحلة مستمرة لا تنتهي بمرور الوقت وثبات الكون.,هواء الامارات وثراها,يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها,ها,الكامل,ا,فتحة,مقيدة,[],"[""حكمة"",""فخر""]",[],[],[],معاصر,0.72,Analysed
3,27,هواء الإمارات وثراها,والـقدر على وتيـره .. والعـمر على وتيـره      والثـنين لبعـضـهم يمـشون والدنيا عطاها,القدر والعمر يسيران متوازيين في مسار الحياة المعطاة.,هواء الامارات وثراها,والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها,ها,الكامل,ا,فتحة,مقيدة,[],"[""تأمل"",""حكمة""]",[],[],[],معاصر,0.7,Analysed
3,28,هواء الإمارات وثراها,ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره      كان ما مدّيتها بالجـهد ما نـالك رضاها,المجد لا يُوارث ولا يمنحه الجهل، بل بالجهد تُنال رضاه.,هواء الامارات وثراها,ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""عميان البصيره"",""relation"":""جماعة""}]","[""حكمة"",""عزيمة""]",[],[],"[""عميان"",""بصيره""]",معاصر,0.82,Analysed
3,29,هواء الإمارات وثراها,السعاده لو تباع فـ سوق الاحزان الكثيره      كل واحـد يعـتريه الـحزن تلـقاه اشـتراها,السعادة ليست متاحة في سوق الأحزان حيث تهيمن الحزن.,هواء الامارات وثراها,السعاده لو تباع ف سوق الاحزان الكثيره      كل واحد يعتريه الحزن تلقاه اشتراها,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""كل واحد"",""relation"":""عام""}]","[""حزن"",""سخرية""]",[],[],"[""واحد""]",معاصر,0.8,Analysed
3,30,هواء الإمارات وثراها,السـعاده ما اشـترتها روس الاموال الوفـيره      شـوف كـم تـاجـــر يـدوّرها ولكـن ما لـقـاها,المال لا يشتري السعادة رغم وفرتها وسعي التجار إليها.,هواء الامارات وثراها,السعاده ما اشترتها روس الاموال الوفيره      شوف كم تاجر يدورها ولكن ما لقاها,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""تاجر"",""relation"":""عام""}]","[""حكمة"",""يأس""]",[],[],"[""تاجر""]",معاصر,0.85,Analysed
3,31,هواء الإمارات وثراها,بس انا محتاج ما لا احتاج فـعلاً شي غيره      شي يسمو بالنفوس لين يظهر محتواها,الشاعر يبحث عن شيء أسمى يرفع النفس ويري محتواها الحقيقي.,هواء الامارات وثراها,بس انا محتاج ما لا احتاج فعلا شي غيره      شي يسمو بالنفوس لين يظهر محتواها,ها,الكامل,ا,فتحة,مقيدة,[],"[""أمل"",""شوق""]",[],[],[],معاصر,0.68,Analysed
3,32,هواء الإمارات وثراها,هي قصيدة شاعرٍ وضّح لك اللي فـي ظميره      إيْـعَـرف وش علّـته لكن يجـهل وشـ دواها,القصيدة تعبر عن مشاعر الشاعر وعجزه عن فهم سبب ألمه.,هواء الامارات وثراها,هي قصيده شاعر وضح لك اللي في ظميره      ايعرف وش علته لكن يجهل وش دواها,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""شاعر"",""relation"":""عام""}]","[""تأمل"",""حكمة""]",[],[],"[""شاعر""]",معاصر,0.87,Analysed
3,33,هواء الإمارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره      ليـن جاب اللي يلـيق بـمـسـتـواه ومـسـتـواها,بحث عميق وغوص في أعماق لتقديم ما يناسب قيمه ومكانته.,هواء الامارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره      لين جاب اللي يليق بمستواه ومستواها,ها,الكامل,ا,فتحة,مقيدة,[],"[""عزيمة"",""فخر""]",[],[],[],معاصر,0.7,Analysed
3,34,هواء الإمارات وثراها,مو مهم تكون نـشرت في مجلات الجزيره      الـمهم تقول لي كم شخصٍ متـثـقّـف قـراها,النشر ليس المهم، بل عدد المثقفين الذين قرأوا القصيدة.,هواء الامارات وثراها,مو مهم تكون نشرت في مجلات الجزيره      المهم تقول لي كم شخص متثقف قراها,ها,الكامل,ا,فتحة,مقيدة,"[{""name"":""شخص متثقف"",""relation"":""جماعة""}]","[""حكمة"",""تأمل""]","[{""name"":""الجزيرة"",""type"":""مدينة""}]",[],"[""متثقف""]",معاصر,0.82,Analysed
3,35,هواء الإمارات وثراها,الـمهم ان (لندن) اللي مسكها يخالط عبيره      آغلى منها هوا أرض ( الإمــــارات ) وثراها,قيمة القصيدة تفوق مكان النشر، وتمجد أرض الإمارات وطبيعتها.,هواء الامارات وثراها,المهم ان (لندن) اللي مسكها يخالط عبيره      اغلي منها هوا ارض ( الامارات ) وثراها,ها,الكامل,ا,فتحة,مقيدة,[],"[""فخر"",""حب""]","[{""name"":""لندن"",""type"":""مدينة""},{""name"":""الإمارات"",""type"":""دولة""}]",[],[],معاصر,0.9,Analysed
4,36,يتيم,يتيـم فـاقد شـوفة امّـه من سـنين      وابوه مـات مْن القـهـر والتجـنّـي,يتيم فقد أمه منذ سنوات وفقد والده بسبب القهر والظلم.,يتيم,يتيم فاقد شوفه امه من سنين      وابوه مات من القهر والتجني,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""الأم"",""relation"":""الأم""},{""name"":""الأب"",""relation"":""الأب""}]","[""حزن"",""فقدان""]",[],[],"[""فاقد شوفه أمه"",""أمه"",""ابوه"",""مات من القهر""]",كلاسيكي,0.92,Analysed
4,37,يتيم,ما شاف واحد منهم بْـنظرة العين      والحزن يهدم في الضلوع وْيبـنّـي,لم يرَ أحداً بعينيه والحزن يعصف بداخله وينشئ الألم.,يتيم,ما شاف واحد منهم بنظره العين      والحزن يهدم في الضلوع ويبني,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""الأهل"",""relation"":""الأهل""}]","[""حزن"",""ألم""]",[],[],"[""نظره العين"",""منهم""]",كلاسيكي,0.88,Analysed
4,38,يتيم,تـنزل دمـوعه من لحـون الـمغـنّـين      واهل اللحـون مْن السـعاده تغـنّـي,دموعه تنهمر مع ألحان المغنيين بينما فهمهم يغنون بفرح.,يتيم,تنزل دموعه من لحون المغنين      واهل اللحون من السعاده تغني,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""أهل اللحون"",""relation"":""المغنون""}]","[""حزن"",""أسى""]",[],[],"[""دموعه"",""أهل اللحون"",""من السعادة تغني""]",كلاسيكي,0.9,Analysed
4,39,يتيم,قالوا تمنّى ؟ قال ابا شوف الاثنين      كـانـه يفـيـد الـميّـتـيـــن التـمنّــي,عندما سئل عن الأمنية رفضه متمنياً رؤية الاثنين كأن التمني لا فائدة منه للموتى.,يتيم,قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""الأثنين"",""relation"":""الوالدان""}]","[""يأس"",""حزن""]",[],[],"[""تمني"",""الميتين""]",كلاسيكي,0.85,Analysed
4,40,يتيم,يا كامل الأوصـاف ، يا نادر الزين      هذا شعـوري كل ما غبـت عنّـي,ينادي محبوبه الكامل في مواصفاته ويعبر عن شعوره عند غيابه.,يتيم,يا كامل الاوصاف ، يا نادر الزين      هذا شعوري كل ما غبت عني,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""},{""name"":""اليتيم"",""relation"":""اليتيم""}]","[""حب"",""شوق""]",[],[],"[""كامل الأوصاف"",""نادر الزين"",""غبت عني"",""شعوري""]",كلاسيكي,0.93,Analysed
4,41,يتيم,كيف آتقبّـل تعزية بُـعدك الشـين      وآشـوف عـذّالي تجـيـك وْتهـنّـي,لا يستطيع تقبل التعازي بعد فقدانه ورؤية أعدائه يهنئون.,يتيم,كيف اتقبل تعزيه بعدك الشين      واشوف عذالي تجيك وتهني,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""},{""name"":""عذالي"",""relation"":""الأعداء""}]","[""حزن"",""غضب""]",[],[],"[""بعدك"",""عذالي"",""تجيك وتهني""]",كلاسيكي,0.89,Analysed
4,42,يتيم,دام الهجر والشـوق والحزن قاسيـن      لـيتـك علـينا يا حـبيـبي تـحـنّـي,يشتكي من قسوة الهجر والشوق والحزن ويتمنى حنان الحبيب.,يتيم,دام الهجر والشوق والحزن قاسين      ليتك علينا يا حبيبي تحني,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""}]","[""شوق"",""حزن""]",[],[],"[""حبيبي"",""تحني""]",كلاسيكي,0.91,Analysed
4,43,يتيم,يكفيك فـنّي عن فنون الـمحبّـين      كم مـرّه اسـتطربت والـفـن فـنّـي,يقول إنه بارع في فنون العشاق وكثيراً ما استمتع بالفن.,يتيم,يكفيك فني عن فنون المحبين      كم مره استطربت والفن فني,ي,المديد,,سكون,مقيدة,"[{""name"":""اليتيم"",""relation"":""اليتيم""},{""name"":""المحبين"",""relation"":""جماعة""}]","[""فخر"",""حنين""]",[],[],"[""فني"",""فنون المحبين"",""المحبين""]",كلاسيكي,0.87,Analysed
4,44,يتيم,كـنت آتـأنّى من فراقـك مـعي ليـن      طـوّلـت بفراقك ومـات الـتـأنّـي,كان الحبيب يأتيه طويلاً حتى فقد الأمل بغيابه.,يتيم,كنت اتاني من فراقك معي لين      طولت بفراقك ومات التاني,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""},{""name"":""التاني"",""relation"":""الرفيق""}]","[""حزن"",""فقدان""]",[],[],"[""فراقك"",""التاني"",""مات""]",كلاسيكي,0.86,Analysed
4,45,يتيم,وكان الخطا منّك ، مسامحك هالحين      وكان الخطا منّي ، وش تريد منّـي ؟,يعترف بالأخطاء من الطرفين ويتساءل ماذا يريد منه الآن.,يتيم,وكان الخطا منك ، مسامحك هالحين      وكان الخطا مني ، وش تريد مني ؟,ي,المديد,,سكون,مقيدة,"[{""name"":""الحبيب"",""relation"":""الحبيب""},{""name"":""اليتيم"",""relation"":""اليتيم""}]","[""حزن"",""مسامحة""]",[],[],"[""مسامحك"",""الخطأ منك"",""الخطأ مني""]",كلاسيكي,0.9,Analysed
5,46,مرت على بـالي,حبـيـبتي مـرّت على بـالـي الـيـوم      وْ وقّـفــت تـقـديرٍ لـها يوم مـرّت,الحبيبة مرت بالبال، فوقف الشاعر تقديرًا واحترامًا لها.,مرت علي بالي,حبيبتي مرت علي بالي اليوم      و وقفت تقدير لها يوم مرت,ت,المديد,,سكون,مقيدة,"[{""name"":""حبيبتي"",""relation"":""الحبيبة""}]","[""حب"",""فرح""]",[],[],"[""أنتِ"",""ها"",""مرت""]",معاصر,0.92,Analysed
5,47,مرت على بـالي,جابت لي الفرحـه وانا كنت مهـمـوم      الظـاهـر انـها عـن عـلـومي تـحـرّت,جاءت بالفرحة لقلب الشاعر المهموم، وكأنها علمت بحاله.,مرت علي بالي,جابت لي الفرحه وانا كنت مهموم      الظاهر انها عن علومي تحرت,ت,المديد,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""فرح"",""هم""]",[],[],"[""ها"",""علومي""]",معاصر,0.88,Analysed
5,48,مرت على بـالي,وفراقـها كـوّن فـي خـفّـاقي غـيـوم      أمـطـــارها عـلى الـفـيـافـي لا خـرّت,فراقها كوّن غيومًا في قلبه، أمطارها تسقط على الأراضي القاحلة.,مرت علي بالي,وفراقها كون في خفاقي غيوم      امطارها علي الفيافي لا خرت,ت,المديد,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حزن"",""فراق""]",[],[],"[""ها"",""فراقها"",""خفاقي""]",معاصر,0.9,Analysed
5,49,مرت على بـالي,تـنـبت من الأزهـار ما كان مـعـدوم      وتسـر نـفـسٍ من زمـن ما اسـتـسـرّت,هذه الأمطار تنبت الأزهار المفقودة وتُبهج النفوس المفتقدة للسرور.,مرت علي بالي,تنبت من الازهار ما كان معدوم      وتسر نفس من زمن ما استسرت,ت,المديد,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""أمل"",""سعادة""]","[{""name"":""الفيافي"",""type"":""طبيعة""}]",[],"[""ها"",""امطارها""]",معاصر,0.85,Analysed
5,50,مرت على بـالي,فـي حبّـها حـسّــادي تـكـثّـر اللـوم      وهي ورا عـوج الـضـلـوع اسـتـقــرّت,يكثر الحساد من لومه على حبها، لكنها مستقرة في قلبه.,مرت علي بالي,في حبها حسادي تكثر اللوم      وهي ورا عوج الضلوع استقرت,ت,المديد,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""},{""name"":""حسادي"",""relation"":""جماعة""}]","[""حب"",""حسد""]",[],[],"[""ها"",""عوج الضلوع"",""حساد""]",معاصر,0.89,Analysed
5,51,مرت على بـالي,أحلـم بها وآطـيح فـي النوم وآقوم      فرحان .. لكن فرحتي ما اسـتمرّت,يحلم بها ويشعر بالفرح حين يستيقظ لكنه لا يدوم طويلاً,مرت علي بالي,احلم بها واطيح في النوم واقوم      فرحان .. لكن فرحتي ما استمرت,ر,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""شوق"",""فرح""]",[],[],"[""ها"",""حبها""]",معاصر,0.87,Analysed
